trade_id,symbol,direction,sub_strategy_name,vol_contracts,underlying_quantity,entry_price,exit_price,min_profit_tp_price,stop_loss_price,open_time,close_time,duration_seconds,notional_value_usdt,margin_used_usdt,fee_total_usdt,realized_pnl_usdt,realized_pnl_inr,roe_percentage,exit_reason,balance_after_trade_usdt
1,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11787,0.11785,0.11792,0.11785,2026-01-01 00:33:02 UTC,2026-01-01 00:33:35 UTC,32.84,2.3574,0.0314,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9996
2,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11778,0.1178,0.11773,0.1178,2026-01-01 00:41:00 UTC,2026-01-01 00:41:00 UTC,0.35,2.3556,0.0314,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9992
3,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11775,0.1177,0.1177,0.11775,2026-01-01 00:50:00 UTC,2026-01-01 00:50:08 UTC,8.58,2.355,0.0314,0.0,0.001,0.09,3.18,MIN_PROFIT_TP_HIT,100.0002
4,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11782,0.11787,0.11787,0.11782,2026-01-01 00:55:00 UTC,2026-01-01 00:55:38 UTC,37.93,2.3564,0.0314,0.0,0.001,0.09,3.18,MIN_PROFIT_TP_HIT,100.0012
5,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11788,0.11793,0.11793,0.11788,2026-01-01 01:01:01 UTC,2026-01-01 01:02:05 UTC,63.96,2.3576,0.0314,0.0,0.001,0.09,3.18,MIN_PROFIT_TP_HIT,100.0022
6,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11797,0.11795,0.11802,0.11795,2026-01-01 01:06:02 UTC,2026-01-01 01:06:02 UTC,0.46,2.3594,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0018
7,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11838,0.11843,0.11843,0.11838,2026-01-01 01:14:00 UTC,2026-01-01 01:14:49 UTC,48.64,2.3676,0.0316,0.0,0.001,0.09,3.17,MIN_PROFIT_TP_HIT,100.0028
8,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11822,0.11817,0.11817,0.11822,2026-01-01 01:24:00 UTC,2026-01-01 01:25:49 UTC,108.25,2.3644,0.0315,0.0,0.001,0.09,3.17,MIN_PROFIT_TP_HIT,100.0038
9,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11814,0.11816,0.11809,0.11816,2026-01-01 01:32:00 UTC,2026-01-01 01:32:00 UTC,0.69,2.3628,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0034
10,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11831,0.11829,0.11836,0.11829,2026-01-01 01:44:01 UTC,2026-01-01 01:44:03 UTC,1.66,2.3662,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.003
11,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11856,0.11854,0.11861,0.11854,2026-01-01 01:56:00 UTC,2026-01-01 01:56:25 UTC,25.28,2.3712,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0026
12,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11849,0.11847,0.11854,0.11847,2026-01-01 01:59:01 UTC,2026-01-01 01:59:16 UTC,14.84,2.3698,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0022
13,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11847,0.11849,0.11842,0.11849,2026-01-01 02:05:02 UTC,2026-01-01 02:05:06 UTC,4.45,2.3694,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0018
14,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11845,0.11843,0.1185,0.11843,2026-01-01 02:10:02 UTC,2026-01-01 02:10:04 UTC,1.2,2.369,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0014
15,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.1183,0.11832,0.11825,0.11832,2026-01-01 02:16:00 UTC,2026-01-01 02:16:04 UTC,4.93,2.366,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.001
16,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11842,0.11844,0.11837,0.11844,2026-01-01 02:19:00 UTC,2026-01-01 02:19:16 UTC,15.56,2.3684,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0006
17,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11839,0.11837,0.11844,0.11837,2026-01-01 02:27:00 UTC,2026-01-01 02:27:01 UTC,0.88,2.3678,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0002
18,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11854,0.11852,0.11859,0.11852,2026-01-01 02:36:00 UTC,2026-01-01 02:36:00 UTC,0.1,2.3708,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9998
19,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11863,0.11858,0.11858,0.11863,2026-01-01 02:41:06 UTC,2026-01-01 02:41:16 UTC,9.96,2.3726,0.0316,0.0,0.001,0.09,3.16,MIN_PROFIT_TP_HIT,100.0008
20,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11855,0.1185,0.1185,0.11855,2026-01-01 02:48:07 UTC,2026-01-01 02:49:28 UTC,81.45,2.371,0.0316,0.0,0.001,0.09,3.16,MIN_PROFIT_TP_HIT,100.0018
21,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.1185,0.11845,0.11845,0.1185,2026-01-01 03:04:01 UTC,2026-01-01 03:04:40 UTC,38.99,2.37,0.0316,0.0,0.001,0.09,3.16,MIN_PROFIT_TP_HIT,100.0028
22,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11826,0.11828,0.11821,0.11828,2026-01-01 03:11:00 UTC,2026-01-01 03:11:00 UTC,0.2,2.3652,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0024
23,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11822,0.1182,0.11827,0.1182,2026-01-01 03:18:01 UTC,2026-01-01 03:18:05 UTC,4.81,2.3644,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.002
24,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11817,0.11815,0.11822,0.11815,2026-01-01 03:23:00 UTC,2026-01-01 03:25:01 UTC,120.12,2.3634,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0016
25,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11843,0.11841,0.11848,0.11841,2026-01-01 03:31:02 UTC,2026-01-01 03:31:24 UTC,22.08,2.3686,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0012
26,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11848,0.11843,0.11843,0.11848,2026-01-01 03:48:00 UTC,2026-01-01 03:48:53 UTC,53.65,2.3696,0.0316,0.0,0.001,0.09,3.17,MIN_PROFIT_TP_HIT,100.0022
27,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11823,0.11823,0.11818,0.11823,2026-01-01 03:54:03 UTC,2026-01-01 03:55:05 UTC,62.04,2.3646,0.0315,0.0,0.0,0.0,0.0,TICK_RATCHET_SL,100.0022
28,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11823,0.11818,0.11818,0.11823,2026-01-01 03:57:02 UTC,2026-01-01 03:57:52 UTC,49.84,2.3646,0.0315,0.0,0.001,0.09,3.17,MIN_PROFIT_TP_HIT,100.0032
29,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.1183,0.11835,0.11835,0.1183,2026-01-01 04:06:01 UTC,2026-01-01 04:06:14 UTC,13.81,2.366,0.0315,0.0,0.001,0.09,3.17,MIN_PROFIT_TP_HIT,100.0042
30,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11808,0.11813,0.11813,0.11808,2026-01-01 04:09:00 UTC,2026-01-01 04:10:02 UTC,62.27,2.3616,0.0315,0.0,0.001,0.09,3.18,MIN_PROFIT_TP_HIT,100.0052
31,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.1182,0.11822,0.11815,0.11822,2026-01-01 04:13:00 UTC,2026-01-01 04:13:00 UTC,0.1,2.364,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0048
32,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11826,0.11826,0.11831,0.11826,2026-01-01 04:18:00 UTC,2026-01-01 04:18:43 UTC,43.47,2.3652,0.0315,0.0,0.0,0.0,0.0,TICK_RATCHET_SL,100.0048
33,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11806,0.11808,0.11801,0.11808,2026-01-01 04:43:02 UTC,2026-01-01 04:43:05 UTC,2.73,2.3612,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0044
34,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11808,0.11803,0.11803,0.11808,2026-01-01 04:48:00 UTC,2026-01-01 04:49:09 UTC,68.65,2.3616,0.0315,0.0,0.001,0.09,3.18,MIN_PROFIT_TP_HIT,100.0054
35,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11795,0.11793,0.118,0.11793,2026-01-01 04:52:01 UTC,2026-01-01 04:52:02 UTC,0.64,2.359,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.005
36,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11816,0.11821,0.11821,0.11816,2026-01-01 05:06:03 UTC,2026-01-01 05:06:12 UTC,8.25,2.3632,0.0315,0.0,0.001,0.09,3.17,MIN_PROFIT_TP_HIT,100.006
37,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11838,0.11837,0.11843,0.11837,2026-01-01 05:12:00 UTC,2026-01-01 05:12:22 UTC,21.93,2.3676,0.0316,0.0,-0.0002,-0.02,-0.63,TICK_RATCHET_SL,100.0058
38,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11841,0.11841,0.11836,0.11841,2026-01-01 05:17:06 UTC,2026-01-01 05:18:07 UTC,60.9,2.3682,0.0316,0.0,0.0,0.0,0.0,TICK_RATCHET_SL,100.0058
39,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11861,0.11863,0.11856,0.11863,2026-01-01 05:33:01 UTC,2026-01-01 05:33:01 UTC,0.1,2.3722,0.0316,0.0,-0.0004,-0.04,-1.26,STOP_LOSS_HIT,100.0054
40,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11844,0.11842,0.11849,0.11842,2026-01-01 05:37:03 UTC,2026-01-01 05:37:03 UTC,0.36,2.3688,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.005
