Net_PnL,Profit_Factor,Win_Rate,Max_Drawdown_Pct,Sharpe,Sortino,Calmar,Total_Trades,Winning_Trades,Losing_Trades,Scratch_Trades,Long_PnL,Short_PnL,Experiment_ID,Description,Asset,Inverted
2.9992,1.2,19.38,-0.11,5.35,12.69,27.0,46136,8939,37197,0,1.4264,1.5728,DOGE_TICK_E4_Direct10t2t,DOGE Direct Stoch RSI 10t/2t,DOGE,FALSE
2.5708,1.17,18.99,-0.06,4.61,10.86,43.96,46175,8767,37408,0,1.4232,1.1476,DOGE_TICK_E5_Inv10t2t,DOGE Invert Stoch RSI 10t/2t,DOGE,TRUE
1.902,1.17,26.94,-0.03,5.15,7.98,62.04,48150,12972,29054,6124,1.0226,0.8794,DOGE_TICK_M1_Ratchet,DOGE Invert 5t/2t + Tick Ratchet,DOGE,TRUE
1.7702,1.13,31.22,-0.03,4.45,7.21,52.56,47812,14925,32887,0,0.9624,0.8078,DOGE_TICK_E6_Inv5t2t,DOGE Invert Stoch RSI 5t/2t (Champion),DOGE,TRUE
1.2896,1.12,84.77,-0.1,3.41,1.47,12.55,34250,29035,5215,0,0.472,0.8176,TRUMP_TICK_T0_Base,TRUMP Direct Stoch RSI 2t/25% ROE,TRUMP,TRUE
0.9856,1.09,84.41,-0.19,2.61,1.14,5.15,33902,28617,5285,0,0.3276,0.658,TRUMP_TICK_T1_InvBase,TRUMP Invert Stoch RSI 2t/25% ROE,TRUMP,TRUE
0.0812,1.02,50.39,-0.1,0.61,0.61,0.78,25829,13016,12813,0,0.1336,-0.0524,DOGE_TICK_E7_SmartSym,DOGE Direct Smart Strategy 2t/2t,DOGE,FALSE
0.092,1.01,50.25,-0.08,0.39,0.39,1.21,45648,22939,22709,0,-0.022,0.114,TRUMP_TICK_T2_Sym1to1,TRUMP Direct Stoch RSI 2t/2t,TRUMP,TRUE
0.0652,1.01,50.17,-0.21,0.26,0.26,0.31,48431,24297,24134,0,0.1784,-0.1132,DOGE_TICK_E2_Sym1to1,DOGE Direct Stoch RSI 2t/2t,DOGE,FALSE
-0.0396,0.99,49.7,-0.08,-0.47,-0.47,-0.51,16473,8187,8286,0,-0.0548,0.0152,TRUMP_TICK_T4_SmartSym,TRUMP Direct Smart Strategy 2t/2t,TRUMP,TRUE
-0.0652,0.99,49.83,-0.24,-0.26,-0.26,-0.27,48431,24134,24297,0,0.1132,-0.1784,DOGE_TICK_E3_InvSym1to1,DOGE Invert Stoch RSI 2t/2t,DOGE,TRUE
-0.092,0.99,49.75,-0.13,-0.39,-0.39,-0.72,45648,22709,22939,0,-0.114,0.022,TRUMP_TICK_T3_InvSym1to1,TRUMP Invert Stoch RSI 2t/2t,TRUMP,TRUE
-0.0812,0.98,49.61,-0.14,-0.61,-0.61,-0.6,25829,12813,13016,0,0.0524,-0.1336,DOGE_TICK_E8_SmartInvSym,DOGE Invert Smart Strategy 2t/2t,DOGE,TRUE
-1.0826,0.91,26.65,-1.18,-3.38,-5.23,-0.91,40328,10749,29579,0,-0.6512,-0.4314,TRUMP_TICK_T5_Inv5t2t,TRUMP Invert Stoch RSI 5t/2t,TRUMP,TRUE
-1.2992,0.89,15.08,-1.41,-3.46,-7.43,-0.92,34058,5135,28923,0,-0.8256,-0.4736,TRUMP_TICK_T6_Inv10t2t,TRUMP Invert Stoch RSI 10t/2t,TRUMP,TRUE
-2.5708,0.85,81.01,-2.62,-4.59,-2.16,-0.98,46175,37408,8767,0,-1.1476,-1.4232,DOGE_TICK_E0_Base,DOGE Direct Stoch RSI 2t/25% ROE,DOGE,FALSE
-2.9992,0.83,80.62,-3.03,-5.31,-2.52,-0.99,46136,37197,8939,0,-1.5728,-1.4264,DOGE_TICK_E1_InvBase,DOGE Invert Stoch RSI 2t/25% ROE,DOGE,TRUE
-2.314,0.81,24.46,-2.32,-7.43,-11.18,-1.0,40218,9838,30380,0,-1.1132,-1.2008,DOGE_TICK_M2_MakerQueue,DOGE Invert 5t/2t + Maker Queue (5000c/10s),DOGE,TRUE
-2.2754,0.79,21.01,-2.29,-7.84,-11.24,-0.99,40394,8488,27864,4042,-1.0778,-1.1976,DOGE_TICK_M3_Ratchet_Queue,DOGE Invert 5t/2t + Ratchet + Maker Queue,DOGE,TRUE
