trade_id,symbol,direction,sub_strategy_name,vol_contracts,underlying_quantity,entry_price,exit_price,min_profit_tp_price,stop_loss_price,open_time,close_time,duration_seconds,notional_value_usdt,margin_used_usdt,fee_total_usdt,realized_pnl_usdt,realized_pnl_inr,roe_percentage,exit_reason,balance_after_trade_usdt
1,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.06964,0.06966,0.06959,0.06966,2026-08-01 00:27:59 UTC,2026-08-01 00:28:28 UTC,28.86,1.3928,0.0186,0.0,-0.0004,-0.04,-2.15,STOP_LOSS_HIT,99.9996
2,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.06963,0.06961,0.06968,0.06961,2026-08-01 00:31:59 UTC,2026-08-01 00:32:13 UTC,13.62,1.3926,0.0186,0.0,-0.0004,-0.04,-2.15,STOP_LOSS_HIT,99.9992
3,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.06983,0.06988,0.06988,0.06981,2026-08-01 00:40:59 UTC,2026-08-01 00:44:00 UTC,180.56,1.3966,0.0186,0.0,0.001,0.09,5.37,MIN_PROFIT_TP_HIT,100.0002
4,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.06988,0.0699,0.06983,0.0699,2026-08-01 00:50:59 UTC,2026-08-01 00:52:43 UTC,103.6,1.3976,0.0186,0.0,-0.0004,-0.04,-2.15,STOP_LOSS_HIT,99.9998
5,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.06999,0.07001,0.06994,0.07001,2026-08-01 01:00:59 UTC,2026-08-01 01:01:00 UTC,0.51,1.3998,0.0187,0.0,-0.0004,-0.04,-2.14,STOP_LOSS_HIT,99.9994
6,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.07,0.07005,0.07005,0.06998,2026-08-01 01:06:59 UTC,2026-08-01 01:07:10 UTC,10.51,1.4,0.0187,0.0,0.001,0.09,5.36,MIN_PROFIT_TP_HIT,100.0004
7,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.07009,0.07011,0.07004,0.07011,2026-08-01 01:12:59 UTC,2026-08-01 01:17:22 UTC,262.36,1.4018,0.0187,0.0,-0.0004,-0.04,-2.14,STOP_LOSS_HIT,100.0
8,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.07004,0.07006,0.06999,0.07006,2026-08-01 01:21:59 UTC,2026-08-01 01:22:34 UTC,34.6,1.4008,0.0187,0.0,-0.0004,-0.04,-2.14,STOP_LOSS_HIT,99.9996
9,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.07014,0.07016,0.07009,0.07016,2026-08-01 01:30:59 UTC,2026-08-01 01:31:22 UTC,22.13,1.4028,0.0187,0.0,-0.0004,-0.04,-2.14,STOP_LOSS_HIT,99.9992
10,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.07007,0.07012,0.07012,0.07005,2026-08-01 01:34:59 UTC,2026-08-01 01:37:57 UTC,177.55,1.4014,0.0187,0.0,0.001,0.09,5.35,MIN_PROFIT_TP_HIT,100.0002
