trade_id,symbol,direction,sub_strategy_name,vol_contracts,underlying_quantity,entry_price,exit_price,min_profit_tp_price,stop_loss_price,open_time,close_time,duration_seconds,notional_value_usdt,margin_used_usdt,fee_total_usdt,realized_pnl_usdt,realized_pnl_inr,roe_percentage,exit_reason,balance_after_trade_usdt
1,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11787,0.11785,0.11797,0.11785,2026-01-01 00:32:59 UTC,2026-01-01 00:33:35 UTC,35.12,2.3574,0.0314,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9996
2,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11778,0.1178,0.11768,0.1178,2026-01-01 00:40:59 UTC,2026-01-01 00:41:00 UTC,0.7,2.3556,0.0314,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9992
3,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11775,0.11777,0.11765,0.11777,2026-01-01 00:49:59 UTC,2026-01-01 00:50:18 UTC,18.51,2.355,0.0314,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9988
4,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11782,0.11792,0.11792,0.1178,2026-01-01 00:54:59 UTC,2026-01-01 01:01:21 UTC,381.23,2.3564,0.0314,0.0,0.002,0.19,6.37,MIN_PROFIT_TP_HIT,100.0008
5,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11797,0.11795,0.11807,0.11795,2026-01-01 01:05:59 UTC,2026-01-01 01:06:02 UTC,2.75,2.3594,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0004
6,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11838,0.11836,0.11848,0.11836,2026-01-01 01:13:59 UTC,2026-01-01 01:16:50 UTC,170.67,2.3676,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0
7,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11822,0.11812,0.11812,0.11824,2026-01-01 01:23:59 UTC,2026-01-01 01:26:17 UTC,137.46,2.3644,0.0315,0.0,0.002,0.19,6.34,MIN_PROFIT_TP_HIT,100.002
8,DOGE_USDT,SHORT,Inverted(StochasticRSI(FAST_SCALP-LONG)),2,20.0,0.11814,0.11816,0.11804,0.11816,2026-01-01 01:31:59 UTC,2026-01-01 01:32:00 UTC,0.73,2.3628,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0016
9,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11817,0.11827,0.11827,0.11815,2026-01-01 01:38:59 UTC,2026-01-01 01:41:52 UTC,172.4,2.3634,0.0315,0.0,0.002,0.19,6.35,MIN_PROFIT_TP_HIT,100.0036
10,DOGE_USDT,LONG,Inverted(StochasticRSI(FAST_SCALP-SHORT)),2,20.0,0.11831,0.11829,0.11841,0.11829,2026-01-01 01:43:59 UTC,2026-01-01 01:44:03 UTC,3.21,2.3662,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,100.0032
