trade_id,symbol,direction,sub_strategy_name,vol_contracts,underlying_quantity,entry_price,exit_price,min_profit_tp_price,stop_loss_price,open_time,close_time,duration_seconds,notional_value_usdt,margin_used_usdt,fee_total_usdt,realized_pnl_usdt,realized_pnl_inr,roe_percentage,exit_reason,balance_after_trade_usdt
1,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.11787,0.11789,0.11777,0.11789,2026-01-01 00:32:59 UTC,2026-01-01 00:35:59 UTC,180.0,2.3574,0.0314,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9996
2,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.11778,0.11776,0.11788,0.11776,2026-01-01 00:40:59 UTC,2026-01-01 00:41:59 UTC,60.0,2.3556,0.0314,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9992
3,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.11775,0.11773,0.11785,0.11773,2026-01-01 00:49:59 UTC,2026-01-01 00:50:59 UTC,60.0,2.355,0.0314,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9988
4,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.11782,0.11784,0.11772,0.11784,2026-01-01 00:54:59 UTC,2026-01-01 00:55:59 UTC,60.0,2.3564,0.0314,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9984
5,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.11788,0.1179,0.11778,0.1179,2026-01-01 01:00:59 UTC,2026-01-01 01:01:59 UTC,60.0,2.3576,0.0314,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.998
6,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.11797,0.11799,0.11787,0.11799,2026-01-01 01:05:59 UTC,2026-01-01 01:06:59 UTC,60.0,2.3594,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9976
7,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.11838,0.1184,0.11828,0.1184,2026-01-01 01:13:59 UTC,2026-01-01 01:14:59 UTC,60.0,2.3676,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9972
8,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.11822,0.1182,0.11832,0.1182,2026-01-01 01:23:59 UTC,2026-01-01 01:25:59 UTC,120.0,2.3644,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9968
9,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.11814,0.11812,0.11824,0.11812,2026-01-01 01:31:59 UTC,2026-01-01 01:33:59 UTC,120.0,2.3628,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9964
10,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.11817,0.11819,0.11807,0.11819,2026-01-01 01:38:59 UTC,2026-01-01 01:39:59 UTC,60.0,2.3634,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.996
11,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.11831,0.11833,0.11821,0.11833,2026-01-01 01:43:59 UTC,2026-01-01 01:47:59 UTC,240.0,2.3662,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9956
12,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.11856,0.11858,0.11846,0.11858,2026-01-01 01:55:59 UTC,2026-01-01 01:56:59 UTC,60.0,2.3712,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9952
13,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.11849,0.11851,0.11839,0.11851,2026-01-01 01:58:59 UTC,2026-01-01 02:00:59 UTC,120.0,2.3698,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9948
14,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.11847,0.11845,0.11857,0.11845,2026-01-01 02:04:59 UTC,2026-01-01 02:09:59 UTC,300.0,2.3694,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9944
15,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.1183,0.11828,0.1184,0.11828,2026-01-01 02:15:59 UTC,2026-01-01 02:16:59 UTC,60.0,2.366,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.994
16,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.11842,0.1184,0.11852,0.1184,2026-01-01 02:18:59 UTC,2026-01-01 02:19:59 UTC,60.0,2.3684,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9936
17,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.11839,0.11841,0.11829,0.11841,2026-01-01 02:26:59 UTC,2026-01-01 02:30:59 UTC,240.0,2.3678,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9932
18,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.11854,0.11856,0.11844,0.11856,2026-01-01 02:35:59 UTC,2026-01-01 02:37:59 UTC,120.0,2.3708,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9928
19,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.11863,0.11861,0.11873,0.11861,2026-01-01 02:40:59 UTC,2026-01-01 02:41:59 UTC,60.0,2.3726,0.0316,0.0,-0.0004,-0.04,-1.26,STOP_LOSS_HIT,99.9924
20,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.11855,0.11853,0.11865,0.11853,2026-01-01 02:47:59 UTC,2026-01-01 02:49:59 UTC,120.0,2.371,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.992
21,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.1185,0.11848,0.1186,0.11848,2026-01-01 03:03:59 UTC,2026-01-01 03:04:59 UTC,60.0,2.37,0.0316,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9916
22,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.11826,0.11824,0.11836,0.11824,2026-01-01 03:10:59 UTC,2026-01-01 03:11:59 UTC,60.0,2.3652,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9912
23,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.11822,0.11824,0.11812,0.11824,2026-01-01 03:17:59 UTC,2026-01-01 03:18:59 UTC,60.0,2.3644,0.0315,0.0,-0.0004,-0.04,-1.27,STOP_LOSS_HIT,99.9908
