trade_id,symbol,direction,sub_strategy_name,vol_contracts,underlying_quantity,entry_price,exit_price,min_profit_tp_price,stop_loss_price,open_time,close_time,duration_seconds,notional_value_usdt,margin_used_usdt,fee_total_usdt,realized_pnl_usdt,realized_pnl_inr,roe_percentage,exit_reason,balance_after_trade_usdt
1,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.809,4.811,4.811,4.807,2026-01-01 00:49:59 UTC,2026-01-01 00:50:59 UTC,60.0,0.9618,0.0128,0.0,0.0004,0.04,3.12,MIN_PROFIT_TP_HIT,100.0004
2,TRUMP_USDT,SHORT,SmartStrategy(EMA-SHORT),2,0.2,4.811,4.809,4.809,4.813,2026-01-01 01:20:59 UTC,2026-01-01 01:21:59 UTC,60.0,0.9622,0.0128,0.0,0.0004,0.04,3.12,MIN_PROFIT_TP_HIT,100.0008
3,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.806,4.808,4.804,4.808,2026-01-01 01:50:59 UTC,2026-01-01 01:51:59 UTC,60.0,0.9612,0.0128,0.0,-0.0004,-0.04,-3.12,STOP_LOSS_HIT,100.0004
4,TRUMP_USDT,SHORT,SmartStrategy(EMA-SHORT),2,0.2,4.793,4.791,4.791,4.795,2026-01-01 02:36:59 UTC,2026-01-01 02:38:59 UTC,120.0,0.9586,0.0128,0.0,0.0004,0.04,3.13,MIN_PROFIT_TP_HIT,100.0008
5,TRUMP_USDT,SHORT,SmartStrategy(EMA-SHORT),2,0.2,4.712,4.714,4.71,4.714,2026-01-01 04:19:59 UTC,2026-01-01 04:20:59 UTC,60.0,0.9424,0.0126,0.0,-0.0004,-0.04,-3.18,STOP_LOSS_HIT,100.0004
6,TRUMP_USDT,SHORT,SmartStrategy(EMA-SHORT),2,0.2,4.712,4.71,4.71,4.714,2026-01-01 04:22:59 UTC,2026-01-01 04:23:59 UTC,60.0,0.9424,0.0126,0.0,0.0004,0.04,3.18,MIN_PROFIT_TP_HIT,100.0008
7,TRUMP_USDT,SHORT,SmartStrategy(EMA-SHORT),2,0.2,4.709,4.711,4.707,4.711,2026-01-01 04:31:59 UTC,2026-01-01 04:32:59 UTC,60.0,0.9418,0.0126,0.0,-0.0004,-0.04,-3.19,STOP_LOSS_HIT,100.0004
8,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.718,4.72,4.716,4.72,2026-01-01 05:05:59 UTC,2026-01-01 05:07:59 UTC,120.0,0.9436,0.0126,0.0,-0.0004,-0.04,-3.18,STOP_LOSS_HIT,100.0
9,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.715,4.713,4.717,4.713,2026-01-01 05:45:59 UTC,2026-01-01 05:48:59 UTC,180.0,0.943,0.0126,0.0,-0.0004,-0.04,-3.18,STOP_LOSS_HIT,99.9996
10,TRUMP_USDT,SHORT,SmartStrategy(EMA-SHORT),2,0.2,4.737,4.735,4.735,4.739,2026-01-01 09:47:59 UTC,2026-01-01 09:48:59 UTC,60.0,0.9474,0.0126,0.0,0.0004,0.04,3.17,MIN_PROFIT_TP_HIT,100.0
11,TRUMP_USDT,LONG,SmartStrategy(EMA-LONG),2,0.2,4.738,4.74,4.74,4.736,2026-01-01 10:01:59 UTC,2026-01-01 10:02:59 UTC,60.0,0.9476,0.0126,0.0,0.0004,0.04,3.17,MIN_PROFIT_TP_HIT,100.0004
12,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.713,4.715,4.711,4.715,2026-01-01 11:12:59 UTC,2026-01-01 11:15:59 UTC,180.0,0.9426,0.0126,0.0,-0.0004,-0.04,-3.18,STOP_LOSS_HIT,100.0
13,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.716,4.718,4.718,4.714,2026-01-01 11:21:59 UTC,2026-01-01 11:22:59 UTC,60.0,0.9432,0.0126,0.0,0.0004,0.04,3.18,MIN_PROFIT_TP_HIT,100.0004
14,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.717,4.719,4.715,4.719,2026-01-01 11:26:59 UTC,2026-01-01 11:30:59 UTC,240.0,0.9434,0.0126,0.0,-0.0004,-0.04,-3.18,STOP_LOSS_HIT,100.0
15,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.722,4.724,4.724,4.72,2026-01-01 11:41:59 UTC,2026-01-01 11:45:59 UTC,240.0,0.9444,0.0126,0.0,0.0004,0.04,3.18,MIN_PROFIT_TP_HIT,100.0004
16,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.713,4.711,4.711,4.715,2026-01-01 12:34:59 UTC,2026-01-01 12:35:59 UTC,60.0,0.9426,0.0126,0.0,0.0004,0.04,3.18,MIN_PROFIT_TP_HIT,100.0008
17,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.715,4.717,4.713,4.717,2026-01-01 12:46:59 UTC,2026-01-01 12:47:59 UTC,60.0,0.943,0.0126,0.0,-0.0004,-0.04,-3.18,STOP_LOSS_HIT,100.0004
18,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.713,4.711,4.711,4.715,2026-01-01 12:54:59 UTC,2026-01-01 12:55:59 UTC,60.0,0.9426,0.0126,0.0,0.0004,0.04,3.18,MIN_PROFIT_TP_HIT,100.0008
19,TRUMP_USDT,SHORT,SmartStrategy(EMA-SHORT),2,0.2,4.732,4.734,4.73,4.734,2026-01-01 14:22:59 UTC,2026-01-01 14:23:59 UTC,60.0,0.9464,0.0126,0.0,-0.0004,-0.04,-3.17,STOP_LOSS_HIT,100.0004
20,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.742,4.74,4.74,4.744,2026-01-01 14:54:59 UTC,2026-01-01 14:55:59 UTC,60.0,0.9484,0.0126,0.0,0.0004,0.04,3.16,MIN_PROFIT_TP_HIT,100.0008
21,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.738,4.736,4.74,4.736,2026-01-01 15:14:59 UTC,2026-01-01 15:15:59 UTC,60.0,0.9476,0.0126,0.0,-0.0004,-0.04,-3.17,STOP_LOSS_HIT,100.0004
22,TRUMP_USDT,LONG,SmartStrategy(EMA-LONG),2,0.2,4.74,4.738,4.742,4.738,2026-01-01 15:43:59 UTC,2026-01-01 15:44:59 UTC,60.0,0.948,0.0126,0.0,-0.0004,-0.04,-3.16,STOP_LOSS_HIT,100.0
23,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.741,4.743,4.743,4.739,2026-01-01 16:09:59 UTC,2026-01-01 16:10:59 UTC,60.0,0.9482,0.0126,0.0,0.0004,0.04,3.16,MIN_PROFIT_TP_HIT,100.0004
24,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.743,4.745,4.745,4.741,2026-01-01 16:15:59 UTC,2026-01-01 16:16:59 UTC,60.0,0.9486,0.0126,0.0,0.0004,0.04,3.16,MIN_PROFIT_TP_HIT,100.0008
25,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.737,4.739,4.739,4.735,2026-01-01 16:24:59 UTC,2026-01-01 16:25:59 UTC,60.0,0.9474,0.0126,0.0,0.0004,0.04,3.17,MIN_PROFIT_TP_HIT,100.0012
26,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.751,4.753,4.749,4.753,2026-01-01 16:34:59 UTC,2026-01-01 16:35:59 UTC,60.0,0.9502,0.0127,0.0,-0.0004,-0.04,-3.16,STOP_LOSS_HIT,100.0008
27,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.76,4.758,4.762,4.758,2026-01-01 16:50:59 UTC,2026-01-01 16:52:59 UTC,120.0,0.952,0.0127,0.0,-0.0004,-0.04,-3.15,STOP_LOSS_HIT,100.0004
28,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.759,4.761,4.757,4.761,2026-01-01 16:53:59 UTC,2026-01-01 16:56:59 UTC,180.0,0.9518,0.0127,0.0,-0.0004,-0.04,-3.15,STOP_LOSS_HIT,100.0
29,TRUMP_USDT,SHORT,SmartStrategy(EMA-SHORT),2,0.2,4.798,4.796,4.796,4.8,2026-01-01 17:56:59 UTC,2026-01-01 17:57:59 UTC,60.0,0.9596,0.0128,0.0,0.0004,0.04,3.13,MIN_PROFIT_TP_HIT,100.0004
30,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.777,4.779,4.775,4.779,2026-01-01 18:43:59 UTC,2026-01-01 18:45:59 UTC,120.0,0.9554,0.0127,0.0,-0.0004,-0.04,-3.14,STOP_LOSS_HIT,100.0
31,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.785,4.783,4.783,4.787,2026-01-01 18:53:59 UTC,2026-01-01 18:54:59 UTC,60.0,0.957,0.0128,0.0,0.0004,0.04,3.13,MIN_PROFIT_TP_HIT,100.0004
32,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.785,4.787,4.787,4.783,2026-01-01 18:58:59 UTC,2026-01-01 19:00:59 UTC,120.0,0.957,0.0128,0.0,0.0004,0.04,3.13,MIN_PROFIT_TP_HIT,100.0008
33,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.791,4.789,4.789,4.793,2026-01-01 19:04:59 UTC,2026-01-01 19:05:59 UTC,60.0,0.9582,0.0128,0.0,0.0004,0.04,3.13,MIN_PROFIT_TP_HIT,100.0012
34,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.789,4.787,4.791,4.787,2026-01-01 19:19:59 UTC,2026-01-01 19:20:59 UTC,60.0,0.9578,0.0128,0.0,-0.0004,-0.04,-3.13,STOP_LOSS_HIT,100.0008
35,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.793,4.795,4.791,4.795,2026-01-01 19:26:59 UTC,2026-01-01 19:27:59 UTC,60.0,0.9586,0.0128,0.0,-0.0004,-0.04,-3.13,STOP_LOSS_HIT,100.0004
36,TRUMP_USDT,LONG,SmartStrategy(EMA-LONG),2,0.2,4.815,4.817,4.817,4.813,2026-01-01 20:12:59 UTC,2026-01-01 20:13:59 UTC,60.0,0.963,0.0128,0.0,0.0004,0.04,3.12,MIN_PROFIT_TP_HIT,100.0008
37,TRUMP_USDT,LONG,SmartStrategy(EMA-LONG),2,0.2,4.817,4.815,4.819,4.815,2026-01-01 20:14:59 UTC,2026-01-01 20:15:59 UTC,60.0,0.9634,0.0128,0.0,-0.0004,-0.04,-3.11,STOP_LOSS_HIT,100.0004
38,TRUMP_USDT,SHORT,SmartStrategy(EMA-SHORT),2,0.2,4.813,4.815,4.811,4.815,2026-01-01 20:16:59 UTC,2026-01-01 20:17:59 UTC,60.0,0.9626,0.0128,0.0,-0.0004,-0.04,-3.12,STOP_LOSS_HIT,100.0
39,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.816,4.814,4.814,4.818,2026-01-01 20:25:59 UTC,2026-01-01 20:26:59 UTC,60.0,0.9632,0.0128,0.0,0.0004,0.04,3.11,MIN_PROFIT_TP_HIT,100.0004
40,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.81,4.808,4.812,4.808,2026-01-01 20:30:59 UTC,2026-01-01 20:31:59 UTC,60.0,0.962,0.0128,0.0,-0.0004,-0.04,-3.12,STOP_LOSS_HIT,100.0
41,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.813,4.811,4.815,4.811,2026-01-01 20:33:59 UTC,2026-01-01 20:34:59 UTC,60.0,0.9626,0.0128,0.0,-0.0004,-0.04,-3.12,STOP_LOSS_HIT,99.9996
42,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.811,4.813,4.809,4.813,2026-01-01 20:37:59 UTC,2026-01-01 20:39:59 UTC,120.0,0.9622,0.0128,0.0,-0.0004,-0.04,-3.12,STOP_LOSS_HIT,99.9992
43,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.805,4.807,4.807,4.803,2026-01-01 20:47:59 UTC,2026-01-01 20:48:59 UTC,60.0,0.961,0.0128,0.0,0.0004,0.04,3.12,MIN_PROFIT_TP_HIT,99.9996
44,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.819,4.817,4.817,4.821,2026-01-01 21:11:59 UTC,2026-01-01 21:12:59 UTC,60.0,0.9638,0.0129,0.0,0.0004,0.04,3.11,MIN_PROFIT_TP_HIT,100.0
45,TRUMP_USDT,SHORT,SmartStrategy(EMA-SHORT),2,0.2,4.82,4.822,4.818,4.822,2026-01-01 21:32:59 UTC,2026-01-01 21:35:59 UTC,180.0,0.964,0.0129,0.0,-0.0004,-0.04,-3.11,STOP_LOSS_HIT,99.9996
46,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.817,4.815,4.815,4.819,2026-01-01 21:43:59 UTC,2026-01-01 21:44:59 UTC,60.0,0.9634,0.0128,0.0,0.0004,0.04,3.11,MIN_PROFIT_TP_HIT,100.0
47,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.819,4.821,4.817,4.821,2026-01-01 21:57:59 UTC,2026-01-01 21:59:59 UTC,120.0,0.9638,0.0129,0.0,-0.0004,-0.04,-3.11,STOP_LOSS_HIT,99.9996
48,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.894,4.892,4.892,4.896,2026-01-01 23:32:59 UTC,2026-01-01 23:33:59 UTC,60.0,0.9788,0.0131,0.0,0.0004,0.04,3.06,MIN_PROFIT_TP_HIT,100.0
49,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.891,4.889,4.893,4.889,2026-01-01 23:37:59 UTC,2026-01-01 23:40:59 UTC,180.0,0.9782,0.013,0.0,-0.0004,-0.04,-3.07,STOP_LOSS_HIT,99.9996
50,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.889,4.891,4.887,4.891,2026-01-02 00:00:59 UTC,2026-01-02 00:01:59 UTC,60.0,0.9778,0.013,0.0,-0.0004,-0.04,-3.07,STOP_LOSS_HIT,99.9992
51,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.886,4.884,4.884,4.888,2026-01-02 00:18:59 UTC,2026-01-02 00:19:59 UTC,60.0,0.9772,0.013,0.0,0.0004,0.04,3.07,MIN_PROFIT_TP_HIT,99.9996
52,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.881,4.879,4.883,4.879,2026-01-02 00:23:59 UTC,2026-01-02 00:24:59 UTC,60.0,0.9762,0.013,0.0,-0.0004,-0.04,-3.07,STOP_LOSS_HIT,99.9992
53,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.872,4.874,4.874,4.87,2026-01-02 00:31:59 UTC,2026-01-02 00:32:59 UTC,60.0,0.9744,0.013,0.0,0.0004,0.04,3.08,MIN_PROFIT_TP_HIT,99.9996
54,TRUMP_USDT,SHORT,SmartStrategy(StochRSI-SHORT),2,0.2,4.862,4.86,4.86,4.864,2026-01-02 01:02:59 UTC,2026-01-02 01:03:59 UTC,60.0,0.9724,0.013,0.0,0.0004,0.04,3.09,MIN_PROFIT_TP_HIT,100.0
55,TRUMP_USDT,LONG,SmartStrategy(StochRSI-LONG),2,0.2,4.863,4.861,4.865,4.861,2026-01-02 01:06:59 UTC,2026-01-02 01:07:59 UTC,60.0,0.9726,0.013,0.0,-0.0004,-0.04,-3.08,STOP_LOSS_HIT,99.9996
