Experiment_ID,Asset,Slippage_Ticks,Net_PnL_Roundtrip,PF_Roundtrip,Max_DD_Pct,Net_PnL_EntryOnly,PF_EntryOnly
DOGE_E6_Inv5t2t,DOGE_USDT,0,1.7702,1.13,0.03,1.7702,1.13
DOGE_E6_Inv5t2t,DOGE_USDT,1,-14.3696,0.45,14.37,-7.7922,0.61
DOGE_E6_Inv5t2t,DOGE_USDT,2,-30.5094,0.23,30.51,-17.3546,0.34
DOGE_E6_Inv5t2t,DOGE_USDT,3,-46.6492,0.11,46.65,-26.917,0.18
DOGE_M1_Ratchet,DOGE_USDT,0,1.902,1.17,0.03,1.902,1.17
DOGE_M1_Ratchet,DOGE_USDT,1,-14.7636,0.41,14.77,-7.728,0.57
DOGE_M1_Ratchet,DOGE_USDT,2,-31.4292,0.2,31.43,-17.358,0.31
DOGE_M1_Ratchet,DOGE_USDT,3,-48.0948,0.1,48.09,-26.988,0.16
DOGE_E5_Inv10t2t,DOGE_USDT,0,2.5708,1.17,0.06,2.5708,1.17
DOGE_E5_Inv10t2t,DOGE_USDT,1,-14.1458,0.53,14.15,-6.6642,0.7
DOGE_E5_Inv10t2t,DOGE_USDT,2,-30.8624,0.31,30.86,-15.8992,0.47
DOGE_E5_Inv10t2t,DOGE_USDT,3,-47.579,0.21,47.58,-25.1342,0.33
DOGE_E4_Direct10t2t,DOGE_USDT,0,2.9992,1.2,0.11,2.9992,1.2
DOGE_E4_Direct10t2t,DOGE_USDT,1,-13.6674,0.54,13.67,-6.228,0.72
DOGE_E4_Direct10t2t,DOGE_USDT,2,-30.334,0.32,30.33,-15.4552,0.48
DOGE_E4_Direct10t2t,DOGE_USDT,3,-47.0006,0.21,47.0,-24.6824,0.34
DOGE_E2_Sym1to1,DOGE_USDT,0,0.0652,1.01,0.21,0.0652,1.01
DOGE_E2_Sym1to1,DOGE_USDT,1,-14.4478,0.25,14.45,-9.621,0.34
DOGE_E2_Sym1to1,DOGE_USDT,2,-28.9608,0.0,28.96,-19.3072,0.0
DOGE_E2_Sym1to1,DOGE_USDT,3,-43.4738,0.0,43.47,-28.9934,0.0
TRUMP_T0_Base,TRUMP_USDT,0,1.2896,1.12,0.1,1.2896,1.12
TRUMP_T0_Base,TRUMP_USDT,1,-6.6034,0.47,6.61,-5.5604,0.51
TRUMP_T0_Base,TRUMP_USDT,2,-14.4964,0.0,14.5,-12.4104,0.0
TRUMP_T0_Base,TRUMP_USDT,3,-22.3894,0.0,22.39,-19.2604,0.0
TRUMP_T2_Sym1to1,TRUMP_USDT,0,0.092,1.01,0.08,0.092,1.01
TRUMP_T2_Sym1to1,TRUMP_USDT,1,-13.5794,0.25,13.58,-9.0376,0.34
TRUMP_T2_Sym1to1,TRUMP_USDT,2,-27.2508,0.0,27.25,-18.1672,0.0
TRUMP_T2_Sym1to1,TRUMP_USDT,3,-40.9222,0.0,40.92,-27.2968,0.0
TRUMP_T5_Inv5t2t,TRUMP_USDT,0,-1.0826,0.91,1.18,-1.0826,0.91
TRUMP_T5_Inv5t2t,TRUMP_USDT,1,-15.064,0.36,15.07,-9.1482,0.48
TRUMP_T5_Inv5t2t,TRUMP_USDT,2,-29.0454,0.18,29.05,-17.2138,0.27
TRUMP_T5_Inv5t2t,TRUMP_USDT,3,-43.0268,0.09,43.03,-25.2794,0.15
TRUMP_T6_Inv10t2t,TRUMP_USDT,0,-1.2992,0.89,1.41,-1.2992,0.89
TRUMP_T6_Inv10t2t,TRUMP_USDT,1,-13.8954,0.4,13.9,-8.1108,0.53
TRUMP_T6_Inv10t2t,TRUMP_USDT,2,-26.4916,0.24,26.49,-14.9224,0.36
TRUMP_T6_Inv10t2t,TRUMP_USDT,3,-39.0878,0.16,39.09,-21.734,0.25
