Experiment_ID,Strategy_Name,Asset,Setup_Type,TP_Ticks,SL_Ticks,Slippage_Ticks,Slippage_Mode,Net_PnL_USDT,Profit_Factor,Win_Rate_Pct,Max_DD_Pct,Sortino_Ratio,Delta_PnL_Total_USDT,Delta_PnL_Per_Tick,PnL_EntryOnly_USDT,PF_EntryOnly,Critical_S_Max_Roundtrip,Critical_S_Max_Entry
DOGE_E6_Inv5t2t,DOGE Invert 5t/2t (Baseline Champion),DOGE_USDT,ASYMMETRIC_5t2t,5,2,0,Baseline (0t),1.7702,1.13,31.22,0.03,42.44,0.0,0.0,1.7702,1.13,0.11,0.185
DOGE_E6_Inv5t2t,DOGE Invert 5t/2t (Baseline Champion),DOGE_USDT,ASYMMETRIC_5t2t,5,2,1,Entry+Exit,-14.3696,0.45,31.22,14.37,-18.74,-16.1398,-16.1398,-7.7922,0.61,0.11,0.185
DOGE_E6_Inv5t2t,DOGE Invert 5t/2t (Baseline Champion),DOGE_USDT,ASYMMETRIC_5t2t,5,2,2,Entry+Exit,-30.5094,0.23,31.22,30.51,-18.96,-32.2796,-16.1398,-17.3546,0.34,0.11,0.185
DOGE_E6_Inv5t2t,DOGE Invert 5t/2t (Baseline Champion),DOGE_USDT,ASYMMETRIC_5t2t,5,2,3,Entry+Exit,-46.6492,0.11,31.22,46.65,-19.0,-48.4194,-16.1398,-26.917,0.18,0.11,0.185
DOGE_M1_Ratchet,DOGE Invert 5t/2t + Tick Ratchet,DOGE_USDT,RATCHET_5t2t,5,2,0,Baseline (0t),1.902,1.17,26.94,0.03,54.95,0.0,0.0,1.902,1.17,-0.066,-0.114
DOGE_M1_Ratchet,DOGE Invert 5t/2t + Tick Ratchet,DOGE_USDT,RATCHET_5t2t,5,2,1,Entry+Exit,-14.7636,0.41,26.94,14.77,-18.78,-16.6656,-16.6656,-7.728,0.57,-0.066,-0.114
DOGE_M1_Ratchet,DOGE Invert 5t/2t + Tick Ratchet,DOGE_USDT,RATCHET_5t2t,5,2,2,Entry+Exit,-31.4292,0.2,26.94,31.43,-18.97,-33.3312,-16.6656,-17.358,0.31,-0.066,-0.114
DOGE_M1_Ratchet,DOGE Invert 5t/2t + Tick Ratchet,DOGE_USDT,RATCHET_5t2t,5,2,3,Entry+Exit,-48.0948,0.1,26.94,48.09,-19.01,-49.9968,-16.6656,-26.988,0.16,-0.066,-0.114
DOGE_E5_Inv10t2t,DOGE Invert 10t/2t (High-Asymmetry Fading),DOGE_USDT,ASYMMETRIC_10t2t,10,2,0,Baseline (0t),2.5708,1.17,18.99,0.06,36.3,0.0,0.0,2.5708,1.17,0.154,0.279
DOGE_E5_Inv10t2t,DOGE Invert 10t/2t (High-Asymmetry Fading),DOGE_USDT,ASYMMETRIC_10t2t,10,2,1,Entry+Exit,-14.1458,0.53,18.99,14.15,-18.39,-16.7166,-16.7166,-6.6642,0.7,0.154,0.279
DOGE_E5_Inv10t2t,DOGE Invert 10t/2t (High-Asymmetry Fading),DOGE_USDT,ASYMMETRIC_10t2t,10,2,2,Entry+Exit,-30.8624,0.31,18.99,30.86,-18.86,-33.4332,-16.7166,-15.8992,0.47,0.154,0.279
DOGE_E5_Inv10t2t,DOGE Invert 10t/2t (High-Asymmetry Fading),DOGE_USDT,ASYMMETRIC_10t2t,10,2,3,Entry+Exit,-47.579,0.21,18.99,47.58,-18.93,-50.1498,-16.7166,-25.1342,0.33,0.154,0.279
DOGE_E4_Direct10t2t,DOGE Direct 10t/2t (High-Asymmetry Momentum),DOGE_USDT,ASYMMETRIC_10t2t,10,2,0,Baseline (0t),2.9992,1.2,19.38,0.11,44.9,0.0,0.0,2.9992,1.2,0.18,0.326
DOGE_E4_Direct10t2t,DOGE Direct 10t/2t (High-Asymmetry Momentum),DOGE_USDT,ASYMMETRIC_10t2t,10,2,1,Entry+Exit,-13.6674,0.54,19.38,13.67,-18.21,-16.6666,-16.6666,-6.228,0.72,0.18,0.326
DOGE_E4_Direct10t2t,DOGE Direct 10t/2t (High-Asymmetry Momentum),DOGE_USDT,ASYMMETRIC_10t2t,10,2,2,Entry+Exit,-30.334,0.32,19.38,30.33,-18.83,-33.3332,-16.6666,-15.4552,0.48,0.18,0.326
DOGE_E4_Direct10t2t,DOGE Direct 10t/2t (High-Asymmetry Momentum),DOGE_USDT,ASYMMETRIC_10t2t,10,2,3,Entry+Exit,-47.0006,0.21,19.38,47.0,-18.92,-49.9998,-16.6666,-24.6824,0.34,0.18,0.326
DOGE_E2_Sym1to1,DOGE Direct 2t/2t (Tight Symmetric Scalp),DOGE_USDT,SYMMETRIC_2t2t,2,2,0,Baseline (0t),0.0652,1.01,50.17,0.21,1.33,0.0,0.0,0.0652,1.01,0.005,0.007
DOGE_E2_Sym1to1,DOGE Direct 2t/2t (Tight Symmetric Scalp),DOGE_USDT,SYMMETRIC_2t2t,2,2,1,Entry+Exit,-14.4478,0.25,50.17,14.45,-18.91,-14.513,-14.513,-9.621,0.34,0.005,0.007
DOGE_E2_Sym1to1,DOGE Direct 2t/2t (Tight Symmetric Scalp),DOGE_USDT,SYMMETRIC_2t2t,2,2,2,Entry+Exit,-28.9608,0.0,0.0,28.96,-19.0,-29.026,-14.513,-19.3072,0.0,0.005,0.007
DOGE_E2_Sym1to1,DOGE Direct 2t/2t (Tight Symmetric Scalp),DOGE_USDT,SYMMETRIC_2t2t,2,2,3,Entry+Exit,-43.4738,0.0,0.0,43.47,-19.02,-43.539,-14.513,-28.9934,0.0,0.005,0.007
TRUMP_T0_Base,TRUMP Direct 2t/25% ROE (High-Win-Rate Base),TRUMP_USDT,BASE_ROE,2,10,0,Baseline (0t),1.2896,1.12,84.77,0.1,19.4,0.0,0.0,1.2896,1.12,0.15,0.172
TRUMP_T0_Base,TRUMP Direct 2t/25% ROE (High-Win-Rate Base),TRUMP_USDT,BASE_ROE,2,10,1,Entry+Exit,-6.6034,0.47,84.77,6.61,-16.58,-7.893,-7.893,-5.5604,0.51,0.15,0.172
TRUMP_T0_Base,TRUMP Direct 2t/25% ROE (High-Win-Rate Base),TRUMP_USDT,BASE_ROE,2,10,2,Entry+Exit,-14.4964,0.0,0.0,14.5,-17.82,-15.786,-7.893,-12.4104,0.0,0.15,0.172
TRUMP_T0_Base,TRUMP Direct 2t/25% ROE (High-Win-Rate Base),TRUMP_USDT,BASE_ROE,2,10,3,Entry+Exit,-22.3894,0.0,0.0,22.39,-18.08,-23.679,-7.893,-19.2604,0.0,0.15,0.172
TRUMP_T2_Sym1to1,TRUMP Direct 2t/2t (Tight Symmetric Scalp),TRUMP_USDT,SYMMETRIC_2t2t,2,2,0,Baseline (0t),0.092,1.01,50.25,0.08,2.01,0.0,0.0,0.092,1.01,0.007,0.01
TRUMP_T2_Sym1to1,TRUMP Direct 2t/2t (Tight Symmetric Scalp),TRUMP_USDT,SYMMETRIC_2t2t,2,2,1,Entry+Exit,-13.5794,0.25,50.25,13.58,-18.86,-13.6714,-13.6714,-9.0376,0.34,0.007,0.01
TRUMP_T2_Sym1to1,TRUMP Direct 2t/2t (Tight Symmetric Scalp),TRUMP_USDT,SYMMETRIC_2t2t,2,2,2,Entry+Exit,-27.2508,0.0,0.0,27.25,-18.94,-27.3428,-13.6714,-18.1672,0.0,0.007,0.01
TRUMP_T2_Sym1to1,TRUMP Direct 2t/2t (Tight Symmetric Scalp),TRUMP_USDT,SYMMETRIC_2t2t,2,2,3,Entry+Exit,-40.9222,0.0,0.0,40.92,-18.96,-41.0142,-13.6714,-27.2968,0.0,0.007,0.01
TRUMP_T5_Inv5t2t,TRUMP Invert 5t/2t (Asymmetric Fading),TRUMP_USDT,ASYMMETRIC_5t2t,5,2,0,Baseline (0t),-1.0826,0.91,26.65,1.18,-9.28,0.0,0.0,-1.0826,0.91,-0.078,-0.135
TRUMP_T5_Inv5t2t,TRUMP Invert 5t/2t (Asymmetric Fading),TRUMP_USDT,ASYMMETRIC_5t2t,5,2,1,Entry+Exit,-15.064,0.36,26.65,15.07,-18.6,-13.9814,-13.9814,-9.1482,0.48,-0.078,-0.135
TRUMP_T5_Inv5t2t,TRUMP Invert 5t/2t (Asymmetric Fading),TRUMP_USDT,ASYMMETRIC_5t2t,5,2,2,Entry+Exit,-29.0454,0.18,26.65,29.05,-18.71,-27.9628,-13.9814,-17.2138,0.27,-0.078,-0.135
TRUMP_T5_Inv5t2t,TRUMP Invert 5t/2t (Asymmetric Fading),TRUMP_USDT,ASYMMETRIC_5t2t,5,2,3,Entry+Exit,-43.0268,0.09,26.65,43.03,-18.73,-41.9442,-13.9814,-25.2794,0.15,-0.078,-0.135
