Trigger_Ticks,Stall_Sec,Tighten_SL_Ticks,Breakeven_Trigger_Ticks,Net_PnL_USDT,Profit_Factor,Win_Rate_Pct,Scratch_Rate_Pct,Shakeout_Rate_Pct,Max_DD_Pct,Gross_Profit_USDT,Gross_Loss_USDT,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Total_Trades,Winning_Trades,Losing_Trades,Scratch_Trades,Shakeout_Trades
1.0,10.0,1.0,2.5,4.8692,1.53,29.54,16.02,1.68,0.014,14.122,9.2528,36.64,538.78,524.97,47812,14122,26032,7658,803
1.5,10.0,1.0,2.5,4.7,1.5,29.68,16.02,1.54,0.015,14.189,9.489,35.48,468.82,475.83,47812,14189,25965,7658,736
1.5,15.0,1.0,2.5,4.8494,1.51,30.12,16.02,1.1,0.015,14.401,9.5516,35.99,466.26,491.15,47812,14401,25753,7658,524
1.0,15.0,1.0,2.5,4.7774,1.5,29.99,16.02,1.22,0.015,14.341,9.5636,35.62,457.32,483.78,47812,14341,25813,7658,584
1.0,10.0,0.5,2.5,4.127,1.47,27.02,16.02,4.19,0.014,12.92,8.793,35.54,453.09,457.57,47812,12920,27234,7658,2005
2.0,20.0,1.0,2.5,4.6584,1.47,30.5,16.02,0.71,0.015,14.585,9.9266,34.39,434.12,453.49,47812,14585,25569,7658,340
1.5,15.0,0.5,2.5,4.2496,1.46,28.27,16.02,2.95,0.016,13.515,9.2654,35.57,422.22,410.9,47812,13515,26639,7658,1410
2.0,15.0,1.0,2.5,4.6992,1.48,30.28,16.02,0.94,0.015,14.476,9.7768,34.87,416.64,464.94,47812,14476,25678,7658,449
1.0,10.0,1.0,3.0,4.5138,1.47,29.54,12.3,1.68,0.014,14.122,9.6082,34.91,415.34,478.49,47812,14122,27809,5881,803
1.5,20.0,1.0,2.5,4.7096,1.48,30.36,16.02,0.85,0.015,14.518,9.8084,34.68,410.49,458.52,47812,14518,25636,7658,407
1.0,20.0,1.0,2.5,4.6592,1.47,30.28,16.02,0.94,0.015,14.476,9.8168,34.42,405.93,453.59,47812,14476,25678,7658,449
1.0,15.0,0.5,2.5,4.1055,1.44,27.99,16.02,3.22,0.016,13.384,9.2785,34.55,405.53,396.82,47812,13384,26770,7658,1541
2.5,60.0,1.0,2.5,4.747,1.47,31.07,16.02,0.15,0.016,14.853,10.106,33.24,401.24,450.55,47812,14853,25301,7658,72
2.0,60.0,1.0,2.5,4.7098,1.47,31.0,16.02,0.22,0.016,14.822,10.1122,33.27,398.1,447.02,47812,14822,25332,7658,103
2.5,45.0,1.0,2.5,4.687,1.46,30.96,16.02,0.26,0.016,14.803,10.116,33.17,396.17,444.85,47812,14803,25351,7658,122
1.5,60.0,1.0,2.5,4.6834,1.46,30.95,16.02,0.26,0.016,14.8,10.1166,33.16,395.86,444.5,47812,14800,25354,7658,125
1.0,10.0,0.5,3.0,3.9493,1.44,27.02,12.3,4.19,0.014,12.92,8.9707,34.45,393.75,434.06,47812,12920,29011,5881,2005
1.0,60.0,1.0,2.5,4.6558,1.46,30.91,16.02,0.31,0.016,14.777,10.1212,33.16,393.53,441.87,47812,14777,25377,7658,148
2.0,45.0,1.0,2.5,4.6558,1.46,30.91,16.02,0.31,0.016,14.777,10.1212,33.16,393.53,441.87,47812,14777,25377,7658,148
1.5,45.0,1.0,2.5,4.627,1.46,30.86,16.02,0.36,0.016,14.753,10.126,33.21,391.1,439.14,47812,14753,25401,7658,172
2.5,60.0,0.5,2.5,4.6046,1.46,30.78,16.02,0.44,0.016,14.717,10.1124,33.71,384.9,437.0,47812,14717,25437,7658,208
2.5,30.0,1.0,2.5,4.603,1.45,30.81,16.02,0.4,0.016,14.733,10.13,33.24,384.27,436.83,47812,14733,25421,7658,192
1.0,45.0,1.0,2.5,4.5862,1.45,30.79,16.02,0.43,0.016,14.719,10.1328,33.24,382.87,435.23,47812,14719,25435,7658,206
2.0,60.0,0.5,2.5,4.543,1.45,30.66,16.02,0.55,0.016,14.661,10.118,33.63,379.75,431.14,47812,14661,25493,7658,264
2.0,10.0,1.0,2.5,4.4628,1.45,29.86,16.02,1.35,0.015,14.279,9.8162,33.84,379.35,441.0,47812,14279,25875,7658,646
2.0,30.0,1.0,2.5,4.5478,1.45,30.72,16.02,0.5,0.016,14.687,10.1392,33.26,379.1,431.55,47812,14687,25467,7658,238
1.5,30.0,1.0,2.5,4.5022,1.44,30.64,16.02,0.58,0.016,14.649,10.1468,33.07,375.3,427.18,47812,14649,25505,7658,276
2.5,45.0,0.5,2.5,4.488,1.44,30.56,16.02,0.66,0.016,14.611,10.123,33.49,375.15,425.91,47812,14611,25543,7658,314
2.5,20.0,1.0,2.5,4.4854,1.44,30.61,16.02,0.61,0.016,14.635,10.1496,33.04,373.9,425.58,47812,14635,25519,7658,290
1.5,60.0,0.5,2.5,4.4638,1.44,30.51,16.02,0.7,0.016,14.589,10.1252,33.55,373.13,423.58,47812,14589,25565,7658,336
1.5,10.0,0.5,2.5,3.9198,1.43,27.34,16.02,3.88,0.016,13.072,9.1522,34.01,372.1,378.62,47812,13072,27082,7658,1853
1.0,30.0,1.0,2.5,4.4602,1.44,30.57,16.02,0.65,0.016,14.614,10.1538,32.94,371.66,423.17,47812,14614,25540,7658,311
1.5,15.0,0.5,3.0,4.0719,1.43,28.27,12.3,2.95,0.016,13.515,9.4431,34.5,369.57,391.1,47812,13515,28416,5881,1410
1.5,15.0,1.0,3.0,4.494,1.45,30.12,12.3,1.1,0.015,14.401,9.907,34.26,365.15,438.53,47812,14401,27530,5881,524
1.5,10.0,1.0,3.0,4.3446,1.44,29.68,12.3,1.54,0.015,14.189,9.8444,33.68,365.12,433.78,47812,14189,27742,5881,736
1.5,20.0,0.5,2.5,4.1483,1.43,28.87,16.02,2.34,0.016,13.805,9.6567,33.52,365.04,379.32,47812,13805,26349,7658,1120
2.0,20.0,0.5,2.5,4.1093,1.42,29.17,16.02,2.04,0.016,13.949,9.8397,33.13,363.38,375.75,47812,13949,26205,7658,976
1.0,15.0,1.0,3.0,4.422,1.45,29.99,12.3,1.22,0.015,14.341,9.919,33.86,357.04,431.34,47812,14341,27590,5881,584
1.0,60.0,0.5,2.5,4.3901,1.43,30.37,16.02,0.84,0.017,14.522,10.1319,33.2,354.29,389.77,47812,14522,25632,7658,403
2.0,45.0,0.5,2.5,4.3901,1.43,30.37,16.02,0.84,0.017,14.522,10.1319,33.2,354.29,389.77,47812,14522,25632,7658,403
1.0,15.0,0.5,3.0,3.9278,1.42,27.99,12.3,3.22,0.016,13.384,9.4562,33.45,351.83,377.12,47812,13384,28547,5881,1541
2.0,15.0,0.5,2.5,4.0708,1.42,28.61,16.02,2.6,0.016,13.68,9.6092,33.63,351.32,386.16,47812,13680,26474,7658,1245
1.0,10.0,0.5,3.5,3.7176,1.4,27.02,7.45,4.19,0.014,12.92,9.2024,33.12,348.77,407.71,47812,12920,31328,3564,2005
2.5,15.0,1.0,2.5,4.3702,1.43,30.41,16.02,0.81,0.016,14.539,10.1688,32.64,342.1,414.56,47812,14539,25615,7658,386
1.5,45.0,0.5,2.5,4.3076,1.42,30.22,16.02,1.0,0.017,14.447,10.1394,33.05,342.01,382.39,47812,14447,25707,7658,478
1.0,10.0,1.0,3.5,4.0504,1.4,29.54,7.45,1.68,0.015,14.122,10.0716,32.83,338.02,410.06,47812,14122,30126,3564,803
2.5,30.0,0.5,2.5,4.2372,1.42,30.08,16.02,1.13,0.017,14.383,10.1458,32.92,334.19,376.08,47812,14383,25771,7658,542
1.0,20.0,0.5,2.5,4.0108,1.41,28.61,16.02,2.6,0.016,13.68,9.6692,32.9,330.71,366.66,47812,13680,26474,7658,1245
1.0,45.0,0.5,2.5,4.1866,1.41,29.99,16.02,1.23,0.017,14.337,10.1504,32.54,330.2,371.57,47812,14337,25817,7658,588
1.5,15.0,0.5,3.5,3.8402,1.4,28.27,7.45,2.95,0.016,13.515,9.6748,33.18,329.97,366.41,47812,13515,30733,3564,1410
2.0,15.0,1.0,3.0,4.3438,1.43,30.28,12.3,0.94,0.016,14.476,10.1322,33.06,326.42,408.01,47812,14476,27455,5881,449
1.5,10.0,0.5,3.0,3.7421,1.4,27.34,12.3,3.88,0.016,13.072,9.3299,32.84,322.23,359.05,47812,13072,28859,5881,1853
2.0,30.0,0.5,2.5,4.1019,1.4,29.83,16.02,1.39,0.017,14.26,10.1581,32.27,321.67,364.02,47812,14260,25894,7658,665
2.0,20.0,1.0,3.0,4.2394,1.41,30.5,12.3,0.71,0.016,14.585,10.3456,32.12,318.67,402.83,47812,14585,27346,5881,340
1.0,15.0,0.5,3.5,3.6961,1.38,27.99,7.45,3.22,0.016,13.384,9.6879,32.06,308.94,352.53,47812,13384,30864,3564,1541
1.5,30.0,0.5,2.5,3.9864,1.39,29.61,16.02,1.61,0.017,14.155,10.1686,31.57,308.49,353.71,47812,14155,25999,7658,770
1.0,10.0,0.5,4.0,3.4665,1.37,27.02,2.2,4.19,0.014,12.92,9.4535,31.64,307.52,374.01,47812,12920,33839,1053,2005
1.5,20.0,1.0,3.0,4.2906,1.42,30.36,12.3,0.85,0.016,14.518,10.2274,32.43,306.54,411.2,47812,14518,27413,5881,407
2.0,15.0,0.5,3.0,3.8931,1.4,28.61,12.3,2.6,0.016,13.68,9.7869,32.52,306.24,366.89,47812,13680,28251,5881,1245
1.0,20.0,1.0,3.0,4.2402,1.41,30.28,12.3,0.94,0.016,14.476,10.2358,32.13,301.61,388.53,47812,14476,27455,5881,449
2.5,10.0,1.0,2.5,4.1614,1.41,30.04,16.02,1.17,0.017,14.365,10.2036,31.78,301.51,372.31,47812,14365,25789,7658,560
2.0,10.0,1.0,3.0,4.1074,1.4,29.86,12.3,1.35,0.016,14.279,10.1716,31.94,298.08,385.32,47812,14279,27652,5881,646
1.5,15.0,1.0,3.5,4.0306,1.39,30.12,7.45,1.1,0.016,14.401,10.3704,32.25,294.46,373.54,47812,14401,29847,3564,524
2.5,20.0,0.5,2.5,3.9182,1.39,29.48,16.02,1.74,0.017,14.093,10.1748,31.28,294.08,347.63,47812,14093,26061,7658,832
1.5,15.0,0.5,4.0,3.5891,1.36,28.27,2.2,2.95,0.016,13.515,9.9259,31.72,294.04,342.35,47812,13515,33244,1053,1410
1.5,10.0,1.0,3.5,3.8812,1.38,29.68,7.45,1.54,0.015,14.189,10.3078,31.49,293.34,377.64,47812,14189,30059,3564,736
1.0,30.0,0.5,2.5,3.8588,1.38,29.36,16.02,1.85,0.017,14.039,10.1802,31.01,288.59,342.33,47812,14039,26115,7658,886
1.5,20.0,0.5,3.0,3.8752,1.39,28.87,12.3,2.34,0.017,13.805,9.9298,31.71,288.49,352.03,47812,13805,28126,5881,1120
2.0,20.0,0.5,3.0,3.8362,1.38,29.17,12.3,2.04,0.017,13.949,10.1128,31.29,287.87,348.48,47812,13949,27982,5881,976
1.0,15.0,1.0,3.5,3.9586,1.38,29.99,7.45,1.22,0.016,14.341,10.3824,31.76,287.16,366.73,47812,14341,29907,3564,584
1.5,10.0,0.5,3.5,3.5104,1.37,27.34,7.45,3.88,0.016,13.072,9.5616,31.4,281.57,334.6,47812,13072,31176,3564,1853
2.5,20.0,1.0,3.0,4.0664,1.38,30.61,12.3,0.61,0.017,14.635,10.5686,30.69,277.23,363.54,47812,14635,27296,5881,290
1.0,15.0,0.5,4.0,3.445,1.35,27.99,2.2,3.22,0.016,13.384,9.939,30.53,272.07,328.48,47812,13384,33375,1053,1541
