Symbol,Timeframe,Preset,Regime_Name,Trade_Count,Direct_Win_Rate_Pct,Invert_Win_Rate_Pct,Direct_PF,Invert_PF,Direct_PnL_USDT,Invert_PnL_USDT,Prefer_Fading
DOGE_USDT,1m,FAST_SCALP,CHOP_HIGH (CHOP > 55),6945,50.61,53.79,2.56,2.91,2.143,2.4524,True
DOGE_USDT,1m,FAST_SCALP,CHOP_LOW (CHOP <= 55),32976,52.26,52.64,2.74,2.78,10.9372,11.1122,True
DOGE_USDT,1m,FAST_SCALP,ADX_CHOP (ADX < 20),13400,49.99,52.17,2.5,2.73,4.0172,4.4274,True
DOGE_USDT,1m,FAST_SCALP,ADX_TRANSITION (20 <= ADX <= 30),15148,52.17,51.86,2.73,2.69,5.005,4.9378,False
DOGE_USDT,1m,FAST_SCALP,ADX_BREAKOUT (ADX > 30),11373,54.06,54.95,2.94,3.05,4.058,4.1994,True
DOGE_USDT,1m,FAST_SCALP,WITH_TREND_EMA200,19559,50.8,53.56,2.58,2.88,6.0854,6.8428,True
DOGE_USDT,1m,FAST_SCALP,COUNTER_TREND_EMA200,20362,53.11,52.15,2.83,2.72,6.9948,6.7218,False
DOGE_USDT,1m,STANDARD,CHOP_HIGH (CHOP > 55),6451,51.64,53.57,2.67,2.88,2.083,2.258,True
DOGE_USDT,1m,STANDARD,CHOP_LOW (CHOP <= 55),30391,52.15,52.68,2.72,2.78,10.0308,10.259,True
DOGE_USDT,1m,STANDARD,ADX_CHOP (ADX < 20),11918,50.13,52.3,2.51,2.74,3.5978,3.959,True
DOGE_USDT,1m,STANDARD,ADX_TRANSITION (20 <= ADX <= 30),14305,52.04,52.12,2.71,2.72,4.701,4.7164,True
DOGE_USDT,1m,STANDARD,ADX_BREAKOUT (ADX > 30),10619,54.23,54.41,2.96,2.98,3.815,3.8416,True
DOGE_USDT,1m,STANDARD,WITH_TREND_EMA200,17882,50.75,53.52,2.58,2.88,5.5536,6.2452,True
DOGE_USDT,1m,STANDARD,COUNTER_TREND_EMA200,18960,53.29,52.2,2.85,2.73,6.5602,6.2718,False
DOGE_USDT,1m,MICRO_BURST,CHOP_HIGH (CHOP > 55),4852,50.02,53.87,2.5,2.92,1.457,1.7188,True
DOGE_USDT,1m,MICRO_BURST,CHOP_LOW (CHOP <= 55),28554,52.29,52.65,2.74,2.78,9.4818,9.6274,True
DOGE_USDT,1m,MICRO_BURST,ADX_CHOP (ADX < 20),10892,49.8,52.15,2.48,2.72,3.2368,3.5952,True
DOGE_USDT,1m,MICRO_BURST,ADX_TRANSITION (20 <= ADX <= 30),12769,52.02,52.13,2.71,2.72,4.1926,4.2122,True
DOGE_USDT,1m,MICRO_BURST,ADX_BREAKOUT (ADX > 30),9745,54.29,54.51,2.97,3.0,3.5094,3.5388,True
DOGE_USDT,1m,MICRO_BURST,WITH_TREND_EMA200,16035,50.89,53.43,2.59,2.87,5.0114,5.5798,True
DOGE_USDT,1m,MICRO_BURST,COUNTER_TREND_EMA200,17371,52.94,52.28,2.81,2.74,5.9274,5.7664,False
DOGE_USDT,3m,FAST_SCALP,CHOP_HIGH (CHOP > 55),2917,59.31,62.94,3.64,4.25,1.2552,1.4036,True
DOGE_USDT,3m,FAST_SCALP,CHOP_LOW (CHOP <= 55),10576,62.27,61.78,4.13,4.04,4.99,4.9172,False
DOGE_USDT,3m,FAST_SCALP,ADX_CHOP (ADX < 20),4637,59.54,58.66,3.68,3.55,2.0106,1.9532,False
DOGE_USDT,3m,FAST_SCALP,ADX_TRANSITION (20 <= ADX <= 30),4947,61.19,62.16,3.94,4.11,2.259,2.3262,True
DOGE_USDT,3m,FAST_SCALP,ADX_BREAKOUT (ADX > 30),3909,64.67,65.87,4.58,4.83,1.9756,2.0414,True
DOGE_USDT,3m,FAST_SCALP,WITH_TREND_EMA200,6664,59.53,63.1,3.68,4.28,2.8882,3.2214,True
DOGE_USDT,3m,FAST_SCALP,COUNTER_TREND_EMA200,6829,63.68,60.99,4.38,3.91,3.357,3.0994,False
DOGE_USDT,3m,STANDARD,CHOP_HIGH (CHOP > 55),2674,59.8,63.35,3.72,4.32,1.169,1.302,True
DOGE_USDT,3m,STANDARD,CHOP_LOW (CHOP <= 55),9573,62.44,61.52,4.16,4.0,4.5386,4.4154,False
DOGE_USDT,3m,STANDARD,ADX_CHOP (ADX < 20),4033,59.91,57.4,3.74,3.37,1.7692,1.6278,False
DOGE_USDT,3m,STANDARD,ADX_TRANSITION (20 <= ADX <= 30),4637,61.81,62.02,4.05,4.08,2.1576,2.1716,True
DOGE_USDT,3m,STANDARD,ADX_BREAKOUT (ADX > 30),3577,64.13,66.87,4.47,5.05,1.7808,1.918,True
DOGE_USDT,3m,STANDARD,WITH_TREND_EMA200,6010,59.73,63.26,3.71,4.3,2.622,2.9188,True
DOGE_USDT,3m,STANDARD,COUNTER_TREND_EMA200,6237,63.91,60.62,4.43,3.85,3.0856,2.7986,False
DOGE_USDT,3m,MICRO_BURST,CHOP_HIGH (CHOP > 55),2073,60.2,62.33,3.78,4.14,0.918,0.9796,True
DOGE_USDT,3m,MICRO_BURST,CHOP_LOW (CHOP <= 55),9296,62.16,62.09,4.11,4.09,4.3708,4.3624,False
DOGE_USDT,3m,MICRO_BURST,ADX_CHOP (ADX < 20),3851,60.27,58.45,3.79,3.52,1.709,1.611,False
DOGE_USDT,3m,MICRO_BURST,ADX_TRANSITION (20 <= ADX <= 30),4162,61.27,61.89,3.95,4.06,1.9052,1.9416,True
DOGE_USDT,3m,MICRO_BURST,ADX_BREAKOUT (ADX > 30),3356,64.21,66.66,4.49,5.0,1.6746,1.7894,True
DOGE_USDT,3m,MICRO_BURST,WITH_TREND_EMA200,5496,59.52,63.45,3.68,4.34,2.381,2.6834,True
DOGE_USDT,3m,MICRO_BURST,COUNTER_TREND_EMA200,5873,63.94,60.91,4.43,3.89,2.9078,2.6586,False
DOGE_USDT,5m,FAST_SCALP,CHOP_HIGH (CHOP > 55),1933,67.67,65.24,5.23,4.69,1.058,0.9922,False
DOGE_USDT,5m,FAST_SCALP,CHOP_LOW (CHOP <= 55),6164,69.39,68.07,5.67,5.33,3.5222,3.4088,False
DOGE_USDT,5m,FAST_SCALP,ADX_CHOP (ADX < 20),2864,66.03,63.2,4.86,4.29,1.5018,1.3884,False
DOGE_USDT,5m,FAST_SCALP,ADX_TRANSITION (20 <= ADX <= 30),2897,68.55,67.21,5.45,5.12,1.6216,1.567,False
DOGE_USDT,5m,FAST_SCALP,ADX_BREAKOUT (ADX > 30),2336,73.12,72.77,6.8,6.68,1.4568,1.4456,False
DOGE_USDT,5m,FAST_SCALP,WITH_TREND_EMA200,3998,67.76,67.86,5.25,5.28,2.1934,2.199,True
DOGE_USDT,5m,FAST_SCALP,COUNTER_TREND_EMA200,4099,70.16,66.94,5.88,5.06,2.3868,2.202,False
DOGE_USDT,5m,STANDARD,CHOP_HIGH (CHOP > 55),1757,65.96,66.93,4.85,5.06,0.9198,0.9436,True
DOGE_USDT,5m,STANDARD,CHOP_LOW (CHOP <= 55),5643,69.61,67.38,5.73,5.16,3.242,3.0656,False
DOGE_USDT,5m,STANDARD,ADX_CHOP (ADX < 20),2545,65.38,62.91,4.72,4.24,1.3116,1.2234,False
DOGE_USDT,5m,STANDARD,ADX_TRANSITION (20 <= ADX <= 30),2712,68.69,67.44,5.49,5.18,1.5234,1.4758,False
DOGE_USDT,5m,STANDARD,ADX_BREAKOUT (ADX > 30),2143,72.8,72.24,6.69,6.5,1.3268,1.31,False
DOGE_USDT,5m,STANDARD,WITH_TREND_EMA200,3613,66.76,67.15,5.02,5.11,1.9316,1.9512,True
DOGE_USDT,5m,STANDARD,COUNTER_TREND_EMA200,3787,70.64,67.39,6.01,5.17,2.2302,2.058,False
DOGE_USDT,5m,MICRO_BURST,CHOP_HIGH (CHOP > 55),1363,66.62,65.15,4.99,4.67,0.726,0.698,False
DOGE_USDT,5m,MICRO_BURST,CHOP_LOW (CHOP <= 55),5394,69.69,67.15,5.75,5.11,3.105,2.9132,False
DOGE_USDT,5m,MICRO_BURST,ADX_CHOP (ADX < 20),2357,66.4,62.49,4.94,4.17,1.2482,1.1194,False
DOGE_USDT,5m,MICRO_BURST,ADX_TRANSITION (20 <= ADX <= 30),2444,68.29,66.73,5.38,5.02,1.359,1.3058,False
DOGE_USDT,5m,MICRO_BURST,ADX_BREAKOUT (ADX > 30),1956,73.26,71.88,6.85,6.39,1.2238,1.186,False
DOGE_USDT,5m,MICRO_BURST,WITH_TREND_EMA200,3225,67.78,66.85,5.26,5.04,1.7704,1.7284,False
DOGE_USDT,5m,MICRO_BURST,COUNTER_TREND_EMA200,3532,70.24,66.65,5.9,5.0,2.0606,1.8828,False
DOGE_USDT,15m,FAST_SCALP,CHOP_HIGH (CHOP > 55),705,75.89,79.29,7.87,9.57,0.467,0.5006,True
DOGE_USDT,15m,FAST_SCALP,CHOP_LOW (CHOP <= 55),1926,81.1,80.22,10.73,10.14,1.4164,1.3926,False
DOGE_USDT,15m,FAST_SCALP,ADX_CHOP (ADX < 20),881,76.16,77.87,7.99,8.79,0.587,0.608,True
DOGE_USDT,15m,FAST_SCALP,ADX_TRANSITION (20 <= ADX <= 30),947,78.67,80.68,9.22,10.44,0.6642,0.6908,True
DOGE_USDT,15m,FAST_SCALP,ADX_BREAKOUT (ADX > 30),803,84.81,81.44,13.95,10.97,0.6322,0.5944,False
DOGE_USDT,15m,FAST_SCALP,WITH_TREND_EMA200,1301,79.17,79.94,9.5,9.96,0.9216,0.9356,True
DOGE_USDT,15m,FAST_SCALP,COUNTER_TREND_EMA200,1330,80.23,80.0,10.14,10.0,0.9618,0.9576,False
DOGE_USDT,15m,STANDARD,CHOP_HIGH (CHOP > 55),619,77.54,80.29,8.63,10.18,0.4244,0.4482,True
DOGE_USDT,15m,STANDARD,CHOP_LOW (CHOP <= 55),1761,80.98,80.81,10.64,10.53,1.292,1.2878,False
DOGE_USDT,15m,STANDARD,ADX_CHOP (ADX < 20),778,75.96,78.02,7.9,8.87,0.5162,0.5386,True
DOGE_USDT,15m,STANDARD,ADX_TRANSITION (20 <= ADX <= 30),857,80.05,80.75,10.03,10.48,0.6176,0.626,True
DOGE_USDT,15m,STANDARD,ADX_BREAKOUT (ADX > 30),745,84.43,83.36,13.56,12.52,0.5826,0.5714,False
DOGE_USDT,15m,STANDARD,WITH_TREND_EMA200,1195,79.0,80.75,9.4,10.49,0.8436,0.873,True
DOGE_USDT,15m,STANDARD,COUNTER_TREND_EMA200,1185,81.18,80.59,10.78,10.38,0.8728,0.863,False
DOGE_USDT,15m,MICRO_BURST,CHOP_HIGH (CHOP > 55),489,77.1,78.12,8.42,8.93,0.3322,0.3392,True
DOGE_USDT,15m,MICRO_BURST,CHOP_LOW (CHOP <= 55),1640,82.56,80.37,11.84,10.23,1.2396,1.1892,False
DOGE_USDT,15m,MICRO_BURST,ADX_CHOP (ADX < 20),661,78.21,74.89,8.98,7.45,0.4594,0.4286,False
DOGE_USDT,15m,MICRO_BURST,ADX_TRANSITION (20 <= ADX <= 30),782,80.31,81.84,10.19,11.27,0.5664,0.5832,True
DOGE_USDT,15m,MICRO_BURST,ADX_BREAKOUT (ADX > 30),686,85.42,82.36,14.65,11.67,0.546,0.5166,False
DOGE_USDT,15m,MICRO_BURST,WITH_TREND_EMA200,1023,80.06,79.37,10.04,9.62,0.7374,0.7276,False
DOGE_USDT,15m,MICRO_BURST,COUNTER_TREND_EMA200,1106,82.46,80.29,11.75,10.18,0.8344,0.8008,False
TRUMP_USDT,1m,FAST_SCALP,CHOP_HIGH (CHOP > 55),10503,52.11,61.69,2.72,4.03,3.461,4.8694,True
TRUMP_USDT,1m,FAST_SCALP,CHOP_LOW (CHOP <= 55),28180,49.18,54.42,2.42,2.98,8.1306,10.197,True
TRUMP_USDT,1m,FAST_SCALP,ADX_CHOP (ADX < 20),12285,49.75,56.9,2.48,3.3,3.6428,4.872,True
TRUMP_USDT,1m,FAST_SCALP,ADX_TRANSITION (20 <= ADX <= 30),14683,49.98,56.34,2.5,3.23,4.4014,5.7076,True
TRUMP_USDT,1m,FAST_SCALP,ADX_BREAKOUT (ADX > 30),11715,50.2,55.93,2.52,3.17,3.5474,4.4868,True
TRUMP_USDT,1m,FAST_SCALP,WITH_TREND_EMA200,18966,48.85,57.73,2.39,3.41,5.3832,7.7422,True
TRUMP_USDT,1m,FAST_SCALP,COUNTER_TREND_EMA200,19717,51.06,55.1,2.61,3.07,6.2084,7.3242,True
TRUMP_USDT,1m,STANDARD,CHOP_HIGH (CHOP > 55),9435,52.57,60.6,2.77,3.85,3.17,4.2312,True
TRUMP_USDT,1m,STANDARD,CHOP_LOW (CHOP <= 55),26335,49.39,54.43,2.44,2.99,7.6744,9.5336,True
TRUMP_USDT,1m,STANDARD,ADX_CHOP (ADX < 20),10981,50.1,56.1,2.51,3.19,3.3104,4.2316,True
TRUMP_USDT,1m,STANDARD,ADX_TRANSITION (20 <= ADX <= 30),13915,50.02,56.34,2.5,3.23,4.178,5.41,True
TRUMP_USDT,1m,STANDARD,ADX_BREAKOUT (ADX > 30),10874,50.62,55.66,2.56,3.14,3.356,4.1232,True
TRUMP_USDT,1m,STANDARD,WITH_TREND_EMA200,17455,49.49,57.03,2.45,3.32,5.1126,6.955,True
TRUMP_USDT,1m,STANDARD,COUNTER_TREND_EMA200,18315,50.93,55.13,2.59,3.07,5.7318,6.8098,True
TRUMP_USDT,1m,MICRO_BURST,CHOP_HIGH (CHOP > 55),7781,52.47,61.89,2.76,4.06,2.6038,3.63,True
TRUMP_USDT,1m,MICRO_BURST,CHOP_LOW (CHOP <= 55),24201,49.35,54.19,2.44,2.96,7.0398,8.6806,True
TRUMP_USDT,1m,MICRO_BURST,ADX_CHOP (ADX < 20),9905,49.86,56.76,2.49,3.28,2.9526,3.9088,True
TRUMP_USDT,1m,MICRO_BURST,ADX_TRANSITION (20 <= ADX <= 30),12220,50.22,56.03,2.52,3.19,3.7038,4.6978,True
TRUMP_USDT,1m,MICRO_BURST,ADX_BREAKOUT (ADX > 30),9857,50.22,55.41,2.52,3.11,2.9872,3.704,True
TRUMP_USDT,1m,MICRO_BURST,WITH_TREND_EMA200,15356,49.11,57.06,2.41,3.32,4.4164,6.1244,True
