Symbol,Timeframe,Preset,Total_Signals,Direct_Win_Rate_Pct,Invert_Win_Rate_Pct,Direct_PF,Invert_PF,Direct_PnL_USDT,Invert_PnL_USDT,Alpha_Differential_USDT,Winner
DOGE_USDT,1m,FAST_SCALP,39921,51.98,52.84,2.71,2.8,13.0802,13.5646,0.4844,INVERTED (Fading)
DOGE_USDT,1m,STANDARD,36842,52.06,52.84,2.71,2.8,12.1138,12.517,0.4032,INVERTED (Fading)
DOGE_USDT,1m,MICRO_BURST,33406,51.96,52.83,2.7,2.8,10.9388,11.3462,0.4074,INVERTED (Fading)
DOGE_USDT,3m,FAST_SCALP,13493,61.63,62.03,4.02,4.08,6.2452,6.3208,0.0756,INVERTED (Fading)
DOGE_USDT,3m,STANDARD,12247,61.86,61.92,4.05,4.06,5.7076,5.7174,0.0098,INVERTED (Fading)
DOGE_USDT,3m,MICRO_BURST,11369,61.8,62.13,4.04,4.1,5.2888,5.342,0.0532,INVERTED (Fading)
DOGE_USDT,5m,FAST_SCALP,8097,68.98,67.4,5.56,5.17,4.5802,4.401,-0.1792,DIRECT (Momentum)
DOGE_USDT,5m,STANDARD,7400,68.74,67.27,5.5,5.14,4.1618,4.0092,-0.1526,DIRECT (Momentum)
DOGE_USDT,5m,MICRO_BURST,6757,69.07,66.75,5.58,5.02,3.831,3.6112,-0.2198,DIRECT (Momentum)
DOGE_USDT,15m,FAST_SCALP,2631,79.7,79.97,9.82,9.98,1.8834,1.8932,0.0098,INVERTED (Fading)
DOGE_USDT,15m,STANDARD,2380,80.08,80.67,10.05,10.43,1.7164,1.736,0.0196,INVERTED (Fading)
DOGE_USDT,15m,MICRO_BURST,2129,81.31,79.85,10.87,9.91,1.5718,1.5284,-0.0434,DIRECT (Momentum)
TRUMP_USDT,1m,FAST_SCALP,38683,49.98,56.39,2.5,3.23,11.5916,15.0664,3.4748,INVERTED (Fading)
TRUMP_USDT,1m,STANDARD,35770,50.23,56.06,2.52,3.19,10.8444,13.7648,2.9204,INVERTED (Fading)
TRUMP_USDT,1m,MICRO_BURST,31982,50.11,56.07,2.51,3.19,9.6436,12.3106,2.667,INVERTED (Fading)
TRUMP_USDT,3m,FAST_SCALP,13203,45.63,49.13,2.1,2.41,3.1538,3.8006,0.6468,INVERTED (Fading)
TRUMP_USDT,3m,STANDARD,12119,45.98,48.42,2.13,2.35,2.9532,3.3676,0.4144,INVERTED (Fading)
TRUMP_USDT,3m,MICRO_BURST,10979,46.12,48.84,2.14,2.39,2.698,3.1152,0.4172,INVERTED (Fading)
TRUMP_USDT,5m,FAST_SCALP,7919,47.23,47.77,2.24,2.29,2.0684,2.1286,0.0602,INVERTED (Fading)
TRUMP_USDT,5m,STANDARD,7265,46.57,47.93,2.18,2.3,1.8302,1.9688,0.1386,INVERTED (Fading)
TRUMP_USDT,5m,MICRO_BURST,6674,46.96,48.65,2.21,2.37,1.718,1.8762,0.1582,INVERTED (Fading)
TRUMP_USDT,15m,FAST_SCALP,2646,59.07,56.88,3.61,3.3,1.1298,1.0486,-0.0812,DIRECT (Momentum)
TRUMP_USDT,15m,STANDARD,2408,59.09,57.1,3.61,3.33,1.029,0.9618,-0.0672,DIRECT (Momentum)
TRUMP_USDT,15m,MICRO_BURST,2151,58.72,57.42,3.56,3.37,0.9078,0.8686,-0.0392,DIRECT (Momentum)
