trade_id,symbol,direction,sub_strategy_name,vol_contracts,underlying_quantity,entry_price,exit_price,min_profit_tp_price,stop_loss_price,open_time,close_time,duration_seconds,notional_value_usdt,margin_used_usdt,fee_total_usdt,realized_pnl_usdt,realized_pnl_inr,roe_percentage,exit_reason,balance_after_trade_usdt
1,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07182,0.0718,0.07192,0.0718,2026-07-01 00:28:59 UTC,2026-07-01 00:29:06 UTC,6.27,1.4364,0.0192,0.0,-0.0004,-0.04,-2.09,STOP_LOSS_HIT,99.9996
2,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07186,0.07188,0.07176,0.07188,2026-07-01 00:35:59 UTC,2026-07-01 00:36:05 UTC,5.58,1.4372,0.0192,0.0,-0.0004,-0.04,-2.09,STOP_LOSS_HIT,99.9992
3,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07169,0.07167,0.07179,0.07167,2026-07-01 00:44:59 UTC,2026-07-01 00:45:03 UTC,3.91,1.4338,0.0191,0.0,-0.0004,-0.04,-2.09,STOP_LOSS_HIT,99.9988
4,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07175,0.07177,0.07165,0.07177,2026-07-01 00:54:59 UTC,2026-07-01 00:55:04 UTC,4.13,1.435,0.0191,0.0,-0.0004,-0.04,-2.09,STOP_LOSS_HIT,99.9984
5,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07136,0.07134,0.07146,0.07134,2026-07-01 01:08:59 UTC,2026-07-01 01:10:15 UTC,75.78,1.4272,0.019,0.0,-0.0004,-0.04,-2.1,STOP_LOSS_HIT,99.998
6,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07102,0.07112,0.07112,0.071,2026-07-01 01:14:59 UTC,2026-07-01 01:15:07 UTC,7.44,1.4204,0.0189,0.0,0.002,0.19,10.56,MIN_PROFIT_TP_HIT,100.0
7,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07112,0.07114,0.07102,0.07114,2026-07-01 01:18:59 UTC,2026-07-01 01:19:00 UTC,0.6,1.4224,0.019,0.0,-0.0004,-0.04,-2.11,STOP_LOSS_HIT,99.9996
8,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07126,0.07128,0.07116,0.07128,2026-07-01 01:22:59 UTC,2026-07-01 01:23:24 UTC,24.49,1.4252,0.019,0.0,-0.0004,-0.04,-2.1,STOP_LOSS_HIT,99.9992
9,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07138,0.07128,0.07128,0.0714,2026-07-01 01:32:59 UTC,2026-07-01 01:33:49 UTC,49.41,1.4276,0.019,0.0,0.002,0.19,10.51,MIN_PROFIT_TP_HIT,100.0012
10,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07189,0.07191,0.07179,0.07191,2026-07-01 01:43:59 UTC,2026-07-01 01:44:01 UTC,1.01,1.4378,0.0192,0.0,-0.0004,-0.04,-2.09,STOP_LOSS_HIT,100.0008
11,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07184,0.07182,0.07194,0.07182,2026-07-01 01:52:59 UTC,2026-07-01 01:53:00 UTC,0.98,1.4368,0.0192,0.0,-0.0004,-0.04,-2.09,STOP_LOSS_HIT,100.0004
12,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07184,0.07186,0.07174,0.07186,2026-07-01 01:58:59 UTC,2026-07-01 01:59:05 UTC,5.02,1.4368,0.0192,0.0,-0.0004,-0.04,-2.09,STOP_LOSS_HIT,100.0
13,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07194,0.07192,0.07204,0.07192,2026-07-01 02:03:59 UTC,2026-07-01 02:04:11 UTC,11.47,1.4388,0.0192,0.0,-0.0004,-0.04,-2.09,STOP_LOSS_HIT,99.9996
14,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07176,0.07186,0.07186,0.07174,2026-07-01 02:09:59 UTC,2026-07-01 02:12:01 UTC,121.01,1.4352,0.0191,0.0,0.002,0.19,10.45,MIN_PROFIT_TP_HIT,100.0016
15,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07202,0.07204,0.07192,0.07204,2026-07-01 02:18:59 UTC,2026-07-01 02:19:02 UTC,2.86,1.4404,0.0192,0.0,-0.0004,-0.04,-2.08,STOP_LOSS_HIT,100.0012
