trade_id,symbol,direction,sub_strategy_name,vol_contracts,underlying_quantity,entry_price,exit_price,min_profit_tp_price,stop_loss_price,open_time,close_time,duration_seconds,notional_value_usdt,margin_used_usdt,fee_total_usdt,realized_pnl_usdt,realized_pnl_inr,roe_percentage,exit_reason,balance_after_trade_usdt
1,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.662,1.67,1.67,1.662,2026-07-01 00:28:59 UTC,2026-07-01 00:34:39 UTC,339.18,0.3324,0.0044,0.0,0.0016,0.15,36.1,MIN_PROFIT_TP_HIT,100.0016
2,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.663,1.668,1.655,1.667,2026-07-01 00:36:59 UTC,2026-07-01 00:46:07 UTC,547.8,0.3326,0.0044,0.0,-0.001,-0.09,-22.55,STOP_LOSS_HIT,100.0006
3,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.668,1.67,1.66,1.669,2026-07-01 00:55:59 UTC,2026-07-01 01:02:09 UTC,369.09,0.3336,0.0044,0.0,-0.0004,-0.04,-8.99,RATCHET_TIGHTEN_HIT,100.0002
4,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.662,1.657,1.67,1.658,2026-07-01 01:09:59 UTC,2026-07-01 01:10:40 UTC,40.68,0.3324,0.0044,0.0,-0.001,-0.09,-22.56,STOP_LOSS_HIT,99.9992
5,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.646,1.645,1.654,1.646,2026-07-01 01:14:59 UTC,2026-07-01 01:16:20 UTC,80.0,0.3292,0.0044,0.0,-0.0002,-0.02,-4.56,RATCHET_BREAKEVEN_HIT,99.999
6,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.657,1.658,1.649,1.657,2026-07-01 01:22:59 UTC,2026-07-01 01:26:58 UTC,238.31,0.3314,0.0044,0.0,-0.0002,-0.02,-4.53,RATCHET_BREAKEVEN_HIT,99.9988
7,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.657,1.662,1.649,1.661,2026-07-01 01:34:59 UTC,2026-07-01 01:35:33 UTC,33.84,0.3314,0.0044,0.0,-0.001,-0.09,-22.63,STOP_LOSS_HIT,99.9978
8,TRUMP_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,0.2,1.675,1.677,1.667,1.676,2026-07-01 01:47:59 UTC,2026-07-01 01:51:51 UTC,231.92,0.335,0.0045,0.0,-0.0004,-0.04,-8.96,RATCHET_TIGHTEN_HIT,99.9974
9,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.677,1.685,1.685,1.677,2026-07-01 01:52:59 UTC,2026-07-01 02:03:45 UTC,645.2,0.3354,0.0045,0.0,0.0016,0.15,35.78,MIN_PROFIT_TP_HIT,99.999
10,TRUMP_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,0.2,1.685,1.693,1.693,1.685,2026-07-01 02:08:59 UTC,2026-07-01 02:11:33 UTC,153.86,0.337,0.0045,0.0,0.0016,0.15,35.61,MIN_PROFIT_TP_HIT,100.0006
