trade_id,symbol,direction,sub_strategy_name,vol_contracts,underlying_quantity,entry_price,exit_price,min_profit_tp_price,stop_loss_price,open_time,close_time,duration_seconds,notional_value_usdt,margin_used_usdt,fee_total_usdt,realized_pnl_usdt,realized_pnl_inr,roe_percentage,exit_reason,balance_after_trade_usdt
1,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07182,0.07184,0.07184,0.07177,2026-07-01 00:28:59 UTC,2026-07-01 00:30:05 UTC,65.93,1.4364,0.0192,0.0,0.0004,0.04,2.09,MIN_PROFIT_TP_HIT,100.0004
2,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07186,0.07191,0.07184,0.07191,2026-07-01 00:35:59 UTC,2026-07-01 00:37:17 UTC,77.41,1.4372,0.0192,0.0,-0.001,-0.09,-5.22,STOP_LOSS_HIT,99.9994
3,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07169,0.07164,0.07171,0.07164,2026-07-01 00:44:59 UTC,2026-07-01 00:48:14 UTC,194.11,1.4338,0.0191,0.0,-0.001,-0.09,-5.23,STOP_LOSS_HIT,99.9984
4,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07175,0.0718,0.07173,0.0718,2026-07-01 00:54:59 UTC,2026-07-01 00:55:28 UTC,28.47,1.435,0.0191,0.0,-0.001,-0.09,-5.23,STOP_LOSS_HIT,99.9974
5,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07136,0.07138,0.07138,0.07131,2026-07-01 01:08:59 UTC,2026-07-01 01:09:03 UTC,3.81,1.4272,0.019,0.0,0.0004,0.04,2.1,MIN_PROFIT_TP_HIT,99.9978
6,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07102,0.07104,0.07104,0.07097,2026-07-01 01:14:59 UTC,2026-07-01 01:15:00 UTC,0.13,1.4204,0.0189,0.0,0.0004,0.04,2.11,MIN_PROFIT_TP_HIT,99.9982
7,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07112,0.0711,0.0711,0.07117,2026-07-01 01:18:59 UTC,2026-07-01 01:19:03 UTC,3.73,1.4224,0.019,0.0,0.0004,0.04,2.11,MIN_PROFIT_TP_HIT,99.9986
8,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07126,0.07124,0.07124,0.07131,2026-07-01 01:22:59 UTC,2026-07-01 01:23:00 UTC,0.1,1.4252,0.019,0.0,0.0004,0.04,2.1,MIN_PROFIT_TP_HIT,99.999
9,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07138,0.07136,0.07136,0.07143,2026-07-01 01:32:59 UTC,2026-07-01 01:33:00 UTC,0.57,1.4276,0.019,0.0,0.0004,0.04,2.1,MIN_PROFIT_TP_HIT,99.9994
10,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07189,0.07187,0.07187,0.07194,2026-07-01 01:43:59 UTC,2026-07-01 01:44:06 UTC,6.57,1.4378,0.0192,0.0,0.0004,0.04,2.09,MIN_PROFIT_TP_HIT,99.9998
11,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07184,0.07186,0.07186,0.07179,2026-07-01 01:52:59 UTC,2026-07-01 01:53:49 UTC,49.32,1.4368,0.0192,0.0,0.0004,0.04,2.09,MIN_PROFIT_TP_HIT,100.0002
12,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07184,0.07182,0.07182,0.07189,2026-07-01 01:58:59 UTC,2026-07-01 01:59:43 UTC,43.76,1.4368,0.0192,0.0,0.0004,0.04,2.09,MIN_PROFIT_TP_HIT,100.0006
13,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07194,0.07196,0.07196,0.07189,2026-07-01 02:03:59 UTC,2026-07-01 02:04:02 UTC,2.47,1.4388,0.0192,0.0,0.0004,0.04,2.09,MIN_PROFIT_TP_HIT,100.001
14,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07176,0.07178,0.07178,0.07171,2026-07-01 02:09:59 UTC,2026-07-01 02:10:03 UTC,3.91,1.4352,0.0191,0.0,0.0004,0.04,2.09,MIN_PROFIT_TP_HIT,100.0014
15,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07202,0.072,0.072,0.07207,2026-07-01 02:18:59 UTC,2026-07-01 02:19:25 UTC,25.81,1.4404,0.0192,0.0,0.0004,0.04,2.08,MIN_PROFIT_TP_HIT,100.0018
16,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.0721,0.07208,0.07208,0.07215,2026-07-01 02:25:59 UTC,2026-07-01 02:26:11 UTC,11.12,1.442,0.0192,0.0,0.0004,0.04,2.08,MIN_PROFIT_TP_HIT,100.0022
17,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07209,0.07211,0.07211,0.07204,2026-07-01 02:29:59 UTC,2026-07-01 02:30:00 UTC,0.1,1.4418,0.0192,0.0,0.0004,0.04,2.08,MIN_PROFIT_TP_HIT,100.0026
18,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07206,0.07208,0.07208,0.07201,2026-07-01 02:31:59 UTC,2026-07-01 02:32:02 UTC,2.52,1.4412,0.0192,0.0,0.0004,0.04,2.08,MIN_PROFIT_TP_HIT,100.003
19,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07214,0.07209,0.07216,0.07209,2026-07-01 02:35:59 UTC,2026-07-01 02:36:33 UTC,33.64,1.4428,0.0192,0.0,-0.001,-0.09,-5.2,STOP_LOSS_HIT,100.002
20,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07191,0.07189,0.07189,0.07196,2026-07-01 02:47:59 UTC,2026-07-01 02:48:11 UTC,11.81,1.4382,0.0192,0.0,0.0004,0.04,2.09,MIN_PROFIT_TP_HIT,100.0024
21,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07194,0.07189,0.07196,0.07189,2026-07-01 02:51:59 UTC,2026-07-01 02:52:32 UTC,32.26,1.4388,0.0192,0.0,-0.001,-0.09,-5.21,STOP_LOSS_HIT,100.0014
22,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07195,0.072,0.07193,0.072,2026-07-01 02:58:59 UTC,2026-07-01 03:00:05 UTC,65.68,1.439,0.0192,0.0,-0.001,-0.09,-5.21,STOP_LOSS_HIT,100.0004
23,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07209,0.07207,0.07207,0.07214,2026-07-01 03:09:59 UTC,2026-07-01 03:10:04 UTC,4.7,1.4418,0.0192,0.0,0.0004,0.04,2.08,MIN_PROFIT_TP_HIT,100.0008
24,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07186,0.07188,0.07188,0.07181,2026-07-01 03:19:59 UTC,2026-07-01 03:21:01 UTC,61.95,1.4372,0.0192,0.0,0.0004,0.04,2.09,MIN_PROFIT_TP_HIT,100.0012
25,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07192,0.07194,0.07194,0.07187,2026-07-01 03:23:59 UTC,2026-07-01 03:25:38 UTC,98.33,1.4384,0.0192,0.0,0.0004,0.04,2.09,MIN_PROFIT_TP_HIT,100.0016
26,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07189,0.07194,0.07187,0.07194,2026-07-01 03:27:59 UTC,2026-07-01 03:28:44 UTC,44.86,1.4378,0.0192,0.0,-0.001,-0.09,-5.22,STOP_LOSS_HIT,100.0006
27,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07191,0.07196,0.07189,0.07196,2026-07-01 03:32:59 UTC,2026-07-01 03:33:38 UTC,38.96,1.4382,0.0192,0.0,-0.001,-0.09,-5.21,STOP_LOSS_HIT,99.9996
28,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07219,0.07217,0.07217,0.07224,2026-07-01 03:40:59 UTC,2026-07-01 03:41:43 UTC,43.92,1.4438,0.0193,0.0,0.0004,0.04,2.08,MIN_PROFIT_TP_HIT,100.0
29,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07232,0.07234,0.07234,0.07227,2026-07-01 03:46:59 UTC,2026-07-01 03:47:01 UTC,1.45,1.4464,0.0193,0.0,0.0004,0.04,2.07,MIN_PROFIT_TP_HIT,100.0004
30,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07229,0.07234,0.07227,0.07234,2026-07-01 03:51:59 UTC,2026-07-01 03:52:12 UTC,12.81,1.4458,0.0193,0.0,-0.001,-0.09,-5.19,STOP_LOSS_HIT,99.9994
31,DOGE_USDT,SHORT,StochasticRSI(FAST_SCALP-SHORT),2,20.0,0.07231,0.07229,0.07229,0.07236,2026-07-01 03:57:59 UTC,2026-07-01 03:59:42 UTC,102.1,1.4462,0.0193,0.0,0.0004,0.04,2.07,MIN_PROFIT_TP_HIT,99.9998
32,DOGE_USDT,LONG,StochasticRSI(FAST_SCALP-LONG),2,20.0,0.07228,0.0723,0.0723,0.07223,2026-07-01 04:02:59 UTC,2026-07-01 04:03:03 UTC,3.07,1.4456,0.0193,0.0,0.0004,0.04,2.08,MIN_PROFIT_TP_HIT,100.0002
