trade_id,symbol,direction,sub_strategy_name,vol_contracts,underlying_quantity,entry_price,exit_price,min_profit_tp_price,stop_loss_price,open_time,close_time,duration_seconds,notional_value_usdt,margin_used_usdt,fee_total_usdt,realized_pnl_usdt,realized_pnl_inr,roe_percentage,exit_reason,balance_after_trade_usdt
1,TRUMP_USDT,SHORT,EMACrossover(5/13-SHORT),2,0.2,1.66,1.658,1.658,1.665,2026-07-01 00:24:59 UTC,2026-07-01 00:25:39 UTC,39.93,0.332,0.0044,0.0,0.0004,0.04,9.04,MIN_PROFIT_TP_HIT,100.0004
2,TRUMP_USDT,LONG,EMACrossover(5/13-LONG),2,0.2,1.665,1.667,1.667,1.66,2026-07-01 00:30:59 UTC,2026-07-01 00:31:11 UTC,11.87,0.333,0.0044,0.0,0.0004,0.04,9.01,MIN_PROFIT_TP_HIT,100.0008
3,TRUMP_USDT,SHORT,EMACrossover(5/13-SHORT),2,0.2,1.667,1.665,1.665,1.672,2026-07-01 00:49:59 UTC,2026-07-01 00:51:03 UTC,63.49,0.3334,0.0044,0.0,0.0004,0.04,9.0,MIN_PROFIT_TP_HIT,100.0012
4,TRUMP_USDT,SHORT,EMACrossover(5/13-SHORT),2,0.2,1.663,1.661,1.661,1.668,2026-07-01 01:05:59 UTC,2026-07-01 01:07:03 UTC,63.8,0.3326,0.0044,0.0,0.0004,0.04,9.02,MIN_PROFIT_TP_HIT,100.0016
5,TRUMP_USDT,LONG,EMACrossover(5/13-LONG),2,0.2,1.656,1.658,1.658,1.651,2026-07-01 01:23:59 UTC,2026-07-01 01:29:22 UTC,322.09,0.3312,0.0044,0.0,0.0004,0.04,9.06,MIN_PROFIT_TP_HIT,100.002
6,TRUMP_USDT,SHORT,EMACrossover(5/13-SHORT),2,0.2,1.696,1.701,1.694,1.701,2026-07-01 02:37:59 UTC,2026-07-01 02:38:35 UTC,35.27,0.3392,0.0045,0.0,-0.001,-0.09,-22.11,STOP_LOSS_HIT,100.001
7,TRUMP_USDT,LONG,EMACrossover(5/13-LONG),2,0.2,1.702,1.704,1.704,1.697,2026-07-01 02:58:59 UTC,2026-07-01 03:00:56 UTC,116.44,0.3404,0.0045,0.0,0.0004,0.04,8.81,MIN_PROFIT_TP_HIT,100.0014
8,TRUMP_USDT,SHORT,EMACrossover(5/13-SHORT),2,0.2,1.704,1.702,1.702,1.709,2026-07-01 03:16:59 UTC,2026-07-01 03:17:03 UTC,3.77,0.3408,0.0045,0.0,0.0004,0.04,8.8,MIN_PROFIT_TP_HIT,100.0018
9,TRUMP_USDT,LONG,EMACrossover(5/13-LONG),2,0.2,1.704,1.706,1.706,1.699,2026-07-01 03:38:59 UTC,2026-07-01 03:39:14 UTC,14.78,0.3408,0.0045,0.0,0.0004,0.04,8.8,MIN_PROFIT_TP_HIT,100.0022
10,TRUMP_USDT,SHORT,EMACrossover(5/13-SHORT),2,0.2,1.707,1.705,1.705,1.712,2026-07-01 04:00:59 UTC,2026-07-01 04:02:45 UTC,105.19,0.3414,0.0046,0.0,0.0004,0.04,8.79,MIN_PROFIT_TP_HIT,100.0026
11,TRUMP_USDT,LONG,EMACrossover(5/13-LONG),2,0.2,1.704,1.706,1.706,1.699,2026-07-01 04:20:59 UTC,2026-07-01 04:22:31 UTC,91.56,0.3408,0.0045,0.0,0.0004,0.04,8.8,MIN_PROFIT_TP_HIT,100.003
12,TRUMP_USDT,SHORT,EMACrossover(5/13-SHORT),2,0.2,1.704,1.702,1.702,1.709,2026-07-01 04:36:59 UTC,2026-07-01 04:37:14 UTC,14.69,0.3408,0.0045,0.0,0.0004,0.04,8.8,MIN_PROFIT_TP_HIT,100.0034
13,TRUMP_USDT,LONG,EMACrossover(5/13-LONG),2,0.2,1.703,1.705,1.705,1.698,2026-07-01 04:57:59 UTC,2026-07-01 05:06:16 UTC,496.57,0.3406,0.0045,0.0,0.0004,0.04,8.81,MIN_PROFIT_TP_HIT,100.0038
14,TRUMP_USDT,SHORT,EMACrossover(5/13-SHORT),2,0.2,1.701,1.699,1.699,1.706,2026-07-01 05:22:59 UTC,2026-07-01 05:26:59 UTC,239.18,0.3402,0.0045,0.0,0.0004,0.04,8.82,MIN_PROFIT_TP_HIT,100.0042
15,TRUMP_USDT,LONG,EMACrossover(5/13-LONG),2,0.2,1.707,1.702,1.709,1.702,2026-07-01 05:29:59 UTC,2026-07-01 05:30:34 UTC,34.12,0.3414,0.0046,0.0,-0.001,-0.09,-21.97,STOP_LOSS_HIT,100.0032
16,TRUMP_USDT,SHORT,EMACrossover(5/13-SHORT),2,0.2,1.702,1.7,1.7,1.707,2026-07-01 05:32:59 UTC,2026-07-01 05:37:20 UTC,260.37,0.3404,0.0045,0.0,0.0004,0.04,8.81,MIN_PROFIT_TP_HIT,100.0036
