SL_ticks,TP_ticks,trade_count,win_count,loss_count,win_rate_pct,theoretical_rw_wr_pct,delta_wr_pct,avg_win_usdt,avg_loss_usdt,profit_factor,net_pnl_usdt,pnl_per_trade_usdt,max_drawdown_pct,avg_duration_seconds,sim_time_sec
1,2,4329,1163,3166,26.8653,33.3333,-6.4680,0.000400,0.000200,0.7347,-0.168000,-0.000039,239.6067,31.84,16.11
2,2,4014,2040,1974,50.8221,50.0000,0.8221,0.000400,0.000400,1.0334,0.026400,0.000007,18.1818,99.14,14.33
3,2,3669,2321,1348,63.2597,60.0000,3.2597,0.000400,0.000600,1.1479,0.119600,0.000033,15.3034,162.38,16.79
4,2,3352,2366,986,70.5847,66.6667,3.9181,0.000400,0.000800,1.1998,0.157600,0.000047,8.0808,219.92,18.65
5,2,3114,2370,744,76.1079,71.4286,4.6793,0.000400,0.001000,1.2742,0.204000,0.000066,8.3990,271.55,37.84
6,2,2931,2315,616,78.9833,75.0000,3.9833,0.000400,0.001200,1.2527,0.186800,0.000064,12.6904,314.86,36.57
7,2,2741,2238,503,81.6490,77.7778,3.8713,0.000400,0.001400,1.2712,0.191000,0.000070,12.3810,364.49,32.49
8,2,2562,2144,418,83.6846,80.0000,3.6846,0.000400,0.001600,1.2823,0.188800,0.000074,14.0271,414.36,37.54
9,2,2443,2082,361,85.2231,81.8182,3.4049,0.000400,0.001800,1.2816,0.183000,0.000075,14.2857,452.66,43.96
10,2,2288,1978,310,86.4510,83.3333,3.1177,0.000400,0.002000,1.2761,0.171200,0.000075,15.8879,506.79,44.91
11,2,2392,2049,343,85.6605,84.6154,1.0452,0.000400,0.001910,1.2513,0.164600,0.000069,18.1598,470.74,59.75
12,2,2422,2070,352,85.4666,85.7143,-0.2477,0.000400,0.001855,1.2684,0.175200,0.000072,13.3949,460.51,64.43
13,2,2424,2072,352,85.4785,86.6667,-1.1881,0.000400,0.001843,1.2774,0.180000,0.000074,13.3949,459.72,36.98
14,2,2424,2072,352,85.4785,87.5000,-2.0215,0.000400,0.001843,1.2774,0.180000,0.000074,13.3949,459.72,65.67
15,2,2424,2072,352,85.4785,88.2353,-2.7567,0.000400,0.001843,1.2774,0.180000,0.000074,13.3949,459.72,61.53
