symbol,period_label,start_date,end_date,SL_ticks,TP_ticks,trade_count,win_rate_pct,profit_factor,net_pnl_usdt,max_drawdown_pct,avg_win_usdt,avg_loss_usdt,avg_duration_seconds,sim_time_sec
DOGE_USDT,Jan-Feb 2026,2026-01-01,2026-02-28,2,2,11637,75.2342,3.0378,1.174600,1.1186,0.000200,0.000200,60.80,35.68
DOGE_USDT,Jan-Feb 2026,2026-01-01,2026-02-28,3,2,11633,75.7930,2.0874,0.918600,3.0509,0.000200,0.000300,61.58,35.59
DOGE_USDT,Jan-Feb 2026,2026-01-01,2026-02-28,4,2,11627,76.5116,1.6287,0.686800,5.4282,0.000200,0.000400,62.70,36.97
DOGE_USDT,Jan-Feb 2026,2026-01-01,2026-02-28,5,2,11610,77.2868,1.3611,0.476100,9.5238,0.000200,0.000500,64.21,37.39
DOGE_USDT,Jan-Feb 2026,2026-01-01,2026-02-28,6,2,11595,78.3010,1.2028,0.306200,15.3365,0.000200,0.000600,66.13,37.68
DOGE_USDT,Jan-Feb 2026,2026-01-01,2026-02-28,7,2,11579,79.4542,1.1049,0.174700,33.3083,0.000200,0.000700,68.27,34.17
DOGE_USDT,Jan-Feb 2026,2026-01-01,2026-02-28,10,2,11501,82.5754,0.9478,-0.104600,182.5858,0.000200,0.001000,75.26,27.57
DOGE_USDT,Jul-Aug 2026,2026-07-01,2026-08-31,2,2,12120,62.0545,1.6357,0.584600,2.1834,0.000200,0.000200,72.32,43.94
DOGE_USDT,Jul-Aug 2026,2026-07-01,2026-08-31,3,2,12001,66.0695,1.2985,0.364500,5.5556,0.000200,0.000300,81.31,42.25
DOGE_USDT,Jul-Aug 2026,2026-07-01,2026-08-31,4,2,11822,69.8274,1.1575,0.224600,14.4847,0.000200,0.000400,91.56,50.40
DOGE_USDT,Jul-Aug 2026,2026-07-01,2026-08-31,5,2,11661,73.0469,1.0844,0.132600,22.6547,0.000200,0.000500,101.49,49.99
DOGE_USDT,Jul-Aug 2026,2026-07-01,2026-08-31,6,2,11471,75.7388,1.0410,0.068400,51.6279,0.000200,0.000600,111.87,43.08
DOGE_USDT,Jul-Aug 2026,2026-07-01,2026-08-31,7,2,11261,78.2346,1.0274,0.047000,68.9737,0.000200,0.000700,122.94,36.74
DOGE_USDT,Jul-Aug 2026,2026-07-01,2026-08-31,10,2,10728,83.3054,0.9985,-0.002600,94.2935,0.000200,0.001000,150.66,34.88
TRUMP_USDT,Jan-Feb 2026,2026-01-01,2026-02-28,2,2,11430,59.0201,1.4402,0.824800,9.0395,0.000400,0.000400,72.73,43.49
TRUMP_USDT,Jan-Feb 2026,2026-01-01,2026-02-28,3,2,11310,64.6508,1.2193,0.526000,15.4286,0.000400,0.000600,84.39,47.93
TRUMP_USDT,Jan-Feb 2026,2026-01-01,2026-02-28,4,2,11088,69.5978,1.1446,0.390000,31.4488,0.000400,0.000800,99.07,45.28
TRUMP_USDT,Jan-Feb 2026,2026-01-01,2026-02-28,5,2,10850,73.5207,1.1106,0.317800,38.6813,0.000400,0.001000,112.50,47.11
TRUMP_USDT,Jan-Feb 2026,2026-01-01,2026-02-28,6,2,10642,76.5082,1.0856,0.256800,34.8214,0.000400,0.001200,124.89,43.70
TRUMP_USDT,Jan-Feb 2026,2026-01-01,2026-02-28,7,2,10434,78.9151,1.0694,0.213600,66.4948,0.000400,0.001400,136.69,42.46
TRUMP_USDT,Jan-Feb 2026,2026-01-01,2026-02-28,10,2,9762,83.8967,1.0420,0.132000,118.7845,0.000400,0.002000,173.71,29.83
TRUMP_USDT,Jul-Aug 2026,2026-07-01,2026-08-31,2,2,10333,50.8662,1.0353,0.071600,22.6804,0.000400,0.000400,113.88,82.43
TRUMP_USDT,Jul-Aug 2026,2026-07-01,2026-08-31,3,2,9362,62.9353,1.1320,0.274800,15.3034,0.000400,0.000600,178.70,82.61
TRUMP_USDT,Jul-Aug 2026,2026-07-01,2026-08-31,4,2,8599,70.2872,1.1828,0.373600,8.0808,0.000400,0.000800,234.25,83.57
TRUMP_USDT,Jul-Aug 2026,2026-07-01,2026-08-31,5,2,8023,75.4082,1.2266,0.447000,8.3990,0.000400,0.001000,281.32,72.96
TRUMP_USDT,Jul-Aug 2026,2026-07-01,2026-08-31,6,2,7564,78.5167,1.2183,0.425600,12.6904,0.000400,0.001200,323.33,73.00
TRUMP_USDT,Jul-Aug 2026,2026-07-01,2026-08-31,7,2,7125,81.2211,1.2357,0.441600,12.3810,0.000400,0.001400,368.39,72.06
TRUMP_USDT,Jul-Aug 2026,2026-07-01,2026-08-31,10,2,6460,85.5573,1.2550,0.449200,15.8879,0.000400,0.001888,443.56,69.04
