strategy,direction,SL_ticks,TP_ticks,trade_count,win_rate_pct,profit_factor,net_pnl_usdt,max_drawdown_pct,avg_win_usdt,avg_loss_usdt,avg_duration_seconds,sim_time_sec
EMA_CROSSOVER,BOTH,2,2,2415,49.8551,0.9942,-0.002800,29.4444,0.000400,0.000400,104.95,13.10
EMA_CROSSOVER,BOTH,3,2,2191,61.3419,1.0579,0.029400,32.8877,0.000400,0.000600,168.42,13.04
EMA_CROSSOVER,BOTH,4,2,1951,69.0415,1.1151,0.055600,33.4975,0.000400,0.000800,230.86,12.79
EMA_CROSSOVER,BOTH,5,2,1802,73.9734,1.1369,0.064200,36.4090,0.000400,0.001000,288.20,12.28
EMA_CROSSOVER,BOTH,6,2,1675,77.1343,1.1245,0.057200,45.3202,0.000400,0.001200,344.31,12.54
EMA_CROSSOVER,BOTH,7,2,1582,81.2263,1.2362,0.098200,28.5024,0.000400,0.001400,399.15,12.75
EMA_CROSSOVER,BOTH,10,2,1381,86.2419,1.2537,0.096400,22.6415,0.000400,0.002000,557.26,13.69
EMA_CROSSOVER,LONG_ONLY,2,2,1417,48.9061,0.9572,-0.012400,24.2938,0.000400,0.000400,104.56,10.02
EMA_CROSSOVER,LONG_ONLY,3,2,1361,61.0580,1.0453,0.014400,26.4865,0.000400,0.000600,173.84,10.34
EMA_CROSSOVER,LONG_ONLY,4,2,1301,67.5634,1.0415,0.014000,23.5897,0.000400,0.000800,237.14,10.06
EMA_CROSSOVER,LONG_ONLY,5,2,1238,72.9402,1.0782,0.026200,30.1746,0.000400,0.001000,303.11,10.17
EMA_CROSSOVER,LONG_ONLY,6,2,1182,76.0575,1.0589,0.020000,29.7980,0.000400,0.001200,362.16,10.16
EMA_CROSSOVER,LONG_ONLY,7,2,1117,79.7672,1.1264,0.040000,28.2051,0.000400,0.001400,430.64,11.78
EMA_CROSSOVER,LONG_ONLY,10,2,989,85.6421,1.1930,0.054800,22.5490,0.000400,0.002000,616.33,12.18
EMA_CROSSOVER,SHORT_ONLY,2,2,1410,50.4965,1.0201,0.005600,22.5806,0.000400,0.000400,107.42,10.78
EMA_CROSSOVER,SHORT_ONLY,3,2,1361,60.9111,1.0388,0.012400,27.8947,0.000400,0.000600,177.06,15.36
EMA_CROSSOVER,SHORT_ONLY,4,2,1278,68.2316,1.0739,0.024000,31.2821,0.000400,0.000800,250.68,16.27
EMA_CROSSOVER,SHORT_ONLY,5,2,1212,73.4323,1.1056,0.034000,16.7939,0.000400,0.001000,318.92,16.72
EMA_CROSSOVER,SHORT_ONLY,6,2,1151,77.1503,1.1255,0.039600,18.5930,0.000400,0.001200,390.03,15.10
EMA_CROSSOVER,SHORT_ONLY,7,2,1103,80.3264,1.1666,0.050600,16.0099,0.000400,0.001400,447.00,15.52
EMA_CROSSOVER,SHORT_ONLY,10,2,987,85.4103,1.1708,0.049200,23.9024,0.000400,0.002000,638.01,15.54
STOCH_RSI,BOTH,2,2,4014,50.8221,1.0334,0.026400,18.1818,0.000400,0.000400,99.14,22.43
STOCH_RSI,BOTH,3,2,3669,63.2597,1.1479,0.119600,15.3034,0.000400,0.000600,162.38,22.12
STOCH_RSI,BOTH,4,2,3352,70.5847,1.1998,0.157600,8.0808,0.000400,0.000800,219.92,21.82
STOCH_RSI,BOTH,5,2,3114,76.1079,1.2742,0.204000,8.3990,0.000400,0.001000,271.55,18.65
STOCH_RSI,BOTH,6,2,2931,78.9833,1.2527,0.186800,12.6904,0.000400,0.001200,314.86,18.54
STOCH_RSI,BOTH,7,2,2741,81.6490,1.2712,0.191000,12.3810,0.000400,0.001400,364.49,18.24
STOCH_RSI,BOTH,10,2,2288,86.4510,1.2761,0.171200,15.8879,0.000400,0.002000,506.79,24.42
STOCH_RSI,LONG_ONLY,2,2,2083,51.5602,1.0644,0.026000,19.3309,0.000400,0.000400,100.91,23.35
STOCH_RSI,LONG_ONLY,3,2,1990,63.4673,1.1582,0.069000,10.8883,0.000400,0.000600,167.43,23.26
STOCH_RSI,LONG_ONLY,4,2,1871,70.0695,1.1705,0.076400,15.0134,0.000400,0.000800,224.11,28.35
STOCH_RSI,LONG_ONLY,5,2,1778,74.6344,1.1769,0.079800,15.4653,0.000400,0.001000,279.94,28.39
STOCH_RSI,LONG_ONLY,6,2,1693,77.7318,1.1636,0.074000,17.4387,0.000400,0.001200,332.20,27.94
STOCH_RSI,LONG_ONLY,7,2,1605,80.1869,1.1563,0.069600,22.7951,0.000400,0.001400,393.87,20.92
STOCH_RSI,LONG_ONLY,10,2,1417,85.3917,1.1691,0.070000,14.2077,0.000400,0.002000,550.80,21.19
STOCH_RSI,SHORT_ONLY,2,2,2104,50.2852,1.0115,0.004800,21.5311,0.000400,0.000400,102.70,21.65
STOCH_RSI,SHORT_ONLY,3,2,2007,62.5810,1.1150,0.051800,21.1382,0.000400,0.000600,173.44,20.58
STOCH_RSI,SHORT_ONLY,4,2,1888,70.6568,1.2040,0.090400,13.6842,0.000400,0.000800,237.67,21.01
STOCH_RSI,SHORT_ONLY,5,2,1775,76.6197,1.3108,0.129000,15.8602,0.000400,0.001000,296.31,20.56
STOCH_RSI,SHORT_ONLY,6,2,1690,79.7633,1.3138,0.128800,14.7368,0.000400,0.001200,344.38,20.30
STOCH_RSI,SHORT_ONLY,7,2,1605,82.5545,1.3520,0.138000,15.1134,0.000400,0.001400,401.76,19.41
STOCH_RSI,SHORT_ONLY,10,2,1417,86.8737,1.3237,0.120400,14.2857,0.000400,0.002000,549.14,19.26
