signal_id,timestamp_utc,direction,entry_price,MFE_ticks,MAE_ticks,outcome_sl2,outcome_sl3,outcome_sl4,outcome_sl5,outcome_sl6,outcome_sl7,outcome_sl10,classification,time_to_tp_sec,time_to_sl5_sec
1,2026-07-01 00:28:59 UTC,LONG,1.6610,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,47.6,N/A
2,2026-07-01 00:36:59 UTC,SHORT,1.6640,2.0,6.0,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,WIN,SAVED_BY_SL10,1696.5,944.2
3,2026-07-01 00:41:59 UTC,LONG,1.6650,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,247.8,N/A
4,2026-07-01 00:55:59 UTC,SHORT,1.6690,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,42.7,N/A
5,2026-07-01 01:01:59 UTC,LONG,1.6670,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,9.1,N/A
6,2026-07-01 01:09:59 UTC,LONG,1.6610,1.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,90.5
7,2026-07-01 01:14:59 UTC,LONG,1.6450,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,3.2,N/A
8,2026-07-01 01:22:59 UTC,SHORT,1.6580,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,12.6,N/A
9,2026-07-01 01:34:59 UTC,SHORT,1.6580,0.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,74.3
10,2026-07-01 01:47:59 UTC,SHORT,1.6760,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,129.7,N/A
11,2026-07-01 01:52:59 UTC,LONG,1.6760,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,10.2,N/A
12,2026-07-01 01:58:59 UTC,SHORT,1.6780,0.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,216.4
13,2026-07-01 02:03:59 UTC,LONG,1.6850,2.0,6.0,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,WIN,SAVED_BY_SL10,364.2,111.5
14,2026-07-01 02:08:59 UTC,LONG,1.6840,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,39.7,N/A
15,2026-07-01 02:17:59 UTC,SHORT,1.7020,2.0,8.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,SAVED_BY_SL10,1147.6,244.7
16,2026-07-01 02:22:59 UTC,LONG,1.7090,1.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,0.9
17,2026-07-01 02:29:59 UTC,LONG,1.7050,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,73.6,N/A
18,2026-07-01 02:34:59 UTC,LONG,1.7040,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,5.7,N/A
19,2026-07-01 02:40:59 UTC,LONG,1.6970,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,181.1,N/A
20,2026-07-01 02:44:59 UTC,LONG,1.7000,2.0,7.0,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,WIN,SAVED_BY_SL10,735.1,446.4
21,2026-07-01 03:00:59 UTC,SHORT,1.7040,1.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,34.2
22,2026-07-01 03:04:59 UTC,SHORT,1.7070,0.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,24.3
23,2026-07-01 03:09:59 UTC,SHORT,1.7290,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,4.8,N/A
24,2026-07-01 03:15:59 UTC,LONG,1.7110,0.0,10.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS_ALL,N/A,12.1
25,2026-07-01 03:19:59 UTC,LONG,1.7040,2.0,8.0,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,SAVED_BY_SL10,1028.5,226.5
26,2026-07-01 03:27:59 UTC,LONG,1.6990,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,61.8,N/A
27,2026-07-01 03:32:59 UTC,SHORT,1.6990,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,77.7,N/A
28,2026-07-01 03:41:59 UTC,SHORT,1.7060,2.0,6.0,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,WIN,SAVED_BY_SL10,400.5,301.9
29,2026-07-01 03:43:59 UTC,SHORT,1.7070,2.0,5.0,LOSS,LOSS,LOSS,WIN,WIN,WIN,WIN,SAVED_BY_SL5,278.2,N/A
30,2026-07-01 03:46:59 UTC,SHORT,1.7100,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,49.6,N/A
31,2026-07-01 03:51:59 UTC,LONG,1.7110,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,16.2,N/A
32,2026-07-01 03:56:59 UTC,SHORT,1.7120,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,3.5,N/A
33,2026-07-01 04:02:59 UTC,LONG,1.7050,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,65.0,N/A
34,2026-07-01 04:11:59 UTC,LONG,1.7000,2.0,3.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,242.0,N/A
35,2026-07-01 04:14:59 UTC,LONG,1.6980,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,55.1,N/A
36,2026-07-01 04:21:59 UTC,SHORT,1.7040,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,115.9,N/A
37,2026-07-01 04:27:59 UTC,LONG,1.7050,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,203.3,N/A
38,2026-07-01 04:38:59 UTC,LONG,1.7000,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,122.0,N/A
39,2026-07-01 04:41:59 UTC,LONG,1.7030,2.0,6.0,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,WIN,SAVED_BY_SL10,1456.6,93.8
40,2026-07-01 04:59:59 UTC,SHORT,1.7040,2.0,0.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,10.4,N/A
41,2026-07-01 05:06:59 UTC,LONG,1.7050,2.0,2.0,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,SAVED_BY_SL5,342.6,N/A
42,2026-07-01 05:10:59 UTC,SHORT,1.7060,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,241.8,N/A
43,2026-07-01 05:16:59 UTC,SHORT,1.7060,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,122.8,N/A
44,2026-07-01 05:24:59 UTC,LONG,1.7010,2.0,5.0,LOSS,LOSS,LOSS,LOSS,WIN,WIN,WIN,SAVED_BY_SL10,128.0,119.2
45,2026-07-01 05:28:59 UTC,LONG,1.7060,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,92.5,N/A
46,2026-07-01 05:32:59 UTC,SHORT,1.7020,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,260.4,N/A
47,2026-07-01 05:40:59 UTC,LONG,1.7030,2.0,1.0,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN_ALL,217.0,N/A
