trade_id,symbol,direction,sub_strategy_name,vol_contracts,underlying_quantity,entry_price,exit_price,min_profit_tp_price,stop_loss_price,open_time,close_time,duration_seconds,notional_value_usdt,margin_used_usdt,fee_total_usdt,realized_pnl_usdt,realized_pnl_inr,roe_percentage,exit_reason,balance_after_trade_usdt
1,TRUMP_USDT,SHORT,EMACrossover(5/13-SHORT),1,0.1,1.66,1.658,1.658,1.666,2026-07-01 00:24:59 UTC,2026-07-01 00:25:39 UTC,39.93,0.166,0.0022,0.0,0.0002,0.02,9.04,MIN_PROFIT_TP_HIT,0.0702
2,TRUMP_USDT,LONG,EMACrossover(5/13-LONG),1,0.1,1.665,1.667,1.667,1.659,2026-07-01 00:30:59 UTC,2026-07-01 00:31:11 UTC,11.87,0.1665,0.0022,0.0,0.0002,0.02,9.01,MIN_PROFIT_TP_HIT,0.0704
3,TRUMP_USDT,SHORT,EMACrossover(5/13-SHORT),1,0.1,1.667,1.665,1.665,1.673,2026-07-01 00:49:59 UTC,2026-07-01 00:51:03 UTC,63.49,0.1667,0.0022,0.0,0.0002,0.02,9.0,MIN_PROFIT_TP_HIT,0.0706
4,TRUMP_USDT,SHORT,EMACrossover(5/13-SHORT),1,0.1,1.663,1.661,1.661,1.669,2026-07-01 01:05:59 UTC,2026-07-01 01:07:03 UTC,63.8,0.1663,0.0022,0.0,0.0002,0.02,9.02,MIN_PROFIT_TP_HIT,0.0708
5,TRUMP_USDT,LONG,EMACrossover(5/13-LONG),1,0.1,1.656,1.658,1.658,1.65,2026-07-01 01:23:59 UTC,2026-07-01 01:29:22 UTC,322.09,0.1656,0.0022,0.0,0.0002,0.02,9.06,MIN_PROFIT_TP_HIT,0.071
6,TRUMP_USDT,SHORT,EMACrossover(5/13-SHORT),1,0.1,1.696,1.702,1.694,1.702,2026-07-01 02:37:59 UTC,2026-07-01 02:38:57 UTC,57.22,0.1696,0.0023,0.0,-0.0006,-0.06,-26.53,STOP_LOSS_HIT,0.0704
7,TRUMP_USDT,LONG,EMACrossover(5/13-LONG),1,0.1,1.702,1.704,1.704,1.696,2026-07-01 02:58:59 UTC,2026-07-01 03:00:56 UTC,116.44,0.1702,0.0023,0.0,0.0002,0.02,8.81,MIN_PROFIT_TP_HIT,0.0706
8,TRUMP_USDT,SHORT,EMACrossover(5/13-SHORT),1,0.1,1.704,1.702,1.702,1.71,2026-07-01 03:16:59 UTC,2026-07-01 03:17:03 UTC,3.77,0.1704,0.0023,0.0,0.0002,0.02,8.8,MIN_PROFIT_TP_HIT,0.0708
9,TRUMP_USDT,LONG,EMACrossover(5/13-LONG),1,0.1,1.704,1.706,1.706,1.698,2026-07-01 03:38:59 UTC,2026-07-01 03:39:14 UTC,14.78,0.1704,0.0023,0.0,0.0002,0.02,8.8,MIN_PROFIT_TP_HIT,0.071
10,TRUMP_USDT,SHORT,EMACrossover(5/13-SHORT),1,0.1,1.707,1.705,1.705,1.713,2026-07-01 04:00:59 UTC,2026-07-01 04:02:45 UTC,105.19,0.1707,0.0023,0.0,0.0002,0.02,8.79,MIN_PROFIT_TP_HIT,0.0712
