trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after,fee_pct_roundtrip,fee_usd
1,LONG,1782990060000,1782990420000,0.1083002,0.1085166,0.1085166,0.108192,2164,1082,6,0.4283,TP_HIT,0.1998149587904782,0.0998,1.9963,19.96,10019.96,0.1,20.03992598351619
2,LONG,1783040640000,1783040880000,0.1099002,0.1101299,0.1101299,0.1097853,2297,1149,4,0.4114,TP_HIT,0.2090078089029859,0.109,2.1802,21.85,10041.81,0.1,20.083616151957013
3,LONG,1783056480000,1783056660000,0.1116002,0.1118722,0.1118722,0.1114642,2720,1360,3,0.407,TP_HIT,0.2437271617792749,0.1437,2.8745,28.87,10070.67,0.1,20.141347374912716
4,LONG,1784034780000,1784035380000,0.1076002,0.1084233,0.1084233,0.1071887,8231,4115,10,0.4105,TP_HIT,0.7649614034174594,0.665,13.2992,133.93,10204.61,0.1,20.409211747255526
5,LONG,1784636460000,1784636640000,0.1039002,0.1037619,0.1041765,0.1037621,2763,1381,3,0.415,SL_HIT,-0.1331085021973084,-0.2331,-4.6622,-47.58,10157.03,0.1,20.314060531626918
6,LONG,1785102960000,1785103140000,0.1045002,0.1043684999999999,0.1047631,0.1043687,2629,1315,3,0.4335,SL_HIT,-0.1260284669311756,-0.226,-4.5206,-45.92,10111.11,0.1,20.222229412444705
7,LONG,1786244280000,1786244400000,0.1034002,0.1036461,0.1036461,0.1032772,2459,1230,2,0.4189,TP_HIT,0.2378138533581108,0.1378,2.7563,27.87,10138.98,0.1,20.277967479621122
8,LONG,1786257480000,1786258200000,0.1044002,0.1046171,0.1046171,0.1042917,2169,1085,12,0.4406,TP_HIT,0.2077582226854028,0.1078,2.1552,21.85,10160.83,0.1,20.32166983432665
9,LONG,1787368800000,1787368980000,0.1352002,0.1361088,0.1361088,0.1347459,9086,4543,3,0.4225,TP_HIT,0.6720404259757082,0.572,11.4408,116.25,10277.08,0.1,20.554166167697964
10,LONG,1787369040000,1787369160000,0.1363002,0.1357876,0.1373251,0.1357878,10249,5124,2,0.4226,SL_HIT,-0.3760816198362159,-0.4761,-9.5216,-97.85,10179.23,0.1,20.358456953227957
