trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after,fee_pct_roundtrip,fee_usd
1,LONG,1783059660000,1783059660000,0.07922,0.07885,0.07993,0.07887,71,35,0,0.4415,SL_HIT,-0.4670537742994309,-0.5671,-11.3411,-113.41,9886.59,0.1,19.77317849028023
2,LONG,1783135140000,1783135140000,0.08276,0.0826399999999999,0.08296,0.08266,20,10,0,0.4058,SL_HIT,-0.1449975833736212,-0.245,-4.9,-48.44,9838.15,0.1,19.67629087136555
3,LONG,1783355400000,1783355820000,0.08616,0.08694,0.08694,0.08577,78,39,7,0.4049,TP_HIT,0.9052924791086384,0.8053,16.1058,158.45,9996.6,0.1,19.99319425247484
4,LONG,1783356420000,1783356780000,0.08876,0.08806,0.09012,0.08808,136,68,6,0.5263,SL_HIT,-0.7886435331230353,-0.8886,-17.7729,-177.67,9818.93,0.1,19.637857796896157
5,LONG,1783365900000,1783366560000,0.08853,0.08814,0.08927,0.08816,74,37,11,0.4825,SL_HIT,-0.440528634361235,-0.5405,-10.8106,-106.15,9712.78,0.1,19.425561307761427
6,LONG,1784458560000,1784459460000,0.08038,0.08058,0.08058,0.08028,20,10,15,0.42,TP_HIT,0.2488181139587033,0.1488,2.9764,28.91,9741.69,0.1,19.48337881568963
7,LONG,1784730780000,1784730840000,0.08064,0.08054,0.08081,0.08056,17,8,1,0.4166,SL_HIT,-0.12400793650794,-0.224,-4.4802,-43.64,9698.05,0.1,19.396090185995526
8,LONG,1784795100000,1784795400000,0.08489,0.08599,0.08599,0.08434,110,55,5,0.4377,TP_HIT,1.2957945576628622,1.1958,23.9159,231.94,9929.98,0.1,19.859964967682558
9,LONG,1786061400000,1786061520000,0.07605,0.07594,0.07623,0.07596,18,9,2,0.4062,SL_HIT,-0.1446416831032384,-0.2446,-4.8928,-48.59,9881.4,0.1,19.762793462561255
10,LONG,1786118040000,1786118940000,0.07655,0.0765499999999999,0.07673,0.07646,18,9,15,0.4186,TIME_EXPIRY,-1.8129050042866697e-14,-0.1,-2.0,-19.76,9861.63,0.1,19.723267875636125
11,LONG,1786156320000,1786156560000,0.07679,0.07669,0.07694,0.07671,15,8,4,0.4134,SL_HIT,-0.1302252897512734,-0.2302,-4.6045,-45.41,9816.23,0.1,19.63245197440592
12,LONG,1787109960000,1787110080000,0.07096,0.07086,0.07112,0.07088,16,8,2,0.4072,SL_HIT,-0.1409244644870389,-0.2409,-4.8185,-47.3,9768.93,0.1,19.537853214835895
13,LONG,1787153280000,1787154180000,0.07318,0.07325,0.07367,0.07294,49,24,15,0.4051,TIME_EXPIRY,0.0956545504235948,-0.0043,-0.0869,-0.85,9768.08,0.1,19.536155199716372
14,LONG,1787314500000,1787314980000,0.08798,0.0875799999999999,0.08875,0.0876,77,38,8,0.4052,SL_HIT,-0.4546487838145163,-0.5546,-11.093,-108.36,9659.72,0.1,19.319441105277686
15,LONG,1787315880000,1787316300000,0.08958,0.09075,0.09075,0.089,117,58,7,0.4546,TP_HIT,1.3060951105157448,1.2061,24.1219,233.01,9892.73,0.1,19.78546277437713
16,LONG,1787324940000,1787325540000,0.09248,0.0934,0.0934,0.09202,92,46,10,0.4048,TP_HIT,0.9948096885813194,0.8948,17.8962,177.04,10069.77,0.1,20.139547250048683
17,LONG,1787365440000,1787365680000,0.09724,0.09863,0.09863,0.09654,139,70,4,0.4092,TP_HIT,1.4294529000411376,1.3295,26.5891,267.75,10337.52,0.1,20.67503883999054
18,LONG,1787365920000,1787366040000,0.10032,0.09911,0.10271,0.09913,239,119,2,0.42,SL_HIT,-1.2061403508771955,-1.3061,-26.1228,-270.05,10067.47,0.1,20.134948790293244
19,LONG,1787369100000,1787369640000,0.10233,0.10406,0.10406,0.10146,173,87,9,0.4303,TP_HIT,1.690608814619364,1.5906,31.8122,320.27,10387.74,0.1,20.77548533084824
20,LONG,1787369820000,1787370540000,0.1041,0.10611,0.10611,0.10309,201,101,12,0.4044,TP_HIT,1.930835734870315,1.8308,36.6167,380.37,10768.11,0.1,21.536215349908062
21,LONG,1787370840000,1787371080000,0.10991,0.11377,0.11377,0.10798,386,193,4,0.4285,TP_HIT,3.5119643344554654,3.412,68.2393,734.81,11502.92,0.1,23.005831323368835
22,LONG,1787371200000,1787371260000,0.11738,0.11501,0.12461,0.11503,723,235,1,0.5037,SL_HIT,-2.0190833191344444,-2.1191,-42.3817,-487.51,11015.4,0.1,22.0308058553654
23,LONG,1787374260000,1787374260000,0.14345,0.14056,0.15351,0.1405799999999999,1006,287,0,0.402,SL_HIT,-2.0146392471244363,-2.1146,-42.2928,-465.87,10549.53,0.1,21.099061721214714
24,LONG,1787375280000,1787375280000,0.1619799999999999,0.15872,0.17603,0.15874,1405,324,0,0.4552,SL_HIT,-2.012594147425599,-2.1126,-42.2519,-445.74,10103.79,0.1,20.207586635046518
25,LONG,1787782620000,1787783400000,0.11224,0.1116,0.11348,0.11162,124,62,13,0.4203,SL_HIT,-0.5702066999287256,-0.6702,-13.4041,-135.43,9968.36,0.1,19.936721436002554
26,LONG,1787785320000,1787785500000,0.11376,0.1133,0.11464,0.11332,88,44,3,0.4138,SL_HIT,-0.4043600562587923,-0.5044,-10.0872,-100.55,9867.81,0.1,19.735615717100988
27,LONG,1787848020000,1787848320000,0.12284,0.12158,0.12533,0.1216,249,124,5,0.4016,SL_HIT,-1.0257245197004323,-1.1257,-22.5145,-222.17,9645.64,0.1,19.291278386618472
