trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,position_size,position_notional_usd,committed_margin_usd,leverage,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after
tr_98592d6ce4,LONG,1782990060000,1782990420000,0.1083002,0.1085166,0.1085166,0.108192,4.2475,0.46,0.023,20.0x,2164,1082,6,0.4283,TP_HIT,0.1998149587904782,0.1998149587904782,3.996299175809564,0.000919,0.230919
tr_f3ae1d61b5,LONG,1783040640000,1783040880000,0.1099002,0.1101299,0.1101299,0.1097853,4.2023,0.4618,0.0231,20.0x,2297,1149,4,0.4114,TP_HIT,0.2090078089029859,0.2090078089029859,4.180156178059718,0.000965,0.231884
tr_6ccad97fc5,LONG,1783056480000,1783056660000,0.1116002,0.1118722,0.1118722,0.1114642,4.1556,0.4638,0.0232,20.0x,2720,1360,3,0.407,TP_HIT,0.2437271617792749,0.2437271617792749,4.874543235585499,0.00113,0.233015
tr_be74318990,LONG,1784034780000,1784035380000,0.1076002,0.1084233,0.1084233,0.1071887,4.3311,0.466,0.0233,20.0x,8231,4115,10,0.4105,TP_HIT,0.7649614034174594,0.7649614034174594,15.299228068349189,0.003565,0.23658
tr_6a9aa347ec,LONG,1784636460000,1784636640000,0.1039002,0.1037619,0.1041765,0.1037621,4.554,0.4732,0.0237,20.0x,2763,1381,3,0.415,SL_HIT,-0.1331085021973084,-0.1331085021973084,-2.662170043946168,-0.00063,0.23595
tr_5c96c8c8ad,LONG,1785102960000,1785103140000,0.1045002,0.1043684999999999,0.1047631,0.1043687,4.5158,0.4719,0.0236,20.0x,2629,1315,3,0.4335,SL_HIT,-0.1260284669311756,-0.1260284669311756,-2.520569338623512,-0.000595,0.235355
tr_3f88c07b7e,LONG,1786244280000,1786244400000,0.1034002,0.1036461,0.1036461,0.1032772,4.5523,0.4707,0.0235,20.0x,2459,1230,2,0.4189,TP_HIT,0.2378138533581108,0.2378138533581108,4.756277067162216,0.001119,0.236475
tr_c7cb589412,LONG,1786257480000,1786258200000,0.1044002,0.1046171,0.1046171,0.1042917,4.5302,0.4729,0.0236,20.0x,2169,1085,12,0.4406,TP_HIT,0.2077582226854028,0.2077582226854028,4.155164453708057,0.000983,0.237457
tr_02d3fde869,LONG,1787368800000,1787368980000,0.1352002,0.1361088,0.1361088,0.1347459,3.5127,0.4749,0.0237,20.0x,9086,4543,3,0.4225,TP_HIT,0.6720404259757082,0.6720404259757082,13.440808519514164,0.003192,0.240649
tr_ee6b2a515a,LONG,1787369040000,1787369160000,0.1363002,0.1357876,0.1373251,0.1357878,3.5312,0.4813,0.0241,20.0x,10249,5124,2,0.4226,SL_HIT,-0.3760816198362159,-0.3760816198362159,-7.521632396724318,-0.00181,0.238839
