trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after
1,LONG,1784719560000,1784719560000,0.009144999999999999,0.009105,0.009184999999999999,0.009125,4,2,0,0.4082,SL_HIT,-0.43739748496444375,-0.43739748496444375,-8.747949699288874,-87.47949699288874,9912.520503007112
2,LONG,1785534780000,1785534780000,0.008931,0.008901000000000001,0.008950999999999999,0.008921,2,1,0,0.4242,SL_HIT,-0.33590863285185063,-0.33590863285185063,-6.718172657037012,-66.59402420562115,9845.926478801492
3,LONG,1785542340000,1785542340000,0.008953,0.008923,0.008972999999999998,0.008943,2,1,0,0.4698,SL_HIT,-0.3350832123310486,-0.3350832123310486,-6.701664246620971,-65.98409345784268,9779.94238534365
4,LONG,1785542400000,1785542400000,0.008957999999999999,0.008928,0.008977999999999998,0.008948,2,1,0,0.4839,SL_HIT,-0.33489618218350947,-0.33489618218350947,-6.697923643670189,-65.50530733652546,9714.437078007124
5,LONG,1785654120000,1785654120000,0.008922,0.008892,0.008941999999999999,0.008912,2,1,0,0.4031,SL_HIT,-0.3362474781439002,-0.3362474781439002,-6.724949562878005,-65.32909938134989,9649.107978625774
6,LONG,1785791040000,1785791040000,0.008875999999999998,0.008846,0.008895999999999998,0.008865999999999999,2,1,0,0.4008,SL_HIT,-0.33799008562414135,-0.33799008562414135,-6.759801712482827,-65.22605663784623,9583.881921987928
7,LONG,1785904020000,1785904020000,0.009162,0.009112,0.009222,0.009132,6,3,0,0.493,SL_HIT,-0.5457323728443538,-0.5457323728443538,-10.914647456887076,-104.60469244693157,9479.277229540996
8,LONG,1785904080000,1785904080000,0.00917,0.00912,0.009229999999999999,0.009139999999999999,6,3,0,0.4609,SL_HIT,-0.5452562704471069,-0.5452562704471069,-10.905125408942137,-103.37270697427415,9375.904522566721
9,LONG,1785920700000,1785921420000,0.009245999999999999,0.009295999999999999,0.009295999999999999,0.009215999999999998,5,3,12,0.4135,TP_HIT,0.5407743889249373,0.5407743889249373,10.815487778498747,101.40498077619151,9477.309503342913
10,LONG,1787363520000,1787363580000,0.012433,0.012383,0.012492999999999999,0.012402999999999999,6,3,1,0.4134,SL_HIT,-0.4021555537681952,-0.4021555537681952,-8.043111075363903,-76.22705303098896,9401.082450311924
11,LONG,1787373180000,1787373180000,0.01325,0.01316,0.013389999999999999,0.013179999999999999,14,7,0,0.4007,SL_HIT,-0.6792452830188664,-0.6792452830188664,-13.584905660377327,-127.71281819291642,9273.369632119007
