trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after
1,LONG,1783056840000,1783056840000,0.0004332,0.0004302,0.00043420000000000004,0.0004322,1,1,0,0.4183,SL_HIT,-0.692520775623273,-0.692520775623273,-13.85041551246546,-138.5041551246546,9861.495844875346
2,LONG,1783056900000,1783056900000,0.00043359999999999997,0.00043059999999999995,0.0004346,0.00043259999999999994,1,1,0,0.4301,SL_HIT,-0.6918819188191925,-0.6918819188191925,-13.83763837638385,-136.45981335159698,9725.036031523749
3,LONG,1783070100000,1783070100000,0.0004355,0.0004325,0.00043650000000000004,0.0004345,1,1,0,0.4062,SL_HIT,-0.6888633754305439,-0.6888633754305439,-13.77726750861088,-133.98442293718225,9591.051608586566
4,LONG,1783070160000,1783070160000,0.0004356,0.0004326,0.00043660000000000004,0.0004346,1,1,0,0.4256,SL_HIT,-0.6887052341597839,-0.6887052341597839,-13.774104683195679,-132.10814887860366,9458.943459707962
5,LONG,1783072020000,1783072020000,0.0004353,0.0004323,0.00043630000000000003,0.0004343,1,1,0,0.4353,SL_HIT,-0.6891798759476266,-0.6891798759476266,-13.783597518952531,-130.37826960314294,9328.565190104819
6,LONG,1783075440000,1783075440000,0.0004367,0.00043369999999999997,0.0004377,0.00043569999999999997,1,1,0,0.4427,SL_HIT,-0.6869704602702127,-0.6869704602702127,-13.739409205404254,-128.16897444613983,9200.396215658679
7,LONG,1783083240000,1783083240000,0.0004422,0.0004392,0.00044320000000000004,0.0004412,1,1,0,0.4003,SL_HIT,-0.6784260515603842,-0.6784260515603842,-13.56852103120768,-124.83576954760835,9075.56044611107
8,LONG,1783085820000,1783085820000,0.0004428,0.00043979999999999996,0.0004438,0.00044179999999999995,1,1,0,0.4022,SL_HIT,-0.6775067750677549,-0.6775067750677549,-13.550135501355099,-122.97507379554375,8952.585372315527
9,LONG,1783085880000,1783085880000,0.000443,0.00043999999999999996,0.000444,0.00044199999999999996,1,1,0,0.4258,SL_HIT,-0.6772009029345415,-0.6772009029345415,-13.54401805869083,-121.25397795461286,8831.331394360914
10,LONG,1783277520000,1783277520000,0.000442,0.000439,0.00044300000000000003,0.000441,1,1,0,0.4026,SL_HIT,-0.6787330316742123,-0.6787330316742123,-13.574660633484248,-119.88232662028464,8711.449067740628
11,LONG,1783769700000,1783769700000,0.000421,0.00041799999999999997,0.000422,0.00041999999999999996,1,1,0,0.4543,SL_HIT,-0.7125890736342088,-0.7125890736342088,-14.251781472684174,-124.15366842385771,8587.29539931677
12,LONG,1783774800000,1783774800000,0.00042029999999999997,0.0004183,0.0004213,0.00042029999999999997,1,0,0,0.45,SL_HIT,-0.47585058291696275,-0.47585058291696275,-9.517011658339255,-81.72539042890077,8505.57000888787
13,LONG,1783776180000,1783776180000,0.0004207,0.0004187,0.0004217,0.0004207,1,0,0,0.4086,SL_HIT,-0.4753981459472295,-0.4753981459472295,-9.50796291894459,-80.87064424899307,8424.699364638876
14,LONG,1783776300000,1783776300000,0.0004207,0.0004187,0.0004217,0.0004207,1,0,0,0.4307,SL_HIT,-0.4753981459472295,-0.4753981459472295,-9.50796291894459,-80.10172916224249,8344.597635476634
15,LONG,1783776360000,1783776360000,0.0004211,0.0004191,0.0004221,0.0004211,1,0,0,0.4248,SL_HIT,-0.47494656851104117,-0.47494656851104117,-9.498931370220824,-79.26476025149951,8265.332875225135
16,LONG,1783776420000,1783776420000,0.0004214,0.0004184,0.0004224,0.0004204,1,1,0,0.4072,SL_HIT,-0.7119126720455669,-0.7119126720455669,-14.238253440911336,-117.68390425095187,8147.648970974183
17,LONG,1783796460000,1783796460000,0.0004276,0.0004256,0.0004286,0.0004276,1,0,0,0.4772,SL_HIT,-0.4677268475210464,-0.4677268475210464,-9.354536950420927,-76.21748335803704,8071.431487616146
18,LONG,1783796520000,1783796520000,0.0004276,0.0004256,0.0004286,0.0004276,1,0,0,0.4694,SL_HIT,-0.4677268475210464,-0.4677268475210464,-9.354536950420927,-75.5045040936962,7995.9269835224495
19,LONG,1783796700000,1783796700000,0.0004272,0.0004252,0.0004282,0.0004272,1,0,0,0.4143,SL_HIT,-0.46816479400748934,-0.46816479400748934,-9.363295880149787,-74.86823018279426,7921.058753339656
20,LONG,1783796760000,1783796760000,0.0004275,0.0004255,0.0004285,0.0004275,1,0,0,0.4195,SL_HIT,-0.4678362573099402,-0.4678362573099402,-9.356725146198805,-74.11516962189133,7846.943583717764
21,LONG,1783796820000,1783796820000,0.0004279,0.0004259,0.0004289,0.0004279,1,0,0,0.4469,SL_HIT,-0.4673989249824712,-0.4673989249824712,-9.347978499649425,-73.35305990855566,7773.590523809209
22,LONG,1784078880000,1784078880000,0.00041809999999999997,0.0004161,0.0004191,0.00041809999999999997,1,0,0,0.4078,SL_HIT,-0.47835446065534426,-0.47835446065534426,-9.567089213106886,-74.370634047445,7699.2198897617645
23,LONG,1784087160000,1784087160000,0.0004191,0.0004171,0.0004201,0.0004191,1,0,0,0.4205,SL_HIT,-0.4772130756382712,-0.4772130756382712,-9.544261512765424,-73.48336807217127,7625.736521689593
24,LONG,1784087280000,1784087280000,0.0004194,0.0004174,0.00042040000000000003,0.0004194,1,0,0,0.438,SL_HIT,-0.4768717215069133,-0.4768717215069133,-9.537434430138267,-72.72996205712516,7553.006559632468
25,LONG,1784087340000,1784087340000,0.00042,0.000418,0.00042100000000000004,0.00042,1,0,0,0.4174,SL_HIT,-0.47619047619047483,-0.47619047619047483,-9.523809523809497,-71.93339580602331,7481.073163826445
26,LONG,1784087400000,1784087400000,0.00042019999999999997,0.0004182,0.0004212,0.00042019999999999997,1,0,0,0.4168,SL_HIT,-0.4759638267491657,-0.4759638267491657,-9.519276534983314,-71.21440422490646,7409.858759601539
27,LONG,1784087520000,1784087520000,0.0004205,0.0004185,0.0004215,0.0004205,1,0,0,0.4572,SL_HIT,-0.47562425683709736,-0.47562425683709736,-9.512485136741947,-70.48617131606676,7339.3725882854715
28,LONG,1784087580000,1784087580000,0.0004205,0.0004185,0.0004215,0.0004205,1,0,0,0.4254,SL_HIT,-0.47562425683709736,-0.47562425683709736,-9.512485136741947,-69.81567265907682,7269.556915626395
29,LONG,1784087640000,1784087640000,0.00042019999999999997,0.0004182,0.0004212,0.00042019999999999997,1,0,0,0.4143,SL_HIT,-0.4759638267491657,-0.4759638267491657,-9.519276534983314,-69.20092256664802,7200.355993059747
30,LONG,1784087700000,1784087700000,0.00042029999999999997,0.0004183,0.0004213,0.00042029999999999997,1,0,0,0.4085,SL_HIT,-0.47585058291696275,-0.47585058291696275,-9.517011658339255,-68.52587193014254,7131.830121129604
31,LONG,1784087760000,1784087760000,0.00042019999999999997,0.0004182,0.0004212,0.00042019999999999997,1,0,0,0.4223,SL_HIT,-0.4759638267491657,-0.4759638267491657,-9.519276534983314,-67.88986312355625,7063.940258006048
32,LONG,1784094900000,1784094900000,0.0004199,0.0004179,0.00042090000000000004,0.0004199,1,0,0,0.4148,SL_HIT,-0.4763038818766359,-0.4763038818766359,-9.526077637532717,-67.29164332465851,6996.6486146813895
33,LONG,1784094960000,1784094960000,0.00042019999999999997,0.0004182,0.0004212,0.00042019999999999997,1,0,0,0.4425,SL_HIT,-0.4759638267491657,-0.4759638267491657,-9.519276534983314,-66.60303298126007,6930.045581700129
34,LONG,1784095020000,1784095020000,0.0004207,0.0004187,0.0004217,0.0004207,1,0,0,0.4361,SL_HIT,-0.4753981459472295,-0.4753981459472295,-9.50796291894459,-65.89061641740062,6864.154965282729
35,LONG,1784095080000,1784095080000,0.000421,0.000419,0.000422,0.000421,1,0,0,0.4326,SL_HIT,-0.47505938242280155,-0.47505938242280155,-9.501187648456032,-65.21762437323241,6798.937340909497
36,LONG,1784095140000,1784095140000,0.000422,0.000419,0.00042300000000000004,0.000421,1,1,0,0.409,SL_HIT,-0.7109004739336536,-0.7109004739336536,-14.218009478673075,-96.66735555795553,6702.269985351541
37,LONG,1784098140000,1784098140000,0.0004223,0.0004203,0.00042330000000000004,0.0004223,1,0,0,0.4021,SL_HIT,-0.4735969689793972,-0.4735969689793972,-9.471939379587942,-63.483495006881576,6638.78649034466
38,LONG,1784147040000,1784147040000,0.0004267,0.0004237,0.00042770000000000004,0.0004257,1,1,0,0.4564,SL_HIT,-0.7030700726505785,-0.7030700726505785,-14.061401453011571,-93.35064200156599,6545.435848343094
39,LONG,1784147100000,1784147100000,0.0004267,0.0004237,0.00042770000000000004,0.0004257,1,1,0,0.4266,SL_HIT,-0.7030700726505785,-0.7030700726505785,-14.061401453011571,-92.03800114848562,6453.397847194608
40,LONG,1784147160000,1784147160000,0.0004267,0.0004247,0.00042770000000000004,0.0004267,1,0,0,0.4022,SL_HIT,-0.46871338176704813,-0.46871338176704813,-9.374267635340964,-60.49587857693547,6392.9019686176725
41,LONG,1784154720000,1784154720000,0.0004261,0.0004241,0.00042710000000000003,0.0004261,1,0,0,0.4435,SL_HIT,-0.46937338652898253,-0.46937338652898253,-9.387467730579651,-60.01316093515752,6332.888807682515
42,LONG,1784157000000,1784157000000,0.0004261,0.0004241,0.00042710000000000003,0.0004261,1,0,0,0.4628,SL_HIT,-0.46937338652898253,-0.46937338652898253,-9.387467730579651,-59.44978932346866,6273.439018359047
43,LONG,1784157120000,1784157120000,0.0004264,0.0004244,0.00042740000000000003,0.0004264,1,0,0,0.4511,SL_HIT,-0.4690431519699799,-0.4690431519699799,-9.380863039399598,-58.85027221725168,6214.588746141795
