trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after
1,LONG,1784239740000,1784239740000,0.010381,0.010341000000000001,0.010421,0.010361,4,2,0,0.4508,SL_HIT,-0.38531933339753754,-0.38531933339753754,-7.706386667950752,-77.06386667950751,9922.936133320492
2,LONG,1784240100000,1784240100000,0.010386999999999999,0.010347,0.010426999999999999,0.010367,4,2,0,0.4197,SL_HIT,-0.38509675555981876,-0.38509675555981876,-7.701935111196375,-76.42581021138031,9846.510323109113
3,LONG,1784240160000,1784240160000,0.01039,0.010350000000000002,0.01042,0.01037,3,2,0,0.4702,SL_HIT,-0.38498556304137027,-0.38498556304137027,-7.699711260827405,-75.81528641469653,9770.695036694417
4,LONG,1784240220000,1784240220000,0.010398999999999999,0.010359,0.010428999999999999,0.010379,3,2,0,0.4455,SL_HIT,-0.3846523704202171,-0.3846523704202171,-7.693047408404342,-75.16642013035116,9695.528616564065
5,LONG,1784764980000,1784764980000,0.010367999999999999,0.010328,0.010398,0.010348,3,2,0,0.4044,SL_HIT,-0.3858024691357868,-0.3858024691357868,-7.7160493827157355,-74.8111775969419,9620.717438967122
6,LONG,1786971600000,1786971660000,0.011361999999999999,0.011312,0.011421999999999998,0.011331999999999998,6,3,1,0.4306,SL_HIT,-0.44006336912515137,-0.44006336912515137,-8.801267382503028,-84.6745065918594,9536.042932375263
7,LONG,1788043980000,1788043980000,0.014221999999999999,0.014182,0.014261999999999999,0.014202,4,2,0,0.4436,SL_HIT,-0.2812543945999042,-0.2812543945999042,-5.625087891998084,-53.641079636478,9482.401852738785
8,LONG,1788044220000,1788044220000,0.01423,0.014190000000000001,0.01427,0.01421,4,2,0,0.4105,SL_HIT,-0.2810962754743385,-0.2810962754743385,-5.621925509486771,-53.30935686711679,9429.092495871668
9,LONG,1788044280000,1788044280000,0.014237,0.014197000000000001,0.014277,0.014217,4,2,0,0.4446,SL_HIT,-0.2809580670084876,-0.2809580670084876,-5.619161340169751,-52.98359202568679,9376.108903845981
10,LONG,1788046800000,1788046860000,0.014369,0.014319,0.014419,0.014339,5,3,1,0.4828,SL_HIT,-0.3479713271626397,-0.3479713271626397,-6.9594265432527935,-65.25234117785457,9310.856562668127
