trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after
1,SHORT,1785624120000,1785625740000,0.06902,0.06919808000000001,0.06876384,0.06917808,28,14,27,0.467,SL_HIT,-0.2580121703854115,-0.2580121703854115,-5.16024340770823,-51.6024340770823,9948.397565922918
2,SHORT,1786009920000,1786011300000,0.06903,0.0687738,0.0687738,0.0691881,28,14,23,0.5185,TP_HIT,0.37114298131247014,0.37114298131247014,7.422859626249402,73.84555863796706,10022.243124560886
3,SHORT,1786038360000,1786041960000,0.06899,0.06882,0.06873396,0.06914802,28,14,60,0.4515,TIME_EXPIRY,0.24641252355412321,0.24641252355412321,4.928250471082464,49.39212439992018,10071.635248960805
4,LONG,1787167320000,1787169480000,0.07276,0.07309059565587755,0.07309059565587755,0.07257970217206121,34,17,36,0.4558,TP_HIT,0.4543645627783805,0.4543645627783805,9.087291255567608,91.52388292714804,10163.159131887953
5,LONG,1787171520000,1787172600000,0.07323,0.07353449023668732,0.07353449023668732,0.07304775488165634,32,16,18,0.4685,TP_HIT,0.41579985892026916,0.41579985892026916,8.315997178405382,84.51680266446512,10247.675934552419
6,LONG,1787212200000,1787213220000,0.07534,0.07562128,0.07562128,0.07516936,30,15,17,0.4614,TP_HIT,0.3733474913724381,0.3733474913724381,7.466949827448762,76.51888205125701,10324.194816603676
7,LONG,1787224620000,1787225580000,0.07708000000000001,0.07744156084950636,0.07744156084950636,0.07685421957524681,39,20,16,0.4616,TP_HIT,0.4690721970762208,0.4690721970762208,9.381443941524417,96.85585491334433,10421.050671517021
8,LONG,1787289720000,1787289840000,0.08263000000000001,0.08238219719755856,0.08302560560488288,0.08240219719755856,42,21,2,0.4846,SL_HIT,-0.2998944722757496,-0.2998944722757496,-5.997889445514993,-62.50430983386886,10358.546361683153
9,LONG,1787292000000,1787292420000,0.08270000000000001,0.08311508613396255,0.08311508613396255,0.08247745693301872,43,21,7,0.4504,TP_HIT,0.5019179370768373,0.5019179370768373,10.038358741536745,103.98280441941574,10462.52916610257
10,LONG,1787379660000,1787380320000,0.09235,0.09149840627863733,0.09398318744272537,0.09151840627863733,164,82,11,0.4638,SL_HIT,-0.9221372185843808,-0.9221372185843808,-18.442744371687613,-192.95775089175567,10269.571415210814
11,LONG,1787629680000,1787629680000,0.09245,0.0920732510970758,0.0931034978058484,0.0920932510970758,67,34,0,0.4762,SL_HIT,-0.40751639039935506,-0.40751639039935506,-8.1503278079871,-83.70037348150215,10185.871041729311
12,SHORT,1787984940000,1787986080000,0.08423,0.08444852000000001,0.08392296,0.08442852,34,17,19,0.5698,SL_HIT,-0.2594325062329499,-0.2594325062329499,-5.188650124658998,-52.85092105042927,10133.020120678882
