trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after
1,LONG,1783075380000,1783075380000,4.1320000000000004e-05,3.932e-05,4.1320000000000004e-05,4.1320000000000004e-05,0,0,0,0.4139,SL_HIT,-4.840271055179093,-4.840271055179093,-96.80542110358186,-968.0542110358185,9031.945788964182
2,LONG,1783759800000,1783759800000,4.13e-05,3.93e-05,4.13e-05,4.13e-05,0,0,0,0.4105,SL_HIT,-4.84261501210654,-4.84261501210654,-96.85230024213081,-874.7647253234079,8157.181063640774
3,SHORT,1784345280000,1784345280000,3.4399999999999996e-05,3.64e-05,3.4399999999999996e-05,3.4399999999999996e-05,0,0,0,0.5203,SL_HIT,-5.813953488372097,-5.813953488372097,-116.27906976744194,-948.5094260047417,7208.671637636032
4,LONG,1785122940000,1785122940000,3.9240000000000004e-05,3.724e-05,3.9240000000000004e-05,3.9240000000000004e-05,0,0,0,0.402,SL_HIT,-5.096839959225282,-5.096839959225282,-101.93679918450567,-734.8289131127458,6473.842724523286
5,LONG,1785775020000,1785775020000,3.681e-05,3.481e-05,3.681e-05,3.681e-05,0,0,0,0.4598,SL_HIT,-5.4333061668025024,-5.4333061668025024,-108.66612333605006,-703.4873919612378,5770.355332562049
6,LONG,1785960000000,1785960000000,3.698e-05,3.498e-05,3.698e-05,3.698e-05,0,0,0,0.448,SL_HIT,-5.408328826392648,-5.408328826392648,-108.16657652785295,-624.1595816724772,5146.195750889571
7,LONG,1785966960000,1785966960000,3.69e-05,3.49e-05,3.69e-05,3.69e-05,0,0,0,0.5016,SL_HIT,-5.420054200542008,-5.420054200542008,-108.40108401084017,-557.8531979284091,4588.342552961162
8,LONG,1785967020000,1785967020000,3.689e-05,3.489e-05,3.689e-05,3.689e-05,0,0,0,0.4539,SL_HIT,-5.421523448088916,-5.421523448088916,-108.43046896177833,-497.51613477486205,4090.8264181863
9,LONG,1786004580000,1786004580000,3.756e-05,3.556e-05,3.756e-05,3.756e-05,0,0,0,0.4034,SL_HIT,-5.3248136315228995,-5.3248136315228995,-106.496272630458,-435.6577655150482,3655.168652671252
10,LONG,1786004760000,1786004760000,3.753e-05,3.553e-05,3.753e-05,3.753e-05,0,0,0,0.417,SL_HIT,-5.32907007727152,-5.32907007727152,-106.58140154543038,-389.57299788662453,3265.595654784627
11,LONG,1786015860000,1786015860000,3.72e-05,3.52e-05,3.72e-05,3.72e-05,0,0,0,0.41,SL_HIT,-5.376344086021509,-5.376344086021509,-107.52688172043017,-351.1393177187773,2914.4563370658498
12,LONG,1786036740000,1786036740000,3.7500000000000003e-05,3.55e-05,3.7500000000000003e-05,3.7500000000000003e-05,0,0,0,0.4044,SL_HIT,-5.333333333333336,-5.333333333333336,-106.66666666666671,-310.87534262035746,2603.5809944454923
13,LONG,1786037040000,1786037040000,3.745e-05,3.545e-05,3.745e-05,3.745e-05,0,0,0,0.4136,SL_HIT,-5.3404539385847825,-5.3404539385847825,-106.80907877169565,-278.08608752421827,2325.494906921274
14,LONG,1786082580000,1786082580000,3.726e-05,3.526e-05,3.726e-05,3.726e-05,0,0,0,0.4551,SL_HIT,-5.36768652710682,-5.36768652710682,-107.35373054213639,-249.650553614737,2075.844353306537
15,LONG,1786089300000,1786089300000,3.728e-05,3.528e-05,3.728e-05,3.728e-05,0,0,0,0.4371,SL_HIT,-5.364806866952793,-5.364806866952793,-107.29613733905585,-222.7300808268818,1853.1142724796553
16,LONG,1786101960000,1786101960000,3.72e-05,3.52e-05,3.72e-05,3.72e-05,0,0,0,0.4301,SL_HIT,-5.376344086021509,-5.376344086021509,-107.52688172043017,-199.25959919136088,1653.8546732882944
17,LONG,1786154040000,1786154040000,3.722e-05,3.522e-05,3.722e-05,3.722e-05,0,0,0,0.4246,SL_HIT,-5.373455131649655,-5.373455131649655,-107.46910263299307,-177.73827762367497,1476.1163956646194
18,LONG,1786155660000,1786155660000,3.734e-05,3.534e-05,3.734e-05,3.734e-05,0,0,0,0.4521,SL_HIT,-5.356186395286559,-5.356186395286559,-107.12372790573119,-158.12709112636534,1317.9893045382541
19,LONG,1786156080000,1786156080000,3.739e-05,3.539e-05,3.739e-05,3.739e-05,0,0,0,0.4096,SL_HIT,-5.349023803155927,-5.349023803155927,-106.98047606311853,-140.99912324560094,1176.9901812926532
20,LONG,1786226100000,1786226100000,3.826e-05,3.626e-05,3.826e-05,3.826e-05,0,0,0,0.4426,SL_HIT,-5.227391531625721,-5.227391531625721,-104.54783063251443,-123.05177012991676,1053.9384111627364
21,LONG,1786226220000,1786226220000,3.828e-05,3.628e-05,3.828e-05,3.828e-05,0,0,0,0.4109,SL_HIT,-5.224660397074193,-5.224660397074193,-104.49320794148387,-110.12940555514494,943.8090056075915
22,LONG,1786501080000,1786501080000,3.758e-05,3.558e-05,3.758e-05,3.758e-05,0,0,0,0.4001,SL_HIT,-5.3219797764768515,-5.3219797764768515,-106.43959552953703,-100.4586488140066,843.350356793585
23,LONG,1787073060000,1787073060000,3.667e-05,3.467e-05,3.667e-05,3.667e-05,0,0,0,0.4023,SL_HIT,-5.454049631851653,-5.454049631851653,-109.08099263703306,-91.99349405984024,751.3568627337447
24,LONG,1787161980000,1787161980000,3.7590000000000004e-05,3.559e-05,3.7590000000000004e-05,3.7590000000000004e-05,0,0,0,0.4095,SL_HIT,-5.320563979781859,-5.320563979781859,-106.41127959563718,-79.9528451964613,671.4040175372834
25,LONG,1787162040000,1787162040000,3.758e-05,3.558e-05,3.758e-05,3.758e-05,0,0,0,0.4559,SL_HIT,-5.3219797764768515,-5.3219797764768515,-106.43959552953703,-71.46397206357463,599.9400454737088
26,LONG,1787162160000,1787162160000,3.758e-05,3.558e-05,3.758e-05,3.758e-05,0,0,0,0.4662,SL_HIT,-5.3219797764768515,-5.3219797764768515,-106.43959552953703,-63.85737578219362,536.0826696915152
27,LONG,1787162340000,1787162340000,3.758e-05,3.558e-05,3.758e-05,3.758e-05,0,0,0,0.4376,SL_HIT,-5.3219797764768515,-5.3219797764768515,-106.43959552953703,-57.06042253235928,479.02224715915594
28,LONG,1787186760000,1787186760000,3.895e-05,3.695e-05,3.895e-05,3.895e-05,0,0,0,0.4061,SL_HIT,-5.134788189987166,-5.134788189987166,-102.69576379974332,-49.193555549078944,429.828691610077
29,LONG,1787186880000,1787186880000,3.896e-05,3.696e-05,3.896e-05,3.896e-05,0,0,0,0.4096,SL_HIT,-5.133470225872693,-5.133470225872693,-102.66940451745386,-44.13025581212292,385.69843579795406
30,LONG,1787201040000,1787201040000,3.8390000000000003e-05,3.639e-05,3.8390000000000003e-05,3.8390000000000003e-05,0,0,0,0.4331,SL_HIT,-5.209690023443607,-5.209690023443607,-104.19380046887214,-40.187385860688124,345.51104993726597
31,LONG,1787201520000,1787201520000,3.838e-05,3.638e-05,3.838e-05,3.838e-05,0,0,0,0.4115,SL_HIT,-5.211047420531529,-5.211047420531529,-104.22094841063058,-36.00948931081461,309.50156062645135
32,LONG,1787251860000,1787251860000,4.0090000000000004e-05,3.809e-05,4.0090000000000004e-05,4.0090000000000004e-05,0,0,0,0.4272,SL_HIT,-4.988775255674734,-4.988775255674734,-99.77550511349469,-30.880674544919085,278.62088608153226
33,LONG,1787257860000,1787257860000,4.0340000000000003e-05,3.834e-05,4.0340000000000003e-05,4.0340000000000003e-05,0,0,0,0.4488,SL_HIT,-4.957858205255332,-4.957858205255332,-99.15716410510665,-27.62725692429672,250.99362915723555
34,LONG,1787257920000,1787257920000,4.0340000000000003e-05,3.834e-05,4.0340000000000003e-05,4.0340000000000003e-05,0,0,0,0.4399,SL_HIT,-4.957858205255332,-4.957858205255332,-99.15716410510665,-24.887816475680285,226.10581268155525
35,LONG,1787272140000,1787272140000,4.0770000000000004e-05,3.877e-05,4.0770000000000004e-05,4.0770000000000004e-05,0,0,0,0.4533,SL_HIT,-4.905567819475107,-4.905567819475107,-98.11135638950213,-22.183547969738083,203.92226471181718
36,LONG,1787291100000,1787291100000,4.15e-05,3.95e-05,4.15e-05,4.15e-05,0,0,0,0.4143,SL_HIT,-4.819277108433738,-4.819277108433738,-96.38554216867476,-19.655158044512515,184.26710666730466
37,LONG,1787343780000,1787343780000,4.321e-05,4.121e-05,4.321e-05,4.321e-05,0,0,0,0.4102,SL_HIT,-4.628558204119419,-4.628558204119419,-92.57116408238839,-17.057820566286026,167.20928610101862
38,LONG,1787979180000,1787979180000,4.1830000000000004e-05,3.983e-05,4.1830000000000004e-05,4.1830000000000004e-05,0,0,0,0.4297,SL_HIT,-4.781257470714801,-4.781257470714801,-95.625149414296,-15.989412966867674,151.21987313415096
39,LONG,1788085440000,1788085440000,4.1700000000000004e-05,3.97e-05,4.1700000000000004e-05,4.1700000000000004e-05,0,0,0,0.4161,SL_HIT,-4.796163069544367,-4.796163069544367,-95.92326139088733,-14.505503418143986,136.71436971600698
