trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after
1,LONG,1783059660000,1783059660000,0.07922000000000001,0.07885,0.07993000000000001,0.07887000000000001,71,35,0,0.4415,SL_HIT,-0.4670537742994309,-0.4670537742994309,-9.341075485988618,-93.41075485988617,9906.589245140114
2,LONG,1783135140000,1783135140000,0.08276,0.08263999999999999,0.08296,0.08266,20,10,0,0.4058,SL_HIT,-0.14499758337362129,-0.14499758337362129,-2.899951667472426,-28.728630000408476,9877.860615139705
3,LONG,1783355400000,1783355820000,0.08616,0.08694,0.08694,0.08577,78,39,7,0.4049,TP_HIT,0.9052924791086384,0.9052924791086384,18.105849582172766,178.84705849138808,10056.707673631094
4,LONG,1783356420000,1783356780000,0.08876,0.08806,0.09012,0.08808,136,68,6,0.5263,SL_HIT,-0.7886435331230353,-0.7886435331230353,-15.772870662460706,-158.62314942635933,9898.084524204734
5,LONG,1783365900000,1783366560000,0.08853000000000001,0.08814000000000001,0.08927000000000002,0.08816000000000002,74,37,11,0.4825,SL_HIT,-0.44052863436123507,-0.44052863436123507,-8.810572687224703,-87.20779316479975,9810.876731039934
6,LONG,1784458560000,1784459460000,0.08038000000000001,0.08058000000000001,0.08058000000000001,0.08028,20,10,15,0.42,TP_HIT,0.2488181139587033,0.2488181139587033,4.976362279174065,48.82247688997369,9859.699207929909
7,LONG,1784730780000,1784730840000,0.08064,0.08054,0.08081,0.08056,17,8,1,0.4166,SL_HIT,-0.12400793650794006,-0.12400793650794006,-2.4801587301588013,-24.453619067287182,9835.245588862621
8,LONG,1784795100000,1784795400000,0.08489000000000001,0.08599000000000001,0.08599000000000001,0.08434000000000001,110,55,5,0.4377,TP_HIT,1.2957945576628622,1.2957945576628622,25.915891153257242,254.88915414651714,10090.134743009137
9,LONG,1786061400000,1786061520000,0.07605,0.07594,0.07623,0.07596,18,9,2,0.4062,SL_HIT,-0.14464168310323847,-0.14464168310323847,-2.892833662064769,-29.189081439346083,10060.94566156979
10,LONG,1786118040000,1786118940000,0.07655,0.07654999999999999,0.07673,0.07646,18,9,15,0.4186,TIME_EXPIRY,-1.8129050042866697e-14,-1.8129050042866697e-14,-3.625810008573339e-13,-3.6479077475432266e-12,10060.945661569787
11,LONG,1786156320000,1786156560000,0.07679000000000001,0.07669000000000001,0.07694000000000001,0.07671000000000001,15,8,4,0.4134,SL_HIT,-0.1302252897512734,-0.1302252897512734,-2.604505795025468,-26.203791278994856,10034.741870290793
12,LONG,1787109960000,1787110080000,0.07096000000000001,0.07086,0.07112,0.07088000000000001,16,8,2,0.4072,SL_HIT,-0.14092446448703896,-0.14092446448703896,-2.81848928974078,-28.28281248672796,10006.459057804064
13,LONG,1787153280000,1787154180000,0.07318000000000001,0.07325,0.07367000000000001,0.07294,49,24,15,0.4051,TIME_EXPIRY,0.09565455042359487,0.09565455042359487,1.9130910084718975,19.143266850127134,10025.602324654192
14,LONG,1787314500000,1787314980000,0.08798,0.08757999999999999,0.08875000000000001,0.0876,77,38,8,0.4052,SL_HIT,-0.4546487838145163,-0.4546487838145163,-9.092975676290326,-91.16255807824031,9934.439766575952
