trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after
1,LONG,1783110720000,1783110720000,0.000629,0.0006259999999999999,0.00063,0.000628,1,1,0,0.4071,SL_HIT,-0.4769475357710768,-0.4769475357710768,-9.538950715421535,-95.38950715421535,9904.610492845784
2,SHORT,1784015700000,1784015700000,0.0005371999999999999,0.0005402,0.0005361999999999999,0.0005382,1,1,0,0.4861,SL_HIT,-0.5584512285927166,-0.5584512285927166,-11.16902457185433,-110.6248379692408,9793.985654876544
3,SHORT,1784015760000,1784015760000,0.0005371,0.0005401000000000001,0.0005361,0.0005381,1,1,0,0.5701,SL_HIT,-0.558555203872663,-0.558555203872663,-11.17110407745326,-109.4096330837101,9684.576021792833
4,SHORT,1784327820000,1784327820000,0.0005304999999999999,0.0005335,0.0005294999999999999,0.0005315,1,1,0,0.4982,SL_HIT,-0.5655042412818234,-0.5655042412818234,-11.31008482563647,-109.53337630680191,9575.042645486032
5,SHORT,1784455020000,1784455020000,0.0005319999999999999,0.000535,0.0005309999999999999,0.0005329999999999999,1,1,0,0.5058,SL_HIT,-0.563909774436104,-0.563909774436104,-11.27819548872208,-107.9892027686421,9467.05344271739
6,SHORT,1784479260000,1784479260000,0.0005292,0.0005322,0.0005281999999999999,0.0005302,1,1,0,0.5002,SL_HIT,-0.566893424036295,-0.566893424036295,-11.337868480725898,-107.33620683353311,9359.717235883856
7,SHORT,1784487420000,1784487420000,0.000526,0.0005290000000000001,0.000525,0.000527,1,1,0,0.5069,SL_HIT,-0.5703422053232078,-0.5703422053232078,-11.406844106464156,-106.76483539031275,9252.952400493543
8,SHORT,1785902460000,1785902460000,0.000488,0.00049,0.00048699999999999997,0.000488,1,0,0,0.4905,SL_HIT,-0.4098360655737694,-0.4098360655737694,-8.196721311475388,-75.84387213519278,9177.10852835835
9,SHORT,1785902520000,1785902520000,0.00048790000000000004,0.0004899,0.0004869,0.00048790000000000004,1,0,0,0.5003,SL_HIT,-0.40992006558720934,-0.40992006558720934,-8.198401311744187,-75.23761859691187,9101.87090976144
10,SHORT,1786139460000,1786139460000,0.0004873,0.0004893,0.0004863,0.0004873,1,0,0,0.488,SL_HIT,-0.4104247896572941,-0.4104247896572941,-8.20849579314588,-74.71266907253366,9027.158240688905
