trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after
1,LONG,1782872160000,1782872220000,1.711,1.703,1.724,1.705,13,6,1,0.4171,SL_HIT,-0.46756282875511435,-0.46756282875511435,-9.351256575102287,-93.51256575102288,9906.487434248977
2,LONG,1782875220000,1782875280000,1.738,1.726,1.758,1.728,20,10,1,0.4002,SL_HIT,-0.6904487917146152,-0.6904487917146152,-13.808975834292303,-136.7984455822645,9769.688988666712
3,LONG,1783067340000,1783067340000,1.768,1.758,1.784,1.76,16,8,0,0.4327,SL_HIT,-0.5656108597285073,-0.5656108597285073,-11.312217194570145,-110.5168437631982,9659.172144903514
4,LONG,1784341980000,1784342100000,1.601,1.6139999999999999,1.6139999999999999,1.595,13,6,2,0.4091,TP_HIT,0.811992504684566,0.811992504684566,16.23985009369132,156.8635076623919,9816.035652565906
5,LONG,1784342160000,1784342820000,1.615,1.631,1.631,1.607,16,8,11,0.4404,TP_HIT,0.9907120743034065,0.9907120743034065,19.81424148606813,194.49730085579523,10010.532953421702
6,LONG,1785773100000,1785773280000,1.505,1.4969999999999999,1.5179999999999998,1.4989999999999999,13,6,3,0.4073,SL_HIT,-0.5315614617940205,-0.5315614617940205,-10.63122923588041,-106.42427060116107,9904.10868282054
7,LONG,1787169000000,1787169780000,1.489,1.506,1.506,1.481,17,8,13,0.4025,TP_HIT,1.1417058428475422,1.1417058428475422,22.834116856950846,226.15157502746575,10130.260257848007
8,LONG,1787172540000,1787172660000,1.548,1.565,1.565,1.5390000000000001,17,9,2,0.4167,TP_HIT,1.0981912144702781,1.0981912144702781,21.96382428940556,222.49925630932194,10352.75951415733
9,LONG,1787173200000,1787173260000,1.587,1.613,1.613,1.574,26,13,1,0.4165,TP_HIT,1.6383112791430388,1.6383112791430388,32.76622558286078,339.22085364598723,10691.980367803317
10,LONG,1787370600000,1787370720000,2.4549999999999996,2.554,2.554,2.4059999999999997,99,49,2,0.4187,TP_HIT,4.032586558044815,4.032586558044815,80.6517311608963,862.3267262016542,11554.307094004971
11,LONG,1787373240000,1787373480000,2.788,2.915,2.915,2.7319999999999998,127,56,4,0.4036,TP_HIT,4.555236728837885,4.555236728837885,91.1047345767577,1052.6520810176714,12606.959175022643
12,LONG,1787374140000,1787374200000,3.163,3.376,3.376,3.0999999999999996,213,63,1,0.4096,TP_HIT,6.734113183686377,6.734113183686377,134.68226367372753,1697.9337997343182,14304.89297475696
13,SHORT,1787701500000,1787702400000,2.164,2.171,2.1390000000000002,2.176,25,12,15,0.4104,TIME_EXPIRY,-0.3234750462107058,-0.3234750462107058,-6.469500924214115,-92.54551832097415,14212.347456435986
14,LONG,1787880420000,1787880660000,2.8019999999999996,2.8529999999999998,2.8529999999999998,2.7769999999999997,51,25,4,0.4344,TP_HIT,1.8201284796573933,1.8201284796573933,36.40256959314787,517.365967364909,14729.713423800895
