trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after
1,LONG,1784411880000,1784411880000,0.1543,0.15389999999999998,0.1546,0.1541,3,2,0,0.4103,SL_HIT,-0.2592352559948227,-0.2592352559948227,-5.184705119896455,-51.84705119896454,9948.152948801035
2,LONG,1784411940000,1784411940000,0.1543,0.15389999999999998,0.1546,0.1541,3,2,0,0.403,SL_HIT,-0.2592352559948227,-0.2592352559948227,-5.184705119896455,-51.578239527161735,9896.574709273873
3,LONG,1787185620000,1787185620000,0.1477,0.1472,0.1483,0.1474,6,3,0,0.4306,SL_HIT,-0.3385240352065,-0.3385240352065,-6.77048070413,-67.00456810611972,9829.570141167753
4,LONG,1787185680000,1787185680000,0.14780000000000001,0.14730000000000001,0.14850000000000002,0.14750000000000002,7,3,0,0.4144,SL_HIT,-0.3382949932341004,-0.3382949932341004,-6.765899864682008,-66.5058872880092,9763.064253879744
5,LONG,1787185920000,1787185920000,0.14830000000000002,0.14780000000000001,0.14900000000000002,0.14800000000000002,7,3,0,0.5147,SL_HIT,-0.33715441672285934,-0.33715441672285934,-6.743088334457187,-65.83320467889246,9697.231049200851
6,LONG,1787186040000,1787186940000,0.14830000000000002,0.1483,0.14900000000000002,0.1479,7,4,15,0.5322,TIME_EXPIRY,-1.871582981498915e-14,-1.871582981498915e-14,-3.7431659629978304e-13,-3.6298345198694364e-12,9697.231049200847
7,LONG,1787201220000,1787201220000,0.1466,0.1462,0.1471,0.1464,5,2,0,0.4231,SL_HIT,-0.27285129604366404,-0.27285129604366404,-5.4570259208732805,-52.91804119618622,9644.313008004661
8,LONG,1787201280000,1787201280000,0.1467,0.1462,0.1472,0.1464,5,3,0,0.4084,SL_HIT,-0.3408316291751878,-0.3408316291751878,-6.816632583503755,-65.74173829587369,9578.571269708787
9,LONG,1787201400000,1787201400000,0.1467,0.14629999999999999,0.1472,0.1465,5,2,0,0.4283,SL_HIT,-0.27266530334015776,-0.27266530334015776,-5.453306066803155,-52.23488081640934,9526.336388892378
10,LONG,1787201520000,1787201520000,0.1467,0.14629999999999999,0.1472,0.1465,5,2,0,0.4077,SL_HIT,-0.27266530334015776,-0.27266530334015776,-5.453306066803155,-51.95002802395447,9474.386360868424
11,LONG,1787201580000,1787202480000,0.1467,0.1465,0.1472,0.1464,5,3,15,0.4226,TIME_EXPIRY,-0.13633265167007888,-0.13633265167007888,-2.7266530334015777,-25.833364310480427,9448.552996557944
12,LONG,1787205660000,1787205660000,0.1467,0.14629999999999999,0.1471,0.1465,4,2,0,0.4339,SL_HIT,-0.27266530334015776,-0.27266530334015776,-5.453306066803155,-51.525851378640574,9397.027145179303
13,LONG,1787302560000,1787302800000,0.17800000000000002,0.17700000000000002,0.1796,0.17720000000000002,16,8,4,0.4047,SL_HIT,-0.5617977528089891,-0.5617977528089891,-11.235955056179783,-105.58457466493607,9291.442570514368
14,LONG,1787330340000,1787330580000,0.185,0.1864,0.1864,0.1843,14,7,4,0.4073,TP_HIT,0.7567567567567635,0.7567567567567635,15.135135135135268,140.62723890508357,9432.06980941945
15,LONG,1787848140000,1787848200000,0.2308,0.2289,0.23420000000000002,0.2291,34,17,1,0.5158,SL_HIT,-0.8232235701906467,-0.8232235701906467,-16.464471403812937,-155.29404365595389,9276.775765763496
16,LONG,1787848860000,1787849580000,0.2348,0.2325,0.2389,0.23270000000000002,41,21,12,0.4261,SL_HIT,-0.9795570698466766,-0.9795570698466766,-19.59114139693353,-181.74262573471898,9095.033140028776
