symbol,market,contract_status,earliest_date,latest_date,total_months_available,total_data_types,available_data_types,trades_range,aggTrades_range,klines_range,bookTicker_range,fundingRate_range,markPriceKlines_range,indexPriceKlines_range,premiumIndexKlines_range
0GUSDT,futures/um,ACTIVE_PERPETUAL,2025-09,2026-08,12,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,N/A,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08
1000000BOBUSDT,futures/um,ACTIVE_PERPETUAL,2025-06,2026-08,15,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08,N/A,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08
1000000MOGUSDT,futures/um,ACTIVE_PERPETUAL,2024-11,2026-08,22,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08,N/A,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08
1000BONKUSDC,futures/um,ACTIVE_PERPETUAL,2024-05,2026-08,28,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-05 to 2026-08,2024-05 to 2026-08,2024-05 to 2026-08,N/A,2024-05 to 2026-08,2024-05 to 2026-08,2024-05 to 2026-08,2024-05 to 2026-08
1000BONKUSDT,futures/um,ACTIVE_PERPETUAL,2023-11,2026-08,34,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2024-04,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08
1000BTTCUSDT,futures/um,DELISTED_HISTORICAL,2022-01,2022-04,4,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-01 to 2022-04,2022-01 to 2022-04,2022-01 to 2022-04,N/A,2022-01 to 2022-04,2022-01 to 2022-04,2022-01 to 2022-04,2022-01 to 2022-04
1000CATUSDT,futures/um,ACTIVE_PERPETUAL,2024-10,2026-08,23,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-10 to 2026-08,2024-10 to 2026-08,2024-10 to 2026-08,N/A,2024-10 to 2026-08,2024-10 to 2026-08,2024-10 to 2026-08,2024-10 to 2026-08
1000CHEEMSUSDT,futures/um,ACTIVE_PERPETUAL,2024-11,2026-08,22,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08,N/A,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08
1000FLOKIUSDT,futures/um,ACTIVE_PERPETUAL,2023-05,2026-08,40,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-05 to 2026-08,2023-05 to 2026-08,2023-05 to 2026-08,2023-05 to 2024-04,2023-05 to 2026-08,2023-05 to 2026-08,2023-05 to 2026-08,2023-05 to 2026-08
1000LUNCBUSD,futures/um,DELISTED_BUSD,2022-05,2023-06,14,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-05 to 2023-06,2022-05 to 2023-06,2022-05 to 2023-06,2023-05 to 2023-06,2022-05 to 2023-06,2022-05 to 2023-06,2022-05 to 2023-06,2022-05 to 2023-06
