symbol,binance_symbol,status,is_active,base_coin,quote_coin,maker_fee_rate,taker_fee_rate,is_zero_fee,min_contracts,contract_size,min_underlying_qty,current_price,min_notional_usdt,min_margin_usdt,max_leverage,start_date_utc,start_date_ist,age_days,binance_has_ohlcv,binance_klines_range,binance_has_trades,binance_trades_range,binance_has_aggTrades,binance_aggTrades_range,binance_available_data_types
MELANIA_USDT,MELANIAUSDT,ACTIVE,TRUE,MELANIA,USDT,0,0,TRUE,1,0.1,0.1,0.09663,0.009663,0.000129,75,2025-01-20 01:34:45 UTC,2025-01-20 07:04:45 IST,605,TRUE,2025-01 to 2026-08,TRUE,2025-01 to 2026-08,TRUE,2025-01 to 2026-08,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades
DOGS_USDT,DOGSUSDT,ACTIVE,TRUE,DOGS,USDT,0,0,TRUE,1,1000,1000,4.58E-05,0.04578,0.000916,50,2024-08-26 12:14:37 UTC,2024-08-26 17:44:37 IST,752,TRUE,2024-08 to 2026-08,TRUE,2024-08 to 2026-08,TRUE,2024-08 to 2026-08,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades
MEME_USDT,MEMEUSDT,ACTIVE,TRUE,MEME,USDT,0,0,TRUE,1,100,100,0.000525,0.0525,0.00105,50,2024-03-15 10:17:41 UTC,2024-03-15 15:47:41 IST,916,TRUE,2023-11 to 2026-08,TRUE,2023-11 to 2026-08,TRUE,2023-11 to 2026-08,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades
BOME_USDT,BOMEUSDT,ACTIVE,TRUE,BOME,USDT,0,0,TRUE,1,100,100,0.0009382,0.09382,0.001876,50,2024-03-18 09:04:33 UTC,2024-03-18 14:34:33 IST,913,TRUE,2024-03 to 2026-08,TRUE,2024-03 to 2026-08,TRUE,2024-03 to 2026-08,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades
ACT_USDT,ACTUSDT,ACTIVE,TRUE,ACT,USDT,0,0,TRUE,1,10,10,0.00963,0.0963,0.003852,25,2024-11-11 08:00:10 UTC,2024-11-11 13:30:10 IST,675,TRUE,2024-11 to 2026-08,TRUE,2024-11 to 2026-08,TRUE,2024-11 to 2026-08,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades
AVAAI_USDT,AVAAIUSDT,ACTIVE,TRUE,AVAAI,USDT,0,0,TRUE,1,10,10,0.009657,0.09657,0.003863,25,2025-01-02 15:07:43 UTC,2025-01-02 20:37:43 IST,623,TRUE,2025-01 to 2026-08,TRUE,2025-01 to 2026-08,TRUE,2025-01 to 2026-08,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades
MOG_USDT,1000000MOGUSDT,ACTIVE,TRUE,MOG,USDT,0,0,TRUE,1,1000000,1000000,9.86E-08,0.0986,0.001972,50,2024-12-08 03:46:41 UTC,2024-12-08 09:16:41 IST,648,TRUE,2024-11 to 2026-08,TRUE,2024-11 to 2026-08,TRUE,2024-11 to 2026-08,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades
CHILLGUY_USDT,CHILLGUYUSDT,ACTIVE,TRUE,CHILLGUY,USDT,0,0,TRUE,1,10,10,0.012263,0.12263,0.004905,25,2024-11-21 11:18:45 UTC,2024-11-21 16:48:45 IST,665,TRUE,2024-11 to 2026-08,TRUE,2024-11 to 2026-08,TRUE,2024-11 to 2026-08,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades
GOAT_USDT,GOATUSDT,ACTIVE,TRUE,GOAT,USDT,0,0,TRUE,1,10,10,0.01553,0.1553,0.006212,25,2024-10-19 02:51:31 UTC,2024-10-19 08:21:31 IST,698,TRUE,2024-10 to 2026-08,TRUE,2024-10 to 2026-08,TRUE,2024-10 to 2026-08,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades
PIPPIN_USDT,PIPPINUSDT,ACTIVE,TRUE,PIPPIN,USDT,0,0,TRUE,1,10,10,0.01771,0.1771,0.007084,25,2025-01-10 02:10:50 UTC,2025-01-10 07:40:50 IST,615,TRUE,2025-01 to 2026-08,TRUE,2025-01 to 2026-08,TRUE,2025-01 to 2026-08,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades
