symbol,status,is_active,base_coin,quote_coin,settle_coin,display_name_en,maker_fee_rate,maker_fee_pct,taker_fee_rate,taker_fee_pct,is_zero_fee,min_contracts,contract_size,min_underlying_qty,min_notional_usdt,min_margin_usdt,max_contracts,max_underlying_qty,vol_unit_step,vol_precision_scale,tick_size,price_precision_scale,amount_precision_scale,start_date_utc,start_date_ist,start_timestamp_ms,age_days,age_readable,max_leverage,min_leverage,maintenance_margin_rate,maintenance_margin_pct,initial_margin_rate,initial_margin_pct,current_price,fair_price,index_price,funding_rate,funding_rate_pct,price_change_24h_pct,high_24h,low_24h,volume_24h_contracts,turnover_24h_usdt,open_interest_contracts,open_interest_usdt,is_hot,is_new,api_allowed,tags_concept_plate,oracle_sources,depth_step_aggregations
DOGE_USDT,ACTIVE,True,DOGE,USDT,USDT,DOGEUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,10.0,10.0,0.8159,0.010879,2182320.0,21823200.0,1.0,0,1e-05,5,2,2024-03-15 10:21:59 UTC,2024-03-15 15:51:59 IST,1710498119000,916,2y 186d,75,1,0.0067,0.67%,0.0133,1.33%,0.08159,0.08159,0.0816,9.3e-05,0.0093%,-0.45%,0.08251,0.07903,203574594.0,164975875.5394,18252338.0,14892082.57,False,False,True,common_section_meme,BYBIT; BINANCE; GATEIO; OKX; MEXC,0.00001; 0.0001; 0.001; 0.01
TRUMP_USDT,ACTIVE,True,TRUMP,USDT,USDT,TRUMPUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,0.1,0.1,0.1953,0.002604,537040.0,53704.0,1.0,0,0.001,3,2,2024-05-31 04:17:06 UTC,2024-05-31 09:47:06 IST,1717129026000,839,2y 109d,75,1,0.01,1.00%,0.0133,1.33%,1.953,1.953,1.954,-4e-05,-0.0040%,0.10%,1.973,1.845,463274121.0,89507490.3167,8811152.0,1720817.99,False,False,True,common_section_meme; common_section_solana; common_section_celebritymemezone,BINANCE; MEXC; OKX; BYBIT; BITGET,0.001; 0.01; 0.1; 1
USELESS_USDT,ACTIVE,True,USELESS,USDT,USDT,USELESS USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,100.0,100.0,25.631,0.51262,3550.0,355000.0,1.0,0,1e-05,5,2,2025-05-12 06:37:13 UTC,2025-05-12 12:07:13 IST,1747031833000,493,1y 128d,50,1,0.01,1.00%,0.02,2.00%,0.25631,0.25623,0.25605,5e-05,0.0050%,0.34%,0.28149,0.22199,754291.0,19391729.139,31547.0,808581.16,False,False,True,common_section_meme; common_section_solana,BINANCE_FUTURE; LBANK; GATEIO; MEXC; KUCOIN,0.00001; 0.0001; 0.001; 0.01
PEPE_USDT,ACTIVE,True,PEPE,USDT,USDT,PEPEUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,100000.0,100000.0,0.362,0.004827,4719120.0,471912000000.0,1.0,0,1e-09,9,2,2024-11-11 04:53:43 UTC,2024-11-11 10:23:43 IST,1731300823000,675,1y 310d,75,1,0.0067,0.67%,0.0133,1.33%,3.62e-06,3.62e-06,3.62e-06,0.0001,0.0100%,-0.52%,3.69e-06,3.325e-06,40790585.0,14298167.7213,27587261.0,9986588.48,False,False,True,common_section_meme,BINANCE; MEXC; GATEIO; OKX; BYBIT,0.000000001; 0.00000001; 0.0000001; 0.000001
MARSCOIN1_USDT,ACTIVE,True,MARSCOIN1,USDT,USDT,MARSCOIN1 USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,10.0,10.0,1.1961,0.047844,19090.0,190900.0,1.0,0,1e-05,5,2,2026-09-01 09:28:31 UTC,2026-09-01 14:58:31 IST,1788254911000,16,16d,25,1,0.02,2.00%,0.04,4.00%,0.11961,0.11967,0.11952,7e-05,0.0070%,2.14%,0.12462,0.08713,12321769.0,13417339.4074,579524.0,693168.66,False,False,True,common_section_meme,GATEIO; MEXC,0.00001; 0.0001; 0.001; 0.01
MUBARAK_USDT,ACTIVE,True,MUBARAK,USDT,USDT,MUBARAK USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,100.0,100.0,3.136,0.12544,7880.0,788000.0,1.0,0,1e-05,5,2,2025-03-15 04:33:27 UTC,2025-03-15 10:03:27 IST,1742013207000,551,1y 186d,25,1,0.01,1.00%,0.04,4.00%,0.03136,0.03135,0.03135,5e-05,0.0050%,3.73%,0.03175,0.02807,2654695.0,7875334.292,306025.0,959694.4,False,False,True,common_section_meme; common_section_celebritymemezone,BINANCE; MEXC; GATEIO; OKX_FUTURE; BITGET,0.00001; 0.0001; 0.001; 0.01
SHIB_USDT,ACTIVE,True,SHIB,USDT,USDT,SHIBUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,100000.0,100000.0,0.5143,0.006857,2970800.0,297080000000.0,1.0,0,1e-09,9,2,2024-11-11 04:51:04 UTC,2024-11-11 10:21:04 IST,1731300664000,675,1y 310d,75,1,0.0067,0.67%,0.0133,1.33%,5.143e-06,5.141e-06,5.141e-06,0.0001,0.0100%,-0.48%,5.286e-06,4.766e-06,12622105.0,6399204.6244,1826583.0,939411.64,False,False,True,common_section_meme,BINANCE; OKX; BYBIT; BITGET; MEXC,0.000000001; 0.00000001; 0.0000001; 0.000001
BRETT_USDT,ACTIVE,True,BRETT,USDT,USDT,BRETTUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,100.0,100.0,0.479,0.00958,51480.0,5148000.0,1.0,0,1e-06,6,2,2024-04-26 13:27:48 UTC,2024-04-26 18:57:48 IST,1714138068000,874,2y 144d,50,1,0.015,1.50%,0.02,2.00%,0.00479,0.004786,0.004786,5e-05,0.0050%,0.31%,0.005175,0.004569,12565486.0,6057327.0448,772267.0,369915.89,False,False,True,common_section_meme; common_section_base,BYBIT; BINANCE_FUTURE; GATEIO; BITGET; KUCOIN,0.000001; 0.00001; 0.0001; 0.001
TUT_USDT,ACTIVE,True,TUT,USDT,USDT,TUT USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,100.0,100.0,2.0,0.08,9320.0,932000.0,1.0,0,1e-05,5,2,2025-03-18 07:05:55 UTC,2025-03-18 12:35:55 IST,1742281555000,548,1y 183d,25,1,0.02,2.00%,0.04,4.00%,0.02,0.02,0.02002,-5.5e-05,-0.0055%,-0.89%,0.02111,0.01988,2821075.0,5756609.252,419607.0,839214.0,False,False,True,common_section_meme,BINANCE; BINANCE_FUTURE; MEXC; GATEIO; BITGET,0.00001; 0.0001; 0.001; 0.01
PENGU_USDT,ACTIVE,True,PENGU,USDT,USDT,PENGUUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,100.0,100.0,0.7227,0.009636,146400.0,14640000.0,1.0,0,1e-06,6,2,2024-12-17 13:35:09 UTC,2024-12-17 19:05:09 IST,1734442509000,639,1y 274d,75,1,0.01,1.00%,0.0133,1.33%,0.007227,0.007226,0.007228,5e-05,0.0050%,-0.50%,0.00734,0.006769,7189358.0,5128836.0728,1627429.0,1176142.94,False,False,True,common_section_meme; common_section_solana,BINANCE; GATEIO; MEXC; OKX; BYBIT,0.000001; 0.00001; 0.0001; 0.001
DOGE_USDC,ACTIVE,True,DOGE,USDC,USDC,DOGE USDC PERP,0.0,0.000%,0.0,0.000%,True,1.0,10.0,10.0,0.8151,0.010868,144480.0,1444800.0,1.0,0,1e-05,5,2,2025-05-20 09:22:07 UTC,2025-05-20 14:52:07 IST,1747732927000,485,1y 120d,75,1,0.0067,0.67%,0.0133,1.33%,0.08151,0.08147,0.08147,7.6e-05,0.0076%,-0.46%,0.08244,0.07898,5678855.0,4604884.8968,5234635.0,4266750.99,False,False,True,common_section_meme,BINANCE; OKX; MEXC; BITGET; BYBIT,0.00001; 0.0001; 0.001; 0.01
FARTCOIN_USDT,ACTIVE,True,FARTCOIN,USDT,USDT,FARTCOINUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,100.0,100.0,14.5,0.193333,5600.0,560000.0,1.0,0,0.0001,4,2,2024-10-28 02:26:51 UTC,2024-10-28 07:56:51 IST,1730082411000,689,1y 324d,75,1,0.01,1.00%,0.0133,1.33%,0.145,0.145,0.1449,5e-05,0.0050%,0.20%,0.1477,0.1334,269360.0,3831245.87,101464.0,1471228.0,False,False,True,common_section_meme; common_section_solana,BINANCE_FUTURE; GATEIO; MEXC; BITGET; KUCOIN,0.0001; 0.001; 0.01; 0.1
TURBO_USDT,ACTIVE,True,TURBO,USDT,USDT,TURBOUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,1000.0,1000.0,0.9105,0.01821,191900.0,191900000.0,1.0,0,1e-07,7,2,2024-03-18 14:02:19 UTC,2024-03-18 19:32:19 IST,1710770539000,913,2y 183d,50,1,0.015,1.50%,0.02,2.00%,0.0009105,0.0009105,0.000911,5e-05,0.0050%,-0.26%,0.0009231,0.0008586,3519411.0,3155451.2898,1030327.0,938112.73,False,False,True,common_section_meme,BINANCE; MEXC; BITGET; GATEIO; OKX,0.0000001; 0.000001; 0.00001; 0.0001
LONGXIA_USDT,ACTIVE,True,LONGXIA,USDT,USDT,LONGXIA USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,100.0,100.0,24.5001,0.980004,210.0,21000.0,1.0,0,1e-06,6,2,2026-03-09 07:13:02 UTC,2026-03-09 12:43:02 IST,1773040382000,192,6m 12d,25,1,0.02,2.00%,0.04,4.00%,0.245001,0.24524,0.24522,0.000335,0.0335%,1.18%,0.24782,0.206076,104452.0,2386247.0594,16821.0,412116.18,False,False,True,common_section_meme,BINANCE_FUTURE; MEXC; LBANK; GATEIO,0.000001; 0.00001; 0.0001; 0.001
MOODENG_USDT,ACTIVE,True,MOODENG,USDT,USDT,MOODENGUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,10.0,10.0,0.4098,0.008196,54670.0,546700.0,1.0,0,1e-05,5,2,2024-09-27 02:44:26 UTC,2024-09-27 08:14:26 IST,1727405066000,720,1y 355d,50,1,0.01,1.00%,0.02,2.00%,0.04098,0.04092,0.0409,5e-05,0.0050%,-1.08%,0.04439,0.0367,5242883.0,2178021.4168,3467974.0,1421175.75,False,False,True,common_section_meme; common_section_solana,BINANCE_FUTURE; MEXC; GATEIO; OKX; BITGET,0.00001; 0.0001; 0.001; 0.01
BONK_USDT,ACTIVE,True,BONK,USDT,USDT,BONKUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,100000.0,100000.0,0.2708,0.003611,5704720.0,570472000000.0,1.0,0,1e-09,9,2,2024-12-08 03:28:30 UTC,2024-12-08 08:58:30 IST,1733628510000,648,1y 283d,75,1,0.0067,0.67%,0.0133,1.33%,2.708e-06,2.704e-06,2.704e-06,5e-05,0.0050%,-0.73%,2.757e-06,2.514e-06,7515117.0,2006985.7215,6655179.0,1802222.47,False,False,True,common_section_meme; common_section_solana,BINANCE; GATEIO; OKX; MEXC; BYBIT,0.000000001; 0.00000001; 0.0000001; 0.000001
JUGGERNAUT_USDT,ACTIVE,True,JUGGERNAUT,USDT,USDT,JUGGERNAUT USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,100.0,100.0,0.884,0.03536,430.0,43000.0,1.0,0,1e-05,5,2,2026-07-11 08:36:08 UTC,2026-07-11 14:06:08 IST,1783758968000,68,2m 8d,25,1,0.02,2.00%,0.04,4.00%,0.00884,0.00884,0.00888,-0.000113,-0.0113%,3.87%,0.01055,0.0053,2026348.0,1491384.492,31858.0,28162.47,False,False,True,common_section_meme; common_section_robinhood,LBANK; MEXC_FUTURE; MEXC,0.00001; 0.0001; 0.001; 0.01
SPX_USDT,ACTIVE,True,SPX,USDT,USDT,SPXUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,1.0,1.0,0.4632,0.006176,261240.0,261240.0,1.0,0,0.0001,4,2,2024-10-30 02:27:02 UTC,2024-10-30 07:57:02 IST,1730255222000,687,1y 322d,75,1,0.01,1.00%,0.0133,1.33%,0.4632,0.4631,0.4631,5e-05,0.0050%,-0.51%,0.4841,0.4453,2696569.0,1256214.4415,2968842.0,1375167.61,False,False,True,common_section_meme,BINANCE_FUTURE; GATEIO; MEXC; KUCOIN; BYBIT,0.0001; 0.001; 0.01; 0.1
4_USDT,ACTIVE,True,4,USDT,USDT,4 USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,10.0,10.0,0.2207,0.008828,81780.0,817800.0,1.0,0,1e-06,6,2,2025-10-02 11:09:59 UTC,2025-10-02 16:39:59 IST,1759403399000,350,11m 20d,25,1,0.02,2.00%,0.04,4.00%,0.02207,0.022056,0.022014,0.000324,0.0324%,0.49%,0.02301,0.020453,5574638.0,1218093.93572,2109128.0,465484.55,False,False,True,common_section_meme,BINANCE_FUTURE; LBANK; MEXC,0.000001; 0.00001; 0.0001; 0.001
