symbol,zero_fees,fee_status,maker_fee,taker_fee,max_leverage,minimum_volume,mark_price,minimum_notional_usdt,minimum_margin_usdt,contract_size,price_unit,mmr,imr
0G_USDT,False,unknown,,,50.0,,,,,,,0.0067,0.02
1000FLOKI_USDT,True,known,0.0,0.0,100.0,1.0,,,,10.0,1e-05,0.005,0.01
1000PEPE_USDT,True,known,0.0,0.0,75.0,1.0,,,,100.0,1e-07,0.005,0.0133
1000SHIB_USDT,True,known,0.0,0.0,100.0,1.0,,,,100.0,1e-06,0.005,0.01
1INCH_USDT,False,unknown,,,75.0,,,,,,,0.0067,0.0133
2Z_USDT,False,unknown,,,50.0,,,,,,,0.01,0.02
4_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
AAOI_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
AAPL_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
AAVE_USDT,False,unknown,,,75.0,,,,,,,0.0067,0.0133
ACE_USDT,False,unknown,,,25.0,,,,,,,0.005,0.04
ACH_USDT,False,unknown,,,50.0,,,,,,,0.005,0.02
ACT_USDT,False,unknown,,,25.0,,,,,,,0.0067,0.04
ACU_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
ADA_USDT,False,unknown,,,75.0,,,,,,,0.0067,0.0133
ADBE_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
AEHR_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
AEON1_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
AERO_USDT,False,unknown,,,50.0,,,,,,,0.0067,0.02
AEVO_USDT,False,unknown,,,50.0,,,,,,,0.01,0.02
AGLD_USDT,False,unknown,,,25.0,,,,,,,0.0067,0.04
AGT_USDT,False,unknown,,,25.0,,,,,,,0.01,0.04
AIA_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
AIGENSYN_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
AIN_USDT,False,unknown,,,25.0,,,,,,,0.01,0.04
AIOT_USDT,False,unknown,,,25.0,,,,,,,0.01,0.04
AIOZ_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
AIO_USDT,False,unknown,,,50.0,,,,,,,0.01,0.02
AIXBT_USDT,False,unknown,,,50.0,,,,,,,0.0067,0.02
AKE_USDT,False,unknown,,,25.0,,,,,,,0.015,0.04
AKT_USDT,False,unknown,,,50.0,,,,,,,0.0067,0.02
ALAB_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
ALCH_USDT,False,unknown,,,25.0,,,,,,,0.0067,0.04
ALGO_USDT,False,unknown,,,75.0,,,,,,,0.0067,0.0133
ALICE_USDT,False,unknown,,,50.0,,,,,,,0.01,0.02
ALIGN_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
ALLO_USDT,False,unknown,,,25.0,,,,,,,0.01,0.04
ALPINE_USDT,False,unknown,,,25.0,,,,,,,0.01,0.04
ALT_USDT,False,unknown,,,50.0,,,,,,,0.0067,0.02
AMAT_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
AMC_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
AMD_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
AMZN_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
ANIME_USDT,False,unknown,,,25.0,,,,,,,0.0067,0.04
ANSEM_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
ANTHROPIC_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
APEX_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
APE_USDT,False,unknown,,,50.0,,,,,,,0.005,0.02
API3_USDT,False,unknown,,,50.0,,,,,,,0.0067,0.02
APLD_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
APP_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
APR_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
APT_USDT,False,unknown,,,75.0,,,,,,,0.0067,0.0133
ARB_USDT,False,unknown,,,75.0,,,,,,,0.0067,0.0133
ARC_USDT,False,unknown,,,25.0,,,,,,,0.01,0.04
ARIA_USDT,False,unknown,,,25.0,,,,,,,0.01,0.04
ARKM_USDT,False,unknown,,,50.0,,,,,,,0.005,0.02
ARK_USDT,False,unknown,,,25.0,,,,,,,0.01,0.04
ARM_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
ARPA_USDT,False,unknown,,,50.0,,,,,,,0.005,0.02
ARX_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
AR_USDT,False,unknown,,,75.0,,,,,,,0.01,0.0133
ASML_USDT,False,unknown,,,25.0,,,,,,,0.02,0.04
ASR_USDT,False,unknown,,,25.0,,,,,,,0.01,0.04
