symbol,timeframe,fee_schedule,maker_fee_pct,taker_fee_pct,slippage_ticks,extra_ticks,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,net_pnl_usdt,net_roi_pct,max_drawdown_pct,expectancy_usdt,total_fees_usdt,final_balance_usdt
1000000MOG_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,12481,5924,6557,47.46,0.46,-101.1,-101.1,101.09,-0.0081,27.62,-1.1
1000000MOG_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,12913,4444,8469,34.41,0.31,-103.27,-103.27,103.26,-0.008,18.47,-3.27
1000000MOG_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,13414,3215,10199,23.97,0.22,-105.73,-105.73,105.72,-0.0079,13.65,-5.73
1000000MOG_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,13966,2364,11602,16.93,0.16,-108.23,-108.23,108.23,-0.0077,10.51,-8.23
1000000MOG_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,14368,1753,12615,12.2,0.11,-110.58,-110.58,110.58,-0.0077,8.35,-10.58
1000000MOG_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,14715,1252,13463,8.51,0.08,-112.93,-112.93,112.93,-0.0077,6.79,-12.93
1000000MOG_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,14937,948,13989,6.35,0.06,-115.08,-115.08,115.08,-0.0077,5.6,-15.08
1000000MOG_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,11709,5060,6649,43.21,0.29,-102.17,-102.17,102.16,-0.0087,77.24,-2.17
1000000MOG_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,12274,3851,8423,31.38,0.22,-104.42,-104.42,104.41,-0.0085,60.08,-4.42
1000000MOG_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,13035,2820,10215,21.63,0.16,-107.06,-107.06,107.06,-0.0082,46.51,-7.06
1000000MOG_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,13693,2075,11618,15.15,0.11,-109.64,-109.64,109.64,-0.008,36.88,-9.64
1000000MOG_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,14163,1534,12629,10.83,0.08,-112.09,-112.09,112.09,-0.0079,30.34,-12.09
1000000MOG_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,14576,1124,13452,7.71,0.06,-114.54,-114.54,114.54,-0.0079,26.69,-14.54
1000000MOG_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,14850,861,13989,5.8,0.04,-116.74,-116.74,116.74,-0.0079,22.89,-16.74
1000000MOG_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,10733,4081,6652,38.02,0.16,-103.46,-103.46,103.46,-0.0096,90.84,-3.46
1000000MOG_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,11564,3171,8393,27.42,0.13,-105.82,-105.82,105.82,-0.0092,76.22,-5.82
1000000MOG_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,12552,2365,10187,18.84,0.09,-108.6,-108.6,108.6,-0.0087,62.95,-8.6
1000000MOG_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,13385,1768,11617,13.21,0.07,-111.38,-111.38,111.38,-0.0083,53.44,-11.38
1000000MOG_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,5,2,13886,1327,12559,9.56,0.05,-113.88,-113.88,113.88,-0.0082,47.34,-13.88
1000000MOG_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,6,2,14383,990,13393,6.88,0.04,-116.43,-116.43,116.43,-0.0081,43.29,-16.43
1000000MOG_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,7,2,14702,762,13940,5.18,0.03,-118.73,-118.73,118.73,-0.0081,39.03,-18.73
1000000MOG_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,2695,1743,952,64.68,0.53,-97.12,-97.12,97.14,-0.036,20.39,2.88
1000000MOG_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,2671,1496,1175,56.01,0.38,-99.89,-99.89,99.89,-0.0374,13.62,0.11
1000000MOG_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,2690,1306,1384,48.55,0.29,-100.2,-100.2,100.2,-0.0373,10.1,-0.2
1000000MOG_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,2701,1129,1572,41.8,0.23,-100.55,-100.55,100.55,-0.0372,8.33,-0.55
1000000MOG_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,2728,950,1778,34.82,0.18,-101.02,-101.02,101.02,-0.037,6.85,-1.02
1000000MOG_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,2753,797,1956,28.95,0.15,-101.54,-101.54,101.54,-0.0369,5.98,-1.54
1000000MOG_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,2777,677,2100,24.38,0.12,-101.98,-101.98,101.98,-0.0367,5.12,-1.98
1000000MOG_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,2613,1553,1060,59.43,0.35,-99.72,-99.72,99.72,-0.0382,61.21,0.28
1000000MOG_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,2612,1386,1226,53.06,0.28,-100.06,-100.06,100.06,-0.0383,49.23,-0.06
1000000MOG_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,2632,1191,1441,45.25,0.22,-100.43,-100.43,100.43,-0.0382,38.99,-0.43
1000000MOG_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,2640,1048,1592,39.7,0.18,-100.79,-100.79,100.79,-0.0382,33.84,-0.79
1000000MOG_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,2683,878,1805,32.72,0.14,-101.31,-101.31,101.31,-0.0378,28.1,-1.31
1000000MOG_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,2721,743,1978,27.31,0.11,-101.8,-101.8,101.8,-0.0374,23.82,-1.8
1000000MOG_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,2741,635,2106,23.17,0.09,-102.23,-102.23,102.23,-0.0373,21.3,-2.23
1000000MOG_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,2526,1400,1126,55.42,0.25,-100.01,-100.01,100.01,-0.0396,85.59,-0.01
1000000MOG_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,2524,1228,1296,48.65,0.19,-100.32,-100.32,100.32,-0.0397,68.3,-0.32
