symbol,timeframe,fee_schedule,maker_fee_pct,taker_fee_pct,slippage_ticks,extra_ticks,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,net_pnl_usdt,net_roi_pct,max_drawdown_pct,expectancy_usdt,total_fees_usdt,final_balance_usdt
BTC_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,13155,10049,3106,76.39,0.01,-98.16,-98.16,98.16,-0.0075,73.32,1.84
BTC_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,13153,10030,3123,76.26,0.01,-98.27,-98.27,98.27,-0.0075,72.73,1.73
BTC_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,13158,10017,3141,76.13,0.01,-98.37,-98.37,98.37,-0.0075,72.48,1.63
BTC_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,13155,10003,3152,76.04,0.01,-98.48,-98.48,98.48,-0.0075,72.26,1.52
BTC_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,13153,9984,3169,75.91,0.01,-98.55,-98.55,98.55,-0.0075,71.6,1.45
BTC_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,13149,9967,3182,75.8,0.01,-98.61,-98.61,98.61,-0.0075,71.3,1.39
BTC_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,13152,9952,3200,75.67,0.01,-98.73,-98.73,98.73,-0.0075,70.96,1.27
BTC_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,11231,5879,5352,52.35,0.0,-153.06,-153.06,153.06,-0.0136,151.88,-53.06
BTC_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,11230,5870,5360,52.27,0.0,-153.24,-153.24,153.24,-0.0136,151.82,-53.24
BTC_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,11236,5865,5371,52.2,0.0,-153.39,-153.39,153.39,-0.0137,151.79,-53.39
BTC_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,11235,5855,5380,52.11,0.0,-153.65,-153.65,153.65,-0.0137,151.75,-53.65
BTC_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,11234,5848,5386,52.06,0.0,-153.78,-153.78,153.78,-0.0137,151.71,-53.78
BTC_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,11236,5846,5390,52.03,0.0,-153.88,-153.88,153.88,-0.0137,151.66,-53.88
