symbol,timeframe,fee_schedule,maker_fee_pct,taker_fee_pct,slippage_ticks,extra_ticks,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,net_pnl_usdt,net_roi_pct,max_drawdown_pct,expectancy_usdt,total_fees_usdt,final_balance_usdt
CL_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,8097,5441,2656,67.2,0.32,-94.79,-94.79,94.79,-0.0117,51.64,5.21
CL_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,8084,4891,3193,60.5,0.23,-98.69,-98.69,98.69,-0.0122,38.3,1.31
CL_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,8149,4424,3725,54.29,0.17,-99.98,-99.98,99.98,-0.0123,29.65,0.02
CL_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,8139,3925,4214,48.22,0.13,-101.3,-101.3,101.3,-0.0124,24.58,-1.3
CL_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,8172,3529,4643,43.18,0.1,-102.44,-102.44,102.44,-0.0125,21.25,-2.44
CL_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,8212,3203,5009,39.0,0.08,-103.63,-103.63,103.63,-0.0126,18.69,-3.63
CL_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,8197,2856,5341,34.84,0.07,-104.92,-104.92,104.92,-0.0128,16.99,-4.92
CL_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,6853,3591,3262,52.4,0.12,-101.72,-101.72,101.72,-0.0148,91.1,-1.72
CL_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,6952,3310,3642,47.61,0.09,-102.77,-102.77,102.77,-0.0148,79.54,-2.77
CL_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,7107,3067,4040,43.15,0.07,-104.03,-104.03,104.03,-0.0146,71.27,-4.03
CL_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,7251,2803,4448,38.66,0.06,-105.45,-105.45,105.45,-0.0145,65.59,-5.45
CL_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,7349,2546,4803,34.64,0.05,-106.81,-106.81,106.81,-0.0145,60.29,-6.81
CL_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,7461,2338,5123,31.34,0.04,-108.28,-108.28,108.28,-0.0145,55.97,-8.28
CL_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,7593,2141,5452,28.2,0.04,-109.75,-109.75,109.75,-0.0145,52.87,-9.75
CL_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,5775,2446,3329,42.35,0.05,-105.42,-105.42,105.42,-0.0183,98.67,-5.42
CL_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,5945,2296,3649,38.62,0.04,-106.74,-106.74,106.74,-0.018,92.33,-6.74
CL_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,6128,2150,3978,35.08,0.04,-108.15,-108.15,108.15,-0.0176,88.17,-8.15
CL_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,6379,2001,4378,31.37,0.03,-109.88,-109.88,109.88,-0.0172,84.97,-9.88
CL_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,5,2,6572,1861,4711,28.32,0.03,-111.48,-111.48,111.48,-0.017,80.69,-11.48
CL_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,6,2,6803,1710,5093,25.14,0.02,-113.3,-113.3,113.3,-0.0167,78.0,-13.3
CL_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,7,2,7004,1596,5408,22.79,0.02,-114.91,-114.91,114.91,-0.0164,75.66,-14.91
CL_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,1557,1266,291,81.31,0.38,-42.23,-42.23,42.39,-0.0271,23.81,57.77
CL_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,1551,1221,330,78.72,0.32,-50.08,-50.08,50.22,-0.0323,22.31,49.92
CL_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,1534,1158,376,75.49,0.24,-61.58,-61.58,61.68,-0.0401,19.54,38.42
CL_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,1543,1109,434,71.87,0.19,-70.93,-70.93,71.01,-0.046,17.49,29.07
CL_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,1540,1052,488,68.31,0.16,-77.55,-77.55,77.61,-0.0504,15.98,22.45
CL_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,1544,1000,544,64.77,0.13,-82.33,-82.33,82.38,-0.0533,14.84,17.67
