symbol,timeframe,fee_schedule,maker_fee_pct,taker_fee_pct,slippage_ticks,extra_ticks,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,net_pnl_usdt,net_roi_pct,max_drawdown_pct,expectancy_usdt,total_fees_usdt,final_balance_usdt
DOGE_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,13412,9573,3839,71.38,0.3,-99.28,-99.28,99.28,-0.0074,54.36,0.72
DOGE_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,13351,8861,4490,66.37,0.24,-100.64,-100.64,100.64,-0.0075,43.38,-0.64
DOGE_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,13296,8126,5170,61.12,0.2,-102.5,-102.5,102.5,-0.0077,36.32,-2.5
DOGE_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,13248,7448,5800,56.22,0.16,-104.51,-104.51,104.51,-0.0079,31.2,-4.51
DOGE_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,13283,6884,6399,51.83,0.13,-106.5,-106.5,106.5,-0.008,27.14,-6.5
DOGE_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,13326,6274,7052,47.08,0.11,-108.74,-108.74,108.74,-0.0082,24.31,-8.74
DOGE_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,13345,5728,7617,42.92,0.1,-110.91,-110.91,110.91,-0.0083,22.28,-10.91
DOGE_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,12006,6582,5424,54.82,0.09,-107.16,-107.16,107.16,-0.0089,94.9,-7.16
DOGE_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,12065,6156,5909,51.02,0.08,-109.06,-109.06,109.06,-0.009,87.7,-9.06
DOGE_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,12123,5752,6371,47.45,0.07,-110.94,-110.94,110.94,-0.0092,81.48,-10.94
DOGE_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,12189,5342,6847,43.83,0.06,-112.96,-112.96,112.96,-0.0093,76.34,-12.96
DOGE_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,12299,4995,7304,40.61,0.06,-115.03,-115.03,115.03,-0.0094,71.62,-15.03
DOGE_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,12425,4609,7816,37.09,0.05,-117.4,-117.4,117.4,-0.0094,67.39,-17.4
DOGE_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,12515,4275,8240,34.16,0.04,-119.52,-119.52,119.52,-0.0096,63.98,-19.52
DOGE_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,10488,4621,5867,44.06,0.04,-115.02,-115.02,115.02,-0.011,107.91,-15.02
DOGE_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,10617,4378,6239,41.24,0.04,-117.02,-117.02,117.02,-0.011,103.41,-17.02
DOGE_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,10757,4148,6609,38.56,0.03,-118.96,-118.96,118.96,-0.0111,98.39,-18.96
DOGE_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,10897,3885,7012,35.65,0.03,-121.09,-121.09,121.09,-0.0111,94.75,-21.09
DOGE_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,5,2,11049,3636,7413,32.91,0.03,-123.32,-123.32,123.32,-0.0112,91.32,-23.32
DOGE_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,6,2,11314,3414,7900,30.18,0.02,-125.84,-125.84,125.84,-0.0111,88.82,-25.84
DOGE_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,7,2,11437,3196,8241,27.94,0.02,-128.07,-128.07,128.07,-0.0112,85.9,-28.07
DOGE_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,2683,2233,450,83.23,0.29,-71.77,-71.77,71.86,-0.0268,28.81,28.23
DOGE_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,2678,2152,526,80.36,0.24,-79.94,-79.94,80.0,-0.0299,26.19,20.06
DOGE_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,2667,2082,585,78.07,0.2,-85.2,-85.2,85.21,-0.0319,23.12,14.8
DOGE_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,2655,2012,643,75.78,0.18,-89.2,-89.2,89.21,-0.0336,21.08,10.8
DOGE_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,2638,1926,712,73.01,0.15,-92.76,-92.76,92.77,-0.0352,18.77,7.24
