symbol,timeframe,fee_schedule,maker_fee_pct,taker_fee_pct,slippage_ticks,extra_ticks,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,net_pnl_usdt,net_roi_pct,max_drawdown_pct,expectancy_usdt,total_fees_usdt,final_balance_usdt
ETH_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,13317,10545,2772,79.18,0.03,-97.69,-97.69,97.69,-0.0073,69.25,2.31
ETH_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,13310,10505,2805,78.93,0.03,-97.8,-97.8,97.8,-0.0073,68.32,2.2
ETH_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,13302,10461,2841,78.64,0.03,-97.9,-97.9,97.9,-0.0074,67.77,2.1
ETH_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,13298,10420,2878,78.36,0.03,-97.98,-97.98,97.98,-0.0074,67.01,2.02
ETH_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,13293,10394,2899,78.19,0.03,-98.06,-98.06,98.06,-0.0074,66.29,1.94
ETH_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,13285,10359,2926,77.98,0.03,-98.14,-98.14,98.14,-0.0074,65.74,1.86
ETH_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,13273,10310,2963,77.68,0.03,-98.29,-98.29,98.29,-0.0074,65.2,1.71
ETH_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,11689,6822,4867,58.36,0.01,-113.85,-113.85,113.85,-0.0097,115.01,-13.85
ETH_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,11682,6799,4883,58.2,0.01,-113.97,-113.97,113.97,-0.0098,114.65,-13.97
ETH_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,11677,6782,4895,58.08,0.01,-114.07,-114.07,114.07,-0.0098,114.2,-14.07
ETH_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,11680,6770,4910,57.96,0.01,-114.2,-114.2,114.2,-0.0098,113.95,-14.2
ETH_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,11675,6747,4928,57.79,0.01,-114.35,-114.35,114.35,-0.0098,113.49,-14.35
ETH_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,11669,6728,4941,57.66,0.01,-114.48,-114.48,114.48,-0.0098,113.14,-14.48
ETH_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,11665,6706,4959,57.49,0.01,-114.65,-114.65,114.65,-0.0098,112.79,-14.65
ETH_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,9962,4430,5532,44.47,0.0,-130.65,-130.65,130.65,-0.0131,132.39,-30.65
ETH_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,9965,4428,5537,44.44,0.0,-130.73,-130.73,130.73,-0.0131,132.33,-30.73
ETH_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,9960,4411,5549,44.29,0.0,-130.91,-130.91,130.91,-0.0131,132.33,-30.91
ETH_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,9963,4400,5563,44.16,0.0,-131.05,-131.05,131.05,-0.0132,132.16,-31.05
