symbol,timeframe,fee_schedule,maker_fee_pct,taker_fee_pct,slippage_ticks,extra_ticks,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,net_pnl_usdt,net_roi_pct,max_drawdown_pct,expectancy_usdt,total_fees_usdt,final_balance_usdt
SOL_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,13659,9653,4006,70.67,0.33,-99.39,-99.39,99.39,-0.0073,57.67,0.61
SOL_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,13585,8842,4743,65.09,0.26,-101.1,-101.1,101.1,-0.0074,45.07,-1.1
SOL_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,13539,8169,5370,60.34,0.21,-102.73,-102.73,102.73,-0.0076,36.95,-2.73
SOL_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,13553,7430,6123,54.82,0.16,-104.85,-104.85,104.85,-0.0077,31.35,-4.85
SOL_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,13502,6689,6813,49.54,0.13,-106.97,-106.97,106.97,-0.0079,26.81,-6.97
SOL_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,13520,6039,7481,44.67,0.1,-109.29,-109.29,109.29,-0.0081,23.55,-9.29
SOL_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,13538,5469,8069,40.4,0.09,-111.54,-111.54,111.53,-0.0082,21.17,-11.54
SOL_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,12196,6581,5615,53.96,0.09,-106.98,-106.98,106.97,-0.0088,93.94,-6.98
SOL_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,12193,6089,6104,49.94,0.08,-108.85,-108.85,108.85,-0.0089,87.1,-8.85
SOL_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,12176,5640,6536,46.32,0.07,-110.65,-110.65,110.64,-0.0091,80.55,-10.65
SOL_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,12275,5225,7050,42.57,0.06,-112.67,-112.67,112.66,-0.0092,74.48,-12.67
SOL_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,12363,4761,7602,38.51,0.05,-114.95,-114.95,114.94,-0.0093,69.44,-14.95
SOL_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,12437,4411,8026,35.47,0.04,-116.96,-116.96,116.96,-0.0094,64.21,-16.96
SOL_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,12559,4048,8511,32.23,0.04,-119.18,-119.18,119.18,-0.0095,59.92,-19.18
SOL_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,10574,4502,6072,42.58,0.04,-114.38,-114.38,114.38,-0.0108,104.83,-14.38
SOL_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,10710,4249,6461,39.67,0.03,-116.3,-116.3,116.29,-0.0109,100.57,-16.3
SOL_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,10841,4019,6822,37.07,0.03,-118.18,-118.18,118.17,-0.0109,98.54,-18.18
SOL_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,10996,3814,7182,34.69,0.03,-120.1,-120.1,120.09,-0.0109,95.42,-20.1
SOL_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,5,2,11194,3513,7681,31.38,0.03,-122.53,-122.53,122.53,-0.0109,91.11,-22.53
SOL_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,6,2,11398,3287,8111,28.84,0.02,-124.98,-124.98,124.97,-0.011,87.45,-24.98
SOL_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,7,2,11625,3045,8580,26.19,0.02,-127.46,-127.46,127.45,-0.011,84.09,-27.46
SOL_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,2742,2353,389,85.81,0.42,-58.07,-58.07,58.17,-0.0212,35.96,41.93
SOL_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,2733,2266,467,82.91,0.33,-71.48,-71.48,71.55,-0.0262,31.44,28.52
SOL_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,2727,2182,545,80.01,0.26,-80.58,-80.58,80.62,-0.0295,27.11,19.42
