symbol,timeframe,fee_schedule,maker_fee_pct,taker_fee_pct,slippage_ticks,extra_ticks,trade_id,direction,entry_time_utc,exit_time_utc,duration_seconds,entry_price,exit_price,min_profit_tp_price,stop_loss_price,underlying_quantity,vol_contracts,margin_used_usdt,fee_open_usdt,fee_close_usdt,fee_total_usdt,realized_pnl_usdt,pnl_percentage,roe_percentage,exit_reason,balance_after_trade_usdt
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,1,SHORT,2026-01-01 00:54:59 UTC,2026-01-01 00:57:59 UTC,180.0,4.807,4.811,4.804,4.81,20.8,208,10.0,0.01,0.01,0.02,-0.1032,-0.08,-1.03,STOP_LOSS_HIT,99.9
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,2,LONG,2026-01-01 01:02:59 UTC,2026-01-01 01:03:59 UTC,60.0,4.814,4.817,4.817,4.807,20.8,208,10.01,0.01,0.01,0.02,0.0424,0.06,0.42,MIN_PROFIT_TP_HIT,99.94
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,3,LONG,2026-01-01 01:19:59 UTC,2026-01-01 01:21:59 UTC,120.0,4.816,4.806,4.819,4.807,20.8,208,10.02,0.01,0.01,0.02,-0.228,-0.21,-2.28,STOP_LOSS_HIT,99.71
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,4,SHORT,2026-01-01 02:01:59 UTC,2026-01-01 02:04:59 UTC,180.0,4.799,4.796,4.796,4.806,20.8,208,9.98,0.01,0.01,0.02,0.0424,0.06,0.43,MIN_PROFIT_TP_HIT,99.75
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,5,SHORT,2026-01-01 02:22:59 UTC,2026-01-01 02:25:59 UTC,180.0,4.796,4.793,4.793,4.801,20.8,208,9.98,0.01,0.01,0.0199,0.0425,0.06,0.43,MIN_PROFIT_TP_HIT,99.8
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,6,LONG,2026-01-01 05:03:59 UTC,2026-01-01 05:10:59 UTC,420.0,4.722,4.714,4.725,4.715,21.1,211,9.96,0.01,0.0099,0.0199,-0.1887,-0.17,-1.89,STOP_LOSS_HIT,99.61
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,7,LONG,2026-01-01 05:38:59 UTC,2026-01-01 05:39:59 UTC,60.0,4.722,4.717,4.725,4.718,21.1,211,9.96,0.01,0.01,0.0199,-0.1254,-0.11,-1.26,STOP_LOSS_HIT,99.48
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,8,LONG,2026-01-01 05:47:59 UTC,2026-01-01 05:48:59 UTC,60.0,4.716,4.713,4.719,4.714,21.1,211,9.95,0.01,0.0099,0.0199,-0.0832,-0.06,-0.84,STOP_LOSS_HIT,99.4
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,9,LONG,2026-01-01 06:02:59 UTC,2026-01-01 06:07:59 UTC,300.0,4.722,4.725,4.725,4.716,21.1,211,9.96,0.01,0.01,0.0199,0.0434,0.06,0.44,MIN_PROFIT_TP_HIT,99.44
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,10,SHORT,2026-01-01 06:15:59 UTC,2026-01-01 06:17:59 UTC,120.0,4.73,4.727,4.727,4.736,21.0,210,9.93,0.0099,0.0099,0.0199,0.0431,0.06,0.43,MIN_PROFIT_TP_HIT,99.49
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,11,LONG,2026-01-01 06:35:59 UTC,2026-01-01 06:36:59 UTC,60.0,4.723,4.726,4.726,4.721,21.1,211,9.97,0.01,0.01,0.0199,0.0434,0.06,0.44,MIN_PROFIT_TP_HIT,99.53
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,12,SHORT,2026-01-01 07:03:59 UTC,2026-01-01 07:04:59 UTC,60.0,4.722,4.725,4.719,4.724,21.1,211,9.96,0.01,0.01,0.0199,-0.0832,-0.06,-0.84,STOP_LOSS_HIT,99.45
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,13,LONG,2026-01-01 07:09:59 UTC,2026-01-01 07:15:59 UTC,360.0,4.728,4.731,4.731,4.723,21.0,210,9.93,0.0099,0.0099,0.0199,0.0431,0.06,0.43,MIN_PROFIT_TP_HIT,99.49
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,14,SHORT,2026-01-01 07:18:59 UTC,2026-01-01 07:21:59 UTC,180.0,4.729,4.726,4.726,4.734,21.0,210,9.93,0.0099,0.0099,0.0199,0.0431,0.06,0.43,MIN_PROFIT_TP_HIT,99.53
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,15,LONG,2026-01-01 07:23:59 UTC,2026-01-01 07:31:59 UTC,480.0,4.725,4.728,4.728,4.721,21.1,211,9.97,0.01,0.01,0.0199,0.0434,0.06,0.43,MIN_PROFIT_TP_HIT,99.57
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,16,SHORT,2026-01-01 07:35:59 UTC,2026-01-01 07:53:59 UTC,1080.0,4.725,4.73,4.722,4.729,21.1,211,9.97,0.01,0.01,0.02,-0.1255,-0.11,-1.26,STOP_LOSS_HIT,99.45
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,17,LONG,2026-01-01 07:54:59 UTC,2026-01-01 07:58:59 UTC,240.0,4.729,4.723,4.732,4.724,21.0,210,9.93,0.0099,0.0099,0.0198,-0.1458,-0.13,-1.47,STOP_LOSS_HIT,99.3
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,18,SHORT,2026-01-01 08:25:59 UTC,2026-01-01 08:28:59 UTC,180.0,4.718,4.715,4.715,4.725,21.0,210,9.91,0.0099,0.0099,0.0198,0.0432,0.06,0.44,MIN_PROFIT_TP_HIT,99.35
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,19,SHORT,2026-01-01 08:37:59 UTC,2026-01-01 08:54:59 UTC,1020.0,4.709,4.718,4.706,4.717,21.1,211,9.94,0.0099,0.01,0.0199,-0.2098,-0.19,-2.11,STOP_LOSS_HIT,99.14
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,20,LONG,2026-01-01 09:19:59 UTC,2026-01-01 09:20:59 UTC,60.0,4.739,4.742,4.742,4.729,20.900000000000002,209,9.9,0.0099,0.0099,0.0198,0.0429,0.06,0.43,MIN_PROFIT_TP_HIT,99.18
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,21,SHORT,2026-01-01 09:22:59 UTC,2026-01-01 09:28:59 UTC,360.0,4.739,4.744,4.736,4.743,20.900000000000002,209,9.9,0.0099,0.0099,0.0198,-0.1243,-0.11,-1.26,STOP_LOSS_HIT,99.06
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,22,SHORT,2026-01-01 09:34:59 UTC,2026-01-01 09:42:59 UTC,480.0,4.741,4.749,4.738,4.748,20.900000000000002,209,9.91,0.0099,0.0099,0.0198,-0.187,-0.17,-1.89,STOP_LOSS_HIT,98.87
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,23,LONG,2026-01-01 09:56:59 UTC,2026-01-01 09:58:59 UTC,120.0,4.731,4.734,4.734,4.727,20.900000000000002,209,9.89,0.0099,0.0099,0.0198,0.0429,0.06,0.43,MIN_PROFIT_TP_HIT,98.91
TRUMP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,24,LONG,2026-01-01 10:25:59 UTC,2026-01-01 10:28:59 UTC,180.0,4.719,4.713,4.722,4.714,21.0,210,9.91,0.0099,0.0099,0.0198,-0.1458,-0.13,-1.47,STOP_LOSS_HIT,98.77
