symbol,timeframe,fee_schedule,maker_fee_pct,taker_fee_pct,slippage_ticks,extra_ticks,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,net_pnl_usdt,net_roi_pct,max_drawdown_pct,expectancy_usdt,total_fees_usdt,final_balance_usdt
XAU_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,11623,7952,3671,68.42,0.01,-93.34,-93.34,93.34,-0.008,76.74,6.66
XAU_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,11655,7918,3737,67.94,0.01,-93.49,-93.49,93.49,-0.008,75.76,6.51
XAU_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,11655,7877,3778,67.58,0.01,-93.72,-93.72,93.72,-0.008,74.93,6.28
XAU_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,11661,7833,3828,67.17,0.01,-93.84,-93.84,93.84,-0.008,74.02,6.16
XAU_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,11650,7808,3842,67.02,0.01,-94.02,-94.02,94.02,-0.0081,73.39,5.98
XAU_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,11650,7776,3874,66.75,0.01,-94.15,-94.15,94.15,-0.0081,72.72,5.85
XAU_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,11655,7743,3912,66.44,0.01,-94.38,-94.38,94.38,-0.0081,71.97,5.62
XAU_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,8487,3606,4881,42.49,0.0,-120.16,-120.16,120.16,-0.0142,116.32,-20.16
XAU_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,8504,3599,4905,42.32,0.0,-120.4,-120.4,120.4,-0.0142,115.86,-20.4
XAU_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,8512,3582,4930,42.08,0.0,-120.6,-120.6,120.6,-0.0142,115.65,-20.6
XAU_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,8545,3575,4970,41.84,0.0,-120.95,-120.95,120.95,-0.0142,115.6,-20.95
XAU_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,8568,3563,5005,41.58,0.0,-121.22,-121.22,121.21,-0.0141,115.53,-21.22
XAU_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,8552,3558,4994,41.6,0.0,-121.18,-121.18,121.18,-0.0142,115.39,-21.18
XAU_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,8583,3554,5029,41.41,0.0,-121.39,-121.39,121.39,-0.0141,115.24,-21.39
XAU_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,6630,2006,4624,30.26,0.0,-142.1,-142.1,142.1,-0.0214,140.61,-42.1
XAU_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,6634,1997,4637,30.1,0.0,-142.31,-142.31,142.31,-0.0215,140.37,-42.31
XAU_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,6652,2000,4652,30.07,0.0,-142.52,-142.52,142.52,-0.0214,140.69,-42.52
XAU_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,6679,2003,4676,29.99,0.0,-142.89,-142.89,142.89,-0.0214,141.0,-42.89
XAU_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,5,2,6692,2001,4691,29.9,0.0,-143.11,-143.11,143.11,-0.0214,141.09,-43.11
XAU_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,6,2,6672,1995,4677,29.9,0.0,-142.96,-142.96,142.96,-0.0214,140.95,-42.96
XAU_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,7,2,6698,1996,4702,29.8,0.0,-143.21,-143.21,143.21,-0.0214,140.75,-43.21
XAU_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,2498,2011,487,80.5,0.02,-42.64,-42.64,42.64,-0.0171,38.08,57.36
XAU_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,2499,2004,495,80.19,0.02,-43.14,-43.14,43.14,-0.0173,37.97,56.86
XAU_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,2496,1996,500,79.97,0.02,-43.68,-43.68,43.68,-0.0175,37.64,56.32
XAU_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,2504,1997,507,79.75,0.02,-43.95,-43.95,43.95,-0.0176,37.71,56.05
XAU_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,2499,1990,509,79.63,0.02,-44.32,-44.32,44.32,-0.0177,37.5,55.68
XAU_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,2500,1983,517,79.32,0.02,-44.85,-44.85,44.85,-0.0179,37.44,55.15
XAU_USDT,5m,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,2499,1981,518,79.27,0.02,-44.59,-44.59,44.59,-0.0178,37.59,55.41
XAU_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,2031,1227,804,60.41,0.0,-86.45,-86.45,86.45,-0.0426,88.2,13.55
XAU_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,2030,1227,803,60.44,0.0,-86.49,-86.49,86.49,-0.0426,88.15,13.51
XAU_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,2032,1227,805,60.38,0.0,-86.55,-86.55,86.55,-0.0426,88.04,13.45
XAU_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,2034,1227,807,60.32,0.0,-86.69,-86.69,86.69,-0.0426,87.95,13.31
XAU_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,2033,1224,809,60.21,0.0,-86.82,-86.82,86.82,-0.0427,87.86,13.18
XAU_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,2033,1223,810,60.16,0.0,-86.88,-86.88,86.88,-0.0427,87.73,13.12
XAU_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,2028,1220,808,60.16,0.0,-86.91,-86.91,86.91,-0.0429,87.37,13.09
XAU_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,1750,852,898,48.69,0.0,-96.47,-96.47,96.47,-0.0551,99.75,3.53
XAU_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,1749,851,898,48.66,0.0,-96.48,-96.48,96.48,-0.0552,99.42,3.52
XAU_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,1749,850,899,48.6,0.0,-96.5,-96.5,96.5,-0.0552,99.01,3.5
XAU_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,1751,851,900,48.6,0.0,-96.52,-96.52,96.52,-0.0551,98.81,3.48
XAU_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,5,2,1755,850,905,48.43,0.0,-96.55,-96.55,96.55,-0.055,98.74,3.45
XAU_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,6,2,1756,850,906,48.41,0.0,-96.56,-96.56,96.57,-0.055,98.62,3.44
XAU_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,7,2,1752,849,903,48.46,0.0,-96.57,-96.57,96.57,-0.0551,98.62,3.43
XAU_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,823,712,111,86.51,0.02,-20.61,-20.61,20.61,-0.025,14.52,79.39
XAU_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,823,712,111,86.51,0.02,-20.62,-20.62,20.63,-0.0251,14.52,79.38
XAU_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,823,712,111,86.51,0.02,-20.65,-20.65,20.65,-0.0251,14.52,79.35
XAU_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,823,710,113,86.27,0.02,-21.09,-21.09,21.1,-0.0256,14.51,78.91
XAU_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,823,709,114,86.15,0.02,-21.3,-21.3,21.31,-0.0259,14.5,78.7
XAU_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,822,707,115,86.01,0.02,-21.75,-21.75,21.76,-0.0265,14.47,78.25
XAU_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,822,706,116,85.89,0.02,-21.88,-21.88,21.89,-0.0266,14.46,78.12
