symbol,timeframe,fee_schedule,maker_fee_pct,taker_fee_pct,slippage_ticks,extra_ticks,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,net_pnl_usdt,net_roi_pct,max_drawdown_pct,expectancy_usdt,total_fees_usdt,final_balance_usdt
XRP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,13495,9728,3767,72.09,0.27,-115.28,-115.28,115.28,-0.0085,71.53,-15.28
XRP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,13430,9146,4284,68.1,0.22,-130.95,-130.95,130.95,-0.0098,64.18,-30.95
XRP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,13379,8574,4805,64.09,0.18,-149.44,-149.44,149.44,-0.0112,60.23,-49.44
XRP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,13324,8029,5295,60.26,0.15,-166.74,-166.74,166.74,-0.0125,55.93,-66.74
XRP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,13315,7477,5838,56.15,0.12,-185.63,-185.63,185.63,-0.0139,53.53,-85.63
XRP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,13301,6991,6310,52.56,0.1,-206.38,-206.38,206.38,-0.0155,51.7,-106.38
XRP_USDT,1m,Maker 0.00% / Taker 0.01%,0.0,0.01,7,2,13336,6542,6794,49.06,0.09,-226.62,-226.62,226.62,-0.017,50.11,-126.62
XRP_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,1,2,11966,6547,5419,54.71,0.08,-226.05,-226.05,226.06,-0.0189,207.8,-126.05
XRP_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,2,2,11948,6226,5722,52.11,0.07,-243.92,-243.92,243.93,-0.0204,205.09,-143.92
XRP_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,3,2,11973,5877,6096,49.09,0.06,-265.08,-265.08,265.09,-0.0221,202.79,-165.08
XRP_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,4,2,11997,5574,6423,46.46,0.05,-283.56,-283.56,283.56,-0.0236,199.7,-183.56
XRP_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,12062,5306,6756,43.99,0.05,-302.48,-302.48,302.49,-0.0251,198.41,-202.48
XRP_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,12149,5034,7115,41.44,0.04,-323.45,-323.45,323.46,-0.0266,198.28,-223.45
XRP_USDT,1m,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,12274,4783,7491,38.97,0.04,-345.34,-345.34,345.34,-0.0281,198.43,-245.34
XRP_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,10281,4385,5896,42.65,0.03,-345.52,-345.52,345.52,-0.0336,327.97,-245.52
XRP_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,10325,4213,6112,40.8,0.03,-363.01,-363.01,363.01,-0.0352,326.73,-263.01
XRP_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,10410,4033,6377,38.74,0.03,-382.79,-382.79,382.8,-0.0368,327.37,-282.79
XRP_USDT,1m,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,10509,3832,6677,36.46,0.03,-404.93,-404.93,404.93,-0.0385,327.91,-304.93
