pair,binance_symbol,timeframe,strategy,total_trades,winning_trades,losing_trades,scratch_trades,win_rate_pct,profit_factor,initial_balance_usdt,final_balance_usdt,gross_pnl_usdt,total_fees_usdt,net_pnl_usdt,total_roi_pct,max_drawdown_usdt,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,monthly_signal_frequency,avg_trade_pnl_usdt,avg_win_usdt,avg_loss_usdt,win_loss_ratio,long_trades,long_win_rate_pct,short_trades,short_win_rate_pct,leverage,margin_pct,is_zero_fee,maker_fee_rate,taker_fee_rate,fee_schedule,slippage_pct,date_start,date_end,timespan_days,execution_status,source_file
TRUMP_USDT,TRUMPUSDT,1d,ORDER_BLOCK_DEMAND,2,2,0,0,100.0,999.0,100.0,247.92,147.92,0.0,147.92,147.92,0.0,0.0,418.02,0.0,0.0,0.39,73.959,73.959,0.0,0.0,1,100.0,1,100.0,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-27 00:00:00 UTC,2026-08-31 23:59:59 UTC,158.0,SUCCESS,results_TRUMP_USDT_1d.json
AIXBT_USDT,AIXBTUSDT,1d,ORDER_BLOCK_DEMAND,6,2,4,0,33.33,1.77,100.0,132.99,32.99,0.0,32.99,32.99,42.82,24.36,22.33,77.61,1.35,1.0,5.499,37.907,10.705,3.54,3,66.67,3,0.0,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-27 00:00:00 UTC,2026-09-25 23:59:59 UTC,183.0,SUCCESS,results_AIXBT_USDT_1d.json
TRX_USDT,TRXUSDT,1h,ORDER_BLOCK_DEMAND,11,9,2,0,81.82,2.64,100.0,120.66,21.4,0.736,20.66,20.66,10.23,7.85,30.54,24.58,2.63,1.83,1.878,3.699,6.315,0.59,7,85.71,4,75.0,15,10.0,False,0.0,0.0002,0.02% Taker,0.0005,2026-03-26 17:00:00 UTC,2026-09-25 16:59:59 UTC,183.0,SUCCESS,results_TRX_USDT_1h.json
BOME_USDT,BOMEUSDT,1d,ORDER_BLOCK_DEMAND,2,1,1,0,50.0,2.81,100.0,116.68,16.68,0.0,16.68,16.68,9.24,7.34,30.73,98.49,2.27,0.33,8.341,25.921,9.239,2.81,1,100.0,1,0.0,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-27 00:00:00 UTC,2026-09-25 23:59:59 UTC,183.0,SUCCESS,results_BOME_USDT_1d.json
KOMA_USDT,KOMAUSDT,1d,ORDER_BLOCK_DEMAND,4,1,3,0,25.0,1.71,100.0,112.17,12.17,0.0,12.17,12.17,17.12,17.12,16.09,54.91,0.71,0.67,3.043,29.294,5.708,5.13,2,50.0,2,0.0,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-27 00:00:00 UTC,2026-09-25 23:59:59 UTC,183.0,SUCCESS,results_KOMA_USDT_1d.json
AVAX_USDT,AVAXUSDT,1h,ORDER_BLOCK_DEMAND,11,6,5,0,54.55,2.0,100.0,111.77,12.45,0.678,11.77,11.77,6.3,6.3,20.53,33.25,1.87,1.83,1.07,3.923,2.354,1.67,2,100.0,9,44.44,15,10.0,False,0.0,0.0002,0.02% Taker,0.0005,2026-03-26 17:00:00 UTC,2026-09-25 16:59:59 UTC,183.0,SUCCESS,results_AVAX_USDT_1h.json
MELANIA_USDT,MELANIAUSDT,1d,ORDER_BLOCK_DEMAND,2,2,0,0,100.0,999.0,100.0,109.06,9.06,0.0,9.06,9.06,0.0,0.0,81.07,0.0,0.0,0.67,4.532,4.532,0.0,0.0,0,0.0,2,100.0,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-06-27 00:00:00 UTC,2026-09-25 23:59:59 UTC,91.0,SUCCESS,results_MELANIA_USDT_1d.json
XRP_USDT,XRPUSDT,1d,ORDER_BLOCK_DEMAND,1,1,0,0,100.0,999.0,100.0,107.34,7.4,0.058,7.34,7.34,0.0,0.0,0.0,0.0,0.0,0.17,7.339,7.339,0.0,0.0,0,0.0,1,100.0,15,10.0,False,0.0,0.0002,0.02% Taker,0.0005,2026-03-27 00:00:00 UTC,2026-09-25 23:59:59 UTC,183.0,SUCCESS,results_XRP_USDT_1d.json
LTC_USDT,LTCUSDT,1d,ORDER_BLOCK_DEMAND,2,1,1,0,50.0,1.73,100.0,106.64,6.77,0.135,6.64,6.64,9.03,7.81,18.41,39.14,0.85,0.33,3.318,15.666,9.031,1.73,1,100.0,1,0.0,15,10.0,False,0.0,0.0002,0.02% Taker,0.0005,2026-03-27 00:00:00 UTC,2026-09-25 23:59:59 UTC,183.0,SUCCESS,results_LTC_USDT_1d.json
PIPPIN_USDT,PIPPINUSDT,1d,ORDER_BLOCK_DEMAND,7,2,5,0,28.57,1.16,100.0,105.44,5.44,0.0,5.44,5.44,21.27,17.82,8.43,18.45,0.31,1.16,0.777,20.084,6.946,2.89,3,33.33,4,25.0,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-27 00:00:00 UTC,2026-09-25 23:59:59 UTC,183.0,SUCCESS,results_PIPPIN_USDT_1d.json
