pair,binance_symbol,timeframe,strategy,total_trades,winning_trades,losing_trades,scratch_trades,win_rate_pct,profit_factor,initial_balance_usdt,final_balance_usdt,gross_pnl_usdt,total_fees_usdt,net_pnl_usdt,total_roi_pct,max_drawdown_usdt,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,monthly_signal_frequency,avg_trade_pnl_usdt,avg_win_usdt,avg_loss_usdt,win_loss_ratio,long_trades,long_win_rate_pct,short_trades,short_win_rate_pct,leverage,margin_pct,is_zero_fee,maker_fee_rate,taker_fee_rate,fee_schedule,slippage_pct,date_start,date_end,timespan_days,execution_status,source_file
ACT_USDT,ACTUSDT,15m,ORDER_BLOCK_DEMAND,293,113,180,0,38.57,0.59,100.0,8.69,-91.31,0.0,-91.31,-91.31,95.29,92.42,-16.7,-17.65,-0.99,48.73,-0.312,1.162,1.237,0.94,134,35.82,159,40.88,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-26 16:15:00 UTC,2026-09-25 16:14:59 UTC,183.0,SUCCESS,results_ACT_USDT_15m.json
ACT_USDT,ACTUSDT,1d,ORDER_BLOCK_DEMAND,5,0,5,0,0.0,0.0,100.0,72.86,-27.14,0.0,-27.14,-27.14,27.14,27.14,-17102.72,-77.77,-1.0,0.83,-5.429,0.0,5.429,0.0,3,0.0,2,0.0,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-27 00:00:00 UTC,2026-09-25 23:59:59 UTC,183.0,SUCCESS,results_ACT_USDT_1d.json
ACT_USDT,ACTUSDT,1h,ORDER_BLOCK_DEMAND,91,36,55,0,39.56,0.7,100.0,45.02,-54.98,0.0,-54.98,-54.98,75.45,66.96,-8.63,-10.39,-0.82,15.14,-0.604,3.59,3.35,1.07,39,38.46,52,40.38,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-26 17:00:00 UTC,2026-09-25 16:59:59 UTC,183.0,SUCCESS,results_ACT_USDT_1h.json
ACT_USDT,ACTUSDT,4h,ORDER_BLOCK_DEMAND,36,11,25,0,30.56,0.45,100.0,48.98,-51.02,0.0,-51.02,-51.02,60.4,60.4,-18.66,-22.81,-0.84,5.99,-1.417,3.798,3.712,1.02,20,35.0,16,25.0,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-26 20:00:00 UTC,2026-09-25 19:59:59 UTC,183.0,SUCCESS,results_ACT_USDT_4h.json
ACT_USDT,ACTUSDT,5m,ORDER_BLOCK_DEMAND,1217,472,743,2,38.78,0.68,100.0,1.1,-98.9,0.0,-98.9,-98.9,100.09,98.98,-13.23,-14.23,-1.0,202.42,-0.081,0.441,0.413,1.07,584,39.04,633,38.55,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-26 16:10:00 UTC,2026-09-25 16:09:59 UTC,183.0,SUCCESS,results_ACT_USDT_5m.json
AIXBT_USDT,AIXBTUSDT,15m,ORDER_BLOCK_DEMAND,450,191,256,3,42.44,0.64,100.0,11.56,-88.44,0.0,-88.44,-88.44,90.74,88.91,-11.0,-11.5,-0.99,74.85,-0.197,0.815,0.953,0.85,232,42.67,218,42.2,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-26 16:30:00 UTC,2026-09-25 16:29:59 UTC,183.0,SUCCESS,results_AIXBT_USDT_15m.json
AIXBT_USDT,AIXBTUSDT,1d,ORDER_BLOCK_DEMAND,6,2,4,0,33.33,1.77,100.0,132.99,32.99,0.0,32.99,32.99,42.82,24.36,22.33,77.61,1.35,1.0,5.499,37.907,10.705,3.54,3,66.67,3,0.0,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-27 00:00:00 UTC,2026-09-25 23:59:59 UTC,183.0,SUCCESS,results_AIXBT_USDT_1d.json
AIXBT_USDT,AIXBTUSDT,1h,ORDER_BLOCK_DEMAND,101,43,57,1,42.57,0.6,100.0,35.62,-64.38,0.0,-64.38,-64.38,64.38,64.38,-14.37,-14.27,-1.0,16.8,-0.637,2.213,2.799,0.79,48,45.83,53,39.62,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-26 17:00:00 UTC,2026-09-25 16:59:59 UTC,183.0,SUCCESS,results_AIXBT_USDT_1h.json
AIXBT_USDT,AIXBTUSDT,4h,ORDER_BLOCK_DEMAND,28,11,17,0,39.29,0.53,100.0,63.49,-36.51,0.0,-36.51,-36.51,47.03,42.97,-19.66,-19.33,-0.85,4.66,-1.304,3.744,4.57,0.82,16,31.25,12,50.0,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-26 20:00:00 UTC,2026-09-25 19:59:59 UTC,183.0,SUCCESS,results_AIXBT_USDT_4h.json
AIXBT_USDT,AIXBTUSDT,5m,ORDER_BLOCK_DEMAND,1357,564,774,19,41.56,0.63,100.0,1.86,-98.14,0.0,-98.14,-98.14,98.16,98.16,-12.12,-12.4,-1.0,225.7,-0.072,0.302,0.347,0.87,694,38.33,663,44.95,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-26 16:20:00 UTC,2026-09-25 16:19:59 UTC,183.0,SUCCESS,results_AIXBT_USDT_5m.json
AVAAI_USDT,AVAAIUSDT,15m,ORDER_BLOCK_DEMAND,348,147,198,3,42.24,0.78,100.0,17.52,-82.48,0.0,-82.48,-82.48,94.25,89.33,-6.01,-7.39,-0.92,57.88,-0.237,1.979,1.886,1.05,179,40.78,169,43.79,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-26 16:15:00 UTC,2026-09-25 16:14:59 UTC,183.0,SUCCESS,results_AVAAI_USDT_15m.json
AVAAI_USDT,AVAAIUSDT,1d,ORDER_BLOCK_DEMAND,8,1,7,0,12.5,0.18,100.0,70.04,-29.96,0.0,-29.96,-29.96,29.96,29.96,-62.82,-54.09,-1.0,1.33,-3.745,6.792,5.25,1.29,4,25.0,4,0.0,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-27 00:00:00 UTC,2026-09-25 23:59:59 UTC,183.0,SUCCESS,results_AVAAI_USDT_1d.json
AVAAI_USDT,AVAAIUSDT,1h,ORDER_BLOCK_DEMAND,102,35,67,0,34.31,0.75,100.0,38.17,-61.83,0.0,-61.83,-61.83,107.81,75.49,-8.71,-11.24,-0.82,16.97,-0.606,5.425,3.757,1.44,59,38.98,43,27.91,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-26 17:00:00 UTC,2026-09-25 16:59:59 UTC,183.0,SUCCESS,results_AVAAI_USDT_1h.json
AVAAI_USDT,AVAAIUSDT,4h,ORDER_BLOCK_DEMAND,34,10,24,0,29.41,0.71,100.0,63.04,-36.96,0.0,-36.96,-36.96,64.97,55.61,-8.08,-12.3,-0.66,5.66,-1.087,9.183,5.366,1.71,22,36.36,12,16.67,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-26 20:00:00 UTC,2026-09-25 19:59:59 UTC,183.0,SUCCESS,results_AVAAI_USDT_4h.json
AVAAI_USDT,AVAAIUSDT,5m,ORDER_BLOCK_DEMAND,971,436,532,3,44.9,0.67,100.0,2.69,-97.31,0.0,-97.31,-97.31,104.64,98.25,-8.22,-8.75,-0.99,161.5,-0.1,0.445,0.548,0.81,472,44.92,499,44.89,15,10.0,True,0.0,0.0,0.00% (Zero-Fee),0.001,2026-03-26 16:10:00 UTC,2026-09-25 16:09:59 UTC,183.0,SUCCESS,results_AVAAI_USDT_5m.json
AVAX_USDT,AVAXUSDT,15m,ORDER_BLOCK_DEMAND,50,24,26,0,48.0,0.88,100.0,94.26,-2.82,2.922,-5.74,-5.74,19.1,16.92,-2.77,-2.89,-0.34,8.32,-0.115,1.801,1.884,0.96,24,41.67,26,53.85,15,10.0,False,0.0,0.0002,0.02% Taker,0.0005,2026-03-26 17:00:00 UTC,2026-09-25 16:29:59 UTC,183.0,SUCCESS,results_AVAX_USDT_15m.json
AVAX_USDT,AVAXUSDT,1d,ORDER_BLOCK_DEMAND,1,0,1,0,0.0,0.0,100.0,92.22,-7.72,0.061,-7.78,-7.78,7.78,7.78,0.0,0.0,-1.0,0.17,-7.779,0.0,7.779,0.0,0,0.0,1,0.0,15,10.0,False,0.0,0.0002,0.02% Taker,0.0005,2026-03-27 00:00:00 UTC,2026-09-25 23:59:59 UTC,183.0,SUCCESS,results_AVAX_USDT_1d.json
